warehouse_id,zone_id,zone_type,robot_access,human_density_profile,map_version,physical_change_pending
DC-10,DC-10-Z02,CHARGE,YES,MEDIUM,v9,NO
DC-10,DC-10-Z03,CROSSDOCK,RESTRICTED,HIGH,v7,NO
DC-10,DC-10-Z04,CHARGE,YES,LOW,v7,NO
DC-10,DC-10-Z05,COLD,RESTRICTED,MEDIUM,v7,NO
DC-10,DC-10-Z06,CROSSDOCK,YES,MEDIUM,v7,NO
DC-10,DC-10-Z07,CHARGE,YES,LOW,v9,YES
DC-10,DC-10-Z08,HAZMAT,YES,LOW,v7,NO
DC-10,DC-10-Z09,PICK,YES,HIGH,v8,NO
DC-10,DC-10-Z10,PICK,YES,LOW,v7,NO
DC-10,DC-10-Z11,STORAGE,YES,MEDIUM,v7,YES
DC-10,DC-10-Z12,CHARGE,RESTRICTED,HIGH,v9,NO
DC-11,DC-11-Z01,STAGING,YES,HIGH,v9,YES
DC-11,DC-11-Z02,STORAGE,YES,LOW,v9,NO
DC-11,DC-11-Z03,COLD,YES,LOW,v9,NO
DC-11,DC-11-Z04,PACK,YES,MEDIUM,v9,NO
DC-11,DC-11-Z05,PACK,YES,LOW,v7,YES
DC-11,DC-11-Z06,CROSSDOCK,YES,HIGH,v8,NO
DC-11,DC-11-Z07,HAZMAT,YES,LOW,v9,NO
DC-11,DC-11-Z08,PACK,YES,HIGH,v8,NO
DC-11,DC-11-Z09,CROSSDOCK,RESTRICTED,MEDIUM,v8,NO
DC-11,DC-11-Z10,PACK,YES,LOW,v7,YES
DC-11,DC-11-Z11,CHARGE,RESTRICTED,HIGH,v7,NO
DC-11,DC-11-Z12,CHARGE,YES,LOW,v9,NO
DC-12,DC-12-Z01,STORAGE,YES,LOW,v8,NO
DC-12,DC-12-Z02,STORAGE,YES,MEDIUM,v8,YES
DC-12,DC-12-Z03,COLD,YES,HIGH,v9,NO
DC-12,DC-12-Z04,HAZMAT,YES,HIGH,v7,NO
DC-12,DC-12-Z05,PACK,YES,HIGH,v7,NO
DC-12,DC-12-Z06,HAZMAT,YES,MEDIUM,v7,NO
DC-12,DC-12-Z07,CHARGE,YES,LOW,v9,NO
DC-12,DC-12-Z08,PICK,RESTRICTED,LOW,v7,NO
DC-12,DC-12-Z09,COLD,YES,HIGH,v7,NO
DC-12,DC-12-Z10,CHARGE,YES,HIGH,v8,YES
DC-12,DC-12-Z11,HAZMAT,RESTRICTED,MEDIUM,v9,NO
DC-12,DC-12-Z12,PICK,YES,HIGH,v9,NO
DC-13,DC-13-Z01,COLD,YES,LOW,v7,NO
DC-13,DC-13-Z02,STAGING,RESTRICTED,LOW,v9,NO
DC-13,DC-13-Z03,PICK,RESTRICTED,LOW,v8,NO
DC-13,DC-13-Z04,COLD,YES,MEDIUM,v7,NO
DC-13,DC-13-Z05,CROSSDOCK,YES,MEDIUM,v7,NO
DC-13,DC-13-Z06,STAGING,RESTRICTED,HIGH,v8,NO
DC-13,DC-13-Z07,STAGING,YES,LOW,v8,NO
DC-13,DC-13-Z08,PACK,YES,LOW,v7,NO
DC-13,DC-13-Z09,CHARGE,YES,MEDIUM,v9,NO
DC-13,DC-13-Z10,STAGING,YES,LOW,v9,YES
DC-13,DC-13-Z11,STORAGE,YES,LOW,v8,YES
DC-13,DC-13-Z12,STORAGE,YES,LOW,v7,NO
DC-14,DC-14-Z01,CROSSDOCK,YES,MEDIUM,v7,NO
DC-14,DC-14-Z02,STAGING,RESTRICTED,MEDIUM,v8,NO
DC-14,DC-14-Z03,PICK,YES,LOW,v9,NO
DC-14,DC-14-Z04,HAZMAT,YES,MEDIUM,v9,NO
DC-14,DC-14-Z05,HAZMAT,YES,MEDIUM,v7,NO
DC-14,DC-14-Z06,PACK,YES,MEDIUM,v8,NO
DC-14,DC-14-Z07,COLD,YES,MEDIUM,v7,NO
DC-14,DC-14-Z08,STORAGE,RESTRICTED,LOW,v9,NO
DC-14,DC-14-Z09,COLD,RESTRICTED,LOW,v9,NO
DC-14,DC-14-Z10,CROSSDOCK,RESTRICTED,LOW,v8,NO
DC-14,DC-14-Z11,PICK,RESTRICTED,MEDIUM,v7,NO
DC-14,DC-14-Z12,CROSSDOCK,YES,LOW,v8,NO
DC-15,DC-15-Z01,HAZMAT,RESTRICTED,HIGH,v7,NO
DC-15,DC-15-Z02,COLD,YES,LOW,v7,NO
DC-15,DC-15-Z03,COLD,YES,HIGH,v8,NO
DC-15,DC-15-Z04,HAZMAT,YES,HIGH,v9,YES
DC-15,DC-15-Z05,COLD,RESTRICTED,HIGH,v9,NO
DC-15,DC-15-Z06,STAGING,RESTRICTED,MEDIUM,v9,NO
DC-15,DC-15-Z07,CHARGE,YES,MEDIUM,v9,NO
DC-15,DC-15-Z08,HAZMAT,YES,LOW,v7,NO
DC-15,DC-15-Z09,PICK,YES,MEDIUM,v8,NO
DC-15,DC-15-Z10,COLD,YES,MEDIUM,v7,NO
DC-15,DC-15-Z11,STORAGE,YES,HIGH,v7,NO
DC-15,DC-15-Z12,PACK,YES,LOW,v9,NO
DC-16,DC-16-Z01,CHARGE,YES,HIGH,v7,NO
DC-16,DC-16-Z02,PICK,YES,LOW,v9,NO
DC-16,DC-16-Z03,PICK,YES,MEDIUM,v9,NO
DC-16,DC-16-Z04,STAGING,YES,LOW,v9,YES
DC-16,DC-16-Z05,PACK,YES,LOW,v9,NO
DC-16,DC-16-Z06,COLD,YES,LOW,v9,NO
DC-16,DC-16-Z07,HAZMAT,YES,MEDIUM,v7,NO
DC-16,DC-16-Z08,COLD,YES,HIGH,v8,NO
DC-16,DC-16-Z09,PACK,YES,LOW,v7,NO
DC-16,DC-16-Z10,STORAGE,YES,LOW,v9,NO
DC-16,DC-16-Z11,PICK,YES,MEDIUM,v8,NO
DC-16,DC-16-Z12,STORAGE,RESTRICTED,LOW,v7,NO
DC-17,DC-17-Z01,STAGING,YES,HIGH,v9,NO
DC-17,DC-17-Z02,PICK,YES,MEDIUM,v8,NO
DC-17,DC-17-Z03,HAZMAT,RESTRICTED,LOW,v7,YES
DC-17,DC-17-Z04,STAGING,YES,MEDIUM,v7,NO
DC-17,DC-17-Z05,PICK,YES,LOW,v7,NO
DC-17,DC-17-Z06,COLD,YES,MEDIUM,v7,NO
DC-17,DC-17-Z07,PICK,YES,MEDIUM,v9,NO
DC-17,DC-17-Z08,PACK,YES,LOW,v8,NO
DC-17,DC-17-Z09,PICK,YES,LOW,v9,NO
DC-17,DC-17-Z10,STAGING,YES,HIGH,v8,NO
DC-17,DC-17-Z11,PICK,YES,HIGH,v8,NO
DC-17,DC-17-Z12,STAGING,RESTRICTED,MEDIUM,v8,NO
DC-18,DC-18-Z01,STAGING,YES,MEDIUM,v7,YES
DC-18,DC-18-Z02,COLD,RESTRICTED,MEDIUM,v9,NO
DC-18,DC-18-Z03,PICK,YES,LOW,v8,NO
DC-18,DC-18-Z04,CHARGE,RESTRICTED,MEDIUM,v7,NO
DC-18,DC-18-Z05,COLD,RESTRICTED,LOW,v7,NO
DC-18,DC-18-Z06,HAZMAT,YES,MEDIUM,v7,YES
DC-18,DC-18-Z07,COLD,YES,HIGH,v8,NO
DC-18,DC-18-Z08,CROSSDOCK,YES,LOW,v7,NO
DC-18,DC-18-Z09,STAGING,RESTRICTED,MEDIUM,v7,NO
DC-18,DC-18-Z10,COLD,YES,LOW,v9,NO
DC-18,DC-18-Z11,STORAGE,YES,HIGH,v7,NO
DC-18,DC-18-Z12,CHARGE,YES,MEDIUM,v9,NO
