work_order_id,robot_id,warehouse_id,cmms_status,fleet_availability,issue,opened_at,safety_release_recorded
WO-000023,RBT-0055,DC-02,OPEN,UNAVAILABLE,preventive_maintenance,2026-08-23T06:00:00,Y
WO-000024,RBT-0643,DC-17,CLOSED,AVAILABLE,lidar_calibration,2026-09-03T06:00:00,Y
WO-000025,RBT-0451,DC-12,PLANNED,AVAILABLE,preventive_maintenance,2026-08-03T06:00:00,N
WO-000026,RBT-0674,DC-18,OPEN,AVAILABLE,wheel_wear,2026-08-06T06:00:00,Y
WO-000027,RBT-0175,DC-05,OPEN,AVAILABLE,battery_degradation,2026-08-16T06:00:00,Y
WO-000028,RBT-0603,DC-16,PLANNED,AVAILABLE,wheel_wear,2026-08-15T06:00:00,Y
WO-000029,RBT-0434,DC-11,OPEN,AVAILABLE,scanner_fault,2026-08-07T06:00:00,Y
WO-000030,RBT-0177,DC-05,OPEN,UNAVAILABLE,preventive_maintenance,2026-08-13T06:00:00,Y
WO-000031,RBT-0635,DC-17,CLOSED,AVAILABLE,wheel_wear,2026-08-14T06:00:00,Y
WO-000032,RBT-0377,DC-10,PLANNED,UNAVAILABLE,battery_degradation,2026-09-02T06:00:00,N
WO-000033,RBT-0324,DC-09,PLANNED,UNAVAILABLE,battery_degradation,2026-08-24T06:00:00,N
WO-000034,RBT-0135,DC-04,CLOSED,UNAVAILABLE,battery_degradation,2026-08-24T06:00:00,Y
WO-000035,RBT-0042,DC-01,CLOSED,UNAVAILABLE,battery_degradation,2026-08-13T06:00:00,Y
WO-000036,RBT-0125,DC-03,OPEN,UNAVAILABLE,wheel_wear,2026-08-25T06:00:00,Y
WO-000037,RBT-0124,DC-03,PLANNED,AVAILABLE,drive_fault,2026-08-09T06:00:00,Y
WO-000038,RBT-0353,DC-09,CLOSED,AVAILABLE,scanner_fault,2026-09-02T06:00:00,Y
WO-000039,RBT-0709,DC-18,CLOSED,AVAILABLE,lidar_calibration,2026-08-05T06:00:00,Y
WO-000040,RBT-0129,DC-04,OPEN,UNAVAILABLE,scanner_fault,2026-08-02T06:00:00,Y
WO-000041,RBT-0646,DC-17,CLOSED,AVAILABLE,wheel_wear,2026-09-01T06:00:00,Y
WO-000042,RBT-0667,DC-17,OPEN,AVAILABLE,drive_fault,2026-08-01T06:00:00,Y
WO-000043,RBT-0312,DC-08,PLANNED,UNAVAILABLE,drive_fault,2026-08-02T06:00:00,Y
WO-000044,RBT-0151,DC-04,IN_PROGRESS,AVAILABLE,preventive_maintenance,2026-08-07T06:00:00,Y
WO-000045,RBT-0618,DC-16,CLOSED,UNAVAILABLE,drive_fault,2026-08-18T06:00:00,Y
WO-000046,RBT-0123,DC-03,PLANNED,AVAILABLE,lidar_calibration,2026-08-18T06:00:00,Y
WO-000047,RBT-0437,DC-11,PLANNED,AVAILABLE,scanner_fault,2026-08-15T06:00:00,Y
WO-000048,RBT-0314,DC-08,PLANNED,AVAILABLE,preventive_maintenance,2026-08-03T06:00:00,Y
WO-000049,RBT-0378,DC-10,IN_PROGRESS,UNAVAILABLE,scanner_fault,2026-08-10T06:00:00,Y
WO-000050,RBT-0059,DC-02,CLOSED,AVAILABLE,scanner_fault,2026-08-01T06:00:00,N
WO-000051,RBT-0066,DC-02,PLANNED,AVAILABLE,battery_degradation,2026-08-24T06:00:00,Y
WO-000052,RBT-0404,DC-10,CLOSED,AVAILABLE,drive_fault,2026-08-05T06:00:00,Y
WO-000053,RBT-0171,DC-05,IN_PROGRESS,AVAILABLE,lidar_calibration,2026-08-19T06:00:00,Y
WO-000054,RBT-0514,DC-13,OPEN,AVAILABLE,wheel_wear,2026-08-21T06:00:00,Y
WO-000055,RBT-0617,DC-16,PLANNED,AVAILABLE,drive_fault,2026-08-03T06:00:00,Y
WO-000056,RBT-0473,DC-12,PLANNED,AVAILABLE,drive_fault,2026-08-04T06:00:00,Y
WO-000057,RBT-0289,DC-07,OPEN,AVAILABLE,drive_fault,2026-08-22T06:00:00,Y
WO-000058,RBT-0397,DC-10,CLOSED,AVAILABLE,drive_fault,2026-08-05T06:00:00,N
WO-000059,RBT-0120,DC-03,CLOSED,AVAILABLE,scanner_fault,2026-08-06T06:00:00,N
WO-000060,RBT-0189,DC-05,PLANNED,AVAILABLE,preventive_maintenance,2026-09-05T06:00:00,Y
WO-000061,RBT-0267,DC-07,OPEN,UNAVAILABLE,lidar_calibration,2026-08-12T06:00:00,Y
WO-000062,RBT-0447,DC-12,OPEN,UNAVAILABLE,drive_fault,2026-08-12T06:00:00,Y
WO-000063,RBT-0040,DC-01,OPEN,AVAILABLE,battery_degradation,2026-08-19T06:00:00,Y
WO-000064,RBT-0100,DC-03,PLANNED,UNAVAILABLE,drive_fault,2026-08-10T06:00:00,N
WO-000065,RBT-0433,DC-11,OPEN,UNAVAILABLE,scanner_fault,2026-08-09T06:00:00,Y
WO-000066,RBT-0462,DC-12,OPEN,AVAILABLE,wheel_wear,2026-08-13T06:00:00,Y
WO-000067,RBT-0415,DC-11,PLANNED,AVAILABLE,wheel_wear,2026-08-20T06:00:00,Y
WO-000068,RBT-0471,DC-12,CLOSED,AVAILABLE,preventive_maintenance,2026-09-03T06:00:00,Y
WO-000069,RBT-0101,DC-03,OPEN,AVAILABLE,wheel_wear,2026-08-23T06:00:00,Y
WO-000070,RBT-0444,DC-11,CLOSED,AVAILABLE,lidar_calibration,2026-08-11T06:00:00,Y
WO-000071,RBT-0468,DC-12,OPEN,AVAILABLE,lidar_calibration,2026-08-05T06:00:00,Y
WO-000072,RBT-0052,DC-02,OPEN,UNAVAILABLE,wheel_wear,2026-08-03T06:00:00,Y
WO-000073,RBT-0032,DC-01,PLANNED,UNAVAILABLE,drive_fault,2026-08-28T06:00:00,Y
WO-000074,RBT-0185,DC-05,OPEN,AVAILABLE,lidar_calibration,2026-09-02T06:00:00,Y
WO-000075,RBT-0522,DC-13,CLOSED,UNAVAILABLE,lidar_calibration,2026-09-03T06:00:00,N
WO-000076,RBT-0178,DC-05,OPEN,UNAVAILABLE,battery_degradation,2026-08-09T06:00:00,N
WO-000077,RBT-0159,DC-04,CLOSED,AVAILABLE,wheel_wear,2026-08-30T06:00:00,Y
WO-000078,RBT-0687,DC-18,IN_PROGRESS,AVAILABLE,lidar_calibration,2026-09-05T06:00:00,Y
WO-000079,RBT-0703,DC-18,PLANNED,AVAILABLE,drive_fault,2026-08-20T06:00:00,Y
WO-000080,RBT-0708,DC-18,IN_PROGRESS,UNAVAILABLE,drive_fault,2026-08-11T06:00:00,Y
WO-000081,RBT-0186,DC-05,CLOSED,UNAVAILABLE,lidar_calibration,2026-08-23T06:00:00,Y
WO-000082,RBT-0200,DC-05,OPEN,AVAILABLE,scanner_fault,2026-08-25T06:00:00,Y
WO-000083,RBT-0403,DC-10,IN_PROGRESS,AVAILABLE,scanner_fault,2026-09-05T06:00:00,Y
WO-000084,RBT-0099,DC-03,IN_PROGRESS,AVAILABLE,lidar_calibration,2026-08-29T06:00:00,Y
WO-000085,RBT-0365,DC-09,PLANNED,AVAILABLE,battery_degradation,2026-08-27T06:00:00,Y
WO-000086,RBT-0038,DC-01,CLOSED,AVAILABLE,preventive_maintenance,2026-08-28T06:00:00,Y
WO-000087,RBT-0225,DC-06,CLOSED,AVAILABLE,scanner_fault,2026-09-03T06:00:00,Y
WO-000088,RBT-0371,DC-10,OPEN,AVAILABLE,drive_fault,2026-08-27T06:00:00,N
WO-000089,RBT-0250,DC-07,PLANNED,AVAILABLE,scanner_fault,2026-08-28T06:00:00,Y
WO-000090,RBT-0223,DC-06,CLOSED,AVAILABLE,battery_degradation,2026-08-02T06:00:00,Y
WO-000091,RBT-0602,DC-16,PLANNED,AVAILABLE,lidar_calibration,2026-09-02T06:00:00,Y
WO-000092,RBT-0564,DC-14,OPEN,AVAILABLE,battery_degradation,2026-08-26T06:00:00,Y
WO-000093,RBT-0554,DC-14,IN_PROGRESS,AVAILABLE,lidar_calibration,2026-08-27T06:00:00,N
WO-000094,RBT-0079,DC-02,PLANNED,AVAILABLE,battery_degradation,2026-08-15T06:00:00,Y
WO-000095,RBT-0389,DC-10,OPEN,AVAILABLE,scanner_fault,2026-08-08T06:00:00,Y
WO-000096,RBT-0139,DC-04,IN_PROGRESS,UNAVAILABLE,preventive_maintenance,2026-08-06T06:00:00,Y
WO-000097,RBT-0217,DC-06,PLANNED,AVAILABLE,preventive_maintenance,2026-08-30T06:00:00,Y
WO-000098,RBT-0050,DC-02,IN_PROGRESS,AVAILABLE,battery_degradation,2026-08-23T06:00:00,Y
WO-000099,RBT-0373,DC-10,IN_PROGRESS,AVAILABLE,drive_fault,2026-08-31T06:00:00,Y
WO-000100,RBT-0244,DC-06,OPEN,AVAILABLE,wheel_wear,2026-08-16T06:00:00,Y
WO-000101,RBT-0298,DC-08,PLANNED,AVAILABLE,wheel_wear,2026-08-13T06:00:00,Y
WO-000102,RBT-0295,DC-08,CLOSED,AVAILABLE,scanner_fault,2026-09-03T06:00:00,Y
WO-000103,RBT-0056,DC-02,PLANNED,UNAVAILABLE,lidar_calibration,2026-08-12T06:00:00,Y
WO-000104,RBT-0589,DC-15,PLANNED,AVAILABLE,preventive_maintenance,2026-09-02T06:00:00,N
WO-000105,RBT-0345,DC-09,OPEN,UNAVAILABLE,wheel_wear,2026-08-17T06:00:00,Y
WO-000106,RBT-0558,DC-14,OPEN,UNAVAILABLE,lidar_calibration,2026-08-02T06:00:00,Y
WO-000107,RBT-0560,DC-14,CLOSED,AVAILABLE,preventive_maintenance,2026-08-15T06:00:00,Y
WO-000108,RBT-0712,DC-18,CLOSED,AVAILABLE,preventive_maintenance,2026-08-17T06:00:00,Y
WO-000109,RBT-0188,DC-05,OPEN,AVAILABLE,preventive_maintenance,2026-08-18T06:00:00,Y
WO-000110,RBT-0341,DC-09,IN_PROGRESS,AVAILABLE,preventive_maintenance,2026-08-28T06:00:00,N
WO-000111,RBT-0539,DC-14,CLOSED,AVAILABLE,drive_fault,2026-08-01T06:00:00,Y
WO-000112,RBT-0143,DC-04,IN_PROGRESS,AVAILABLE,drive_fault,2026-08-01T06:00:00,Y
WO-000113,RBT-0080,DC-02,IN_PROGRESS,AVAILABLE,scanner_fault,2026-08-24T06:00:00,Y
WO-000114,RBT-0472,DC-12,PLANNED,UNAVAILABLE,scanner_fault,2026-08-14T06:00:00,Y
WO-000115,RBT-0335,DC-09,PLANNED,AVAILABLE,wheel_wear,2026-08-29T06:00:00,Y
WO-000116,RBT-0277,DC-07,IN_PROGRESS,UNAVAILABLE,battery_degradation,2026-08-18T06:00:00,Y
WO-000117,RBT-0248,DC-07,OPEN,AVAILABLE,preventive_maintenance,2026-08-23T06:00:00,Y
WO-000118,RBT-0412,DC-11,CLOSED,AVAILABLE,battery_degradation,2026-08-12T06:00:00,N
WO-000119,RBT-0379,DC-10,IN_PROGRESS,UNAVAILABLE,lidar_calibration,2026-08-20T06:00:00,Y
WO-000120,RBT-0448,DC-12,CLOSED,AVAILABLE,preventive_maintenance,2026-08-17T06:00:00,Y
WO-000121,RBT-0485,DC-13,IN_PROGRESS,AVAILABLE,wheel_wear,2026-08-07T06:00:00,N
WO-000122,RBT-0218,DC-06,IN_PROGRESS,AVAILABLE,preventive_maintenance,2026-08-05T06:00:00,N
WO-000123,RBT-0496,DC-13,IN_PROGRESS,AVAILABLE,battery_degradation,2026-08-29T06:00:00,Y
WO-000124,RBT-0478,DC-12,PLANNED,AVAILABLE,lidar_calibration,2026-08-25T06:00:00,N
WO-000125,RBT-0174,DC-05,CLOSED,UNAVAILABLE,lidar_calibration,2026-08-02T06:00:00,N
WO-000126,RBT-0438,DC-11,CLOSED,UNAVAILABLE,wheel_wear,2026-08-19T06:00:00,N
WO-000127,RBT-0340,DC-09,CLOSED,AVAILABLE,wheel_wear,2026-08-28T06:00:00,Y
WO-000128,RBT-0329,DC-09,IN_PROGRESS,UNAVAILABLE,drive_fault,2026-08-16T06:00:00,Y
WO-000129,RBT-0242,DC-06,OPEN,UNAVAILABLE,wheel_wear,2026-08-13T06:00:00,Y
WO-000130,RBT-0118,DC-03,OPEN,AVAILABLE,drive_fault,2026-08-04T06:00:00,Y
WO-000131,RBT-0450,DC-12,OPEN,UNAVAILABLE,scanner_fault,2026-08-29T06:00:00,Y
WO-000132,RBT-0487,DC-13,CLOSED,AVAILABLE,drive_fault,2026-08-18T06:00:00,Y
WO-000133,RBT-0060,DC-02,IN_PROGRESS,UNAVAILABLE,lidar_calibration,2026-08-20T06:00:00,Y
WO-000134,RBT-0035,DC-01,PLANNED,AVAILABLE,drive_fault,2026-08-26T06:00:00,N
WO-000135,RBT-0547,DC-14,OPEN,AVAILABLE,preventive_maintenance,2026-08-02T06:00:00,Y
WO-000136,RBT-0203,DC-06,CLOSED,AVAILABLE,drive_fault,2026-08-25T06:00:00,N
WO-000137,RBT-0360,DC-09,CLOSED,UNAVAILABLE,wheel_wear,2026-09-01T06:00:00,Y
WO-000138,RBT-0137,DC-04,IN_PROGRESS,AVAILABLE,wheel_wear,2026-08-28T06:00:00,N
WO-000139,RBT-0287,DC-07,CLOSED,AVAILABLE,wheel_wear,2026-08-27T06:00:00,Y
WO-000140,RBT-0006,DC-01,OPEN,AVAILABLE,lidar_calibration,2026-08-20T06:00:00,Y
WO-000141,RBT-0637,DC-17,PLANNED,AVAILABLE,lidar_calibration,2026-08-02T06:00:00,Y
WO-000142,RBT-0108,DC-03,IN_PROGRESS,AVAILABLE,battery_degradation,2026-08-17T06:00:00,N
WO-000143,RBT-0567,DC-15,IN_PROGRESS,AVAILABLE,preventive_maintenance,2026-08-09T06:00:00,N
WO-000144,RBT-0105,DC-03,IN_PROGRESS,AVAILABLE,wheel_wear,2026-08-12T06:00:00,Y
WO-000145,RBT-0236,DC-06,OPEN,AVAILABLE,lidar_calibration,2026-08-06T06:00:00,Y
WO-000146,RBT-0416,DC-11,IN_PROGRESS,AVAILABLE,scanner_fault,2026-08-25T06:00:00,N
WO-000147,RBT-0475,DC-12,OPEN,AVAILABLE,battery_degradation,2026-08-23T06:00:00,Y
WO-000148,RBT-0310,DC-08,PLANNED,AVAILABLE,scanner_fault,2026-08-15T06:00:00,N
WO-000149,RBT-0524,DC-13,CLOSED,AVAILABLE,preventive_maintenance,2026-08-02T06:00:00,Y
WO-000150,RBT-0624,DC-16,OPEN,AVAILABLE,preventive_maintenance,2026-08-11T06:00:00,Y
WO-000151,RBT-0363,DC-09,IN_PROGRESS,UNAVAILABLE,preventive_maintenance,2026-08-12T06:00:00,Y
WO-000152,RBT-0286,DC-07,PLANNED,AVAILABLE,wheel_wear,2026-09-05T06:00:00,Y
WO-000153,RBT-0024,DC-01,IN_PROGRESS,AVAILABLE,drive_fault,2026-08-04T06:00:00,Y
WO-000154,RBT-0133,DC-04,PLANNED,AVAILABLE,scanner_fault,2026-08-12T06:00:00,Y
WO-000155,RBT-0419,DC-11,PLANNED,AVAILABLE,preventive_maintenance,2026-08-28T06:00:00,Y
WO-000156,RBT-0012,DC-01,PLANNED,UNAVAILABLE,preventive_maintenance,2026-08-18T06:00:00,Y
WO-000157,RBT-0263,DC-07,OPEN,AVAILABLE,battery_degradation,2026-09-05T06:00:00,Y
WO-000158,RBT-0369,DC-10,CLOSED,AVAILABLE,scanner_fault,2026-08-08T06:00:00,N
WO-000159,RBT-0273,DC-07,IN_PROGRESS,AVAILABLE,wheel_wear,2026-08-18T06:00:00,Y
WO-000160,RBT-0224,DC-06,IN_PROGRESS,AVAILABLE,drive_fault,2026-09-02T06:00:00,Y
WO-000161,RBT-0074,DC-02,CLOSED,AVAILABLE,preventive_maintenance,2026-08-27T06:00:00,Y
WO-000162,RBT-0027,DC-01,CLOSED,AVAILABLE,lidar_calibration,2026-08-31T06:00:00,Y
WO-000163,RBT-0574,DC-15,OPEN,UNAVAILABLE,battery_degradation,2026-08-19T06:00:00,N
WO-000164,RBT-0467,DC-12,PLANNED,AVAILABLE,preventive_maintenance,2026-08-12T06:00:00,Y
WO-000165,RBT-0606,DC-16,CLOSED,AVAILABLE,battery_degradation,2026-08-05T06:00:00,Y
WO-000166,RBT-0531,DC-14,OPEN,UNAVAILABLE,battery_degradation,2026-08-14T06:00:00,Y
WO-000167,RBT-0202,DC-06,CLOSED,AVAILABLE,scanner_fault,2026-08-18T06:00:00,Y
WO-000168,RBT-0520,DC-13,CLOSED,AVAILABLE,wheel_wear,2026-08-19T06:00:00,Y
WO-000169,RBT-0303,DC-08,OPEN,AVAILABLE,battery_degradation,2026-08-30T06:00:00,Y
WO-000170,RBT-0076,DC-02,CLOSED,AVAILABLE,wheel_wear,2026-08-13T06:00:00,Y
WO-000171,RBT-0216,DC-06,PLANNED,UNAVAILABLE,scanner_fault,2026-08-17T06:00:00,Y
WO-000172,RBT-0280,DC-07,OPEN,AVAILABLE,lidar_calibration,2026-08-01T06:00:00,Y
WO-000173,RBT-0503,DC-13,PLANNED,AVAILABLE,wheel_wear,2026-08-30T06:00:00,Y
WO-000174,RBT-0356,DC-09,CLOSED,AVAILABLE,drive_fault,2026-08-02T06:00:00,N
WO-000175,RBT-0613,DC-16,IN_PROGRESS,AVAILABLE,drive_fault,2026-09-03T06:00:00,N
WO-000176,RBT-0501,DC-13,IN_PROGRESS,UNAVAILABLE,battery_degradation,2026-08-06T06:00:00,Y
WO-000177,RBT-0117,DC-03,CLOSED,UNAVAILABLE,battery_degradation,2026-08-14T06:00:00,Y
WO-000178,RBT-0454,DC-12,CLOSED,AVAILABLE,wheel_wear,2026-08-12T06:00:00,Y
WO-000179,RBT-0207,DC-06,PLANNED,AVAILABLE,preventive_maintenance,2026-08-11T06:00:00,Y
WO-000180,RBT-0707,DC-18,PLANNED,AVAILABLE,drive_fault,2026-08-31T06:00:00,Y
WO-000181,RBT-0629,DC-16,PLANNED,UNAVAILABLE,scanner_fault,2026-08-10T06:00:00,N
WO-000182,RBT-0145,DC-04,PLANNED,UNAVAILABLE,battery_degradation,2026-09-05T06:00:00,Y
WO-000183,RBT-0084,DC-02,PLANNED,AVAILABLE,wheel_wear,2026-08-12T06:00:00,Y
WO-000184,RBT-0367,DC-10,PLANNED,UNAVAILABLE,battery_degradation,2026-08-31T06:00:00,Y
WO-000185,RBT-0058,DC-02,CLOSED,UNAVAILABLE,lidar_calibration,2026-08-08T06:00:00,Y
WO-000186,RBT-0633,DC-17,PLANNED,AVAILABLE,drive_fault,2026-08-31T06:00:00,Y
WO-000187,RBT-0110,DC-03,IN_PROGRESS,AVAILABLE,battery_degradation,2026-08-25T06:00:00,Y
WO-000188,RBT-0581,DC-15,IN_PROGRESS,AVAILABLE,battery_degradation,2026-09-02T06:00:00,Y
WO-000189,RBT-0008,DC-01,OPEN,AVAILABLE,lidar_calibration,2026-08-21T06:00:00,Y
WO-000190,RBT-0684,DC-18,IN_PROGRESS,UNAVAILABLE,lidar_calibration,2026-08-02T06:00:00,Y
WO-000191,RBT-0474,DC-12,OPEN,AVAILABLE,wheel_wear,2026-08-05T06:00:00,N
WO-000192,RBT-0569,DC-15,PLANNED,AVAILABLE,drive_fault,2026-08-01T06:00:00,Y
WO-000193,RBT-0480,DC-12,CLOSED,AVAILABLE,preventive_maintenance,2026-08-29T06:00:00,Y
WO-000194,RBT-0566,DC-15,CLOSED,AVAILABLE,preventive_maintenance,2026-08-02T06:00:00,Y
WO-000195,RBT-0528,DC-14,OPEN,AVAILABLE,scanner_fault,2026-08-30T06:00:00,Y
WO-000196,RBT-0169,DC-04,IN_PROGRESS,AVAILABLE,lidar_calibration,2026-09-04T06:00:00,Y
WO-000197,RBT-0002,DC-01,CLOSED,AVAILABLE,scanner_fault,2026-08-24T06:00:00,Y
WO-000198,RBT-0018,DC-01,CLOSED,AVAILABLE,preventive_maintenance,2026-08-30T06:00:00,Y
WO-000199,RBT-0401,DC-10,IN_PROGRESS,AVAILABLE,drive_fault,2026-08-01T06:00:00,Y
WO-000200,RBT-0115,DC-03,PLANNED,AVAILABLE,preventive_maintenance,2026-09-03T06:00:00,Y
WO-000201,RBT-0082,DC-02,PLANNED,AVAILABLE,wheel_wear,2026-08-28T06:00:00,Y
WO-000202,RBT-0339,DC-09,CLOSED,AVAILABLE,scanner_fault,2026-08-10T06:00:00,Y
WO-000203,RBT-0400,DC-10,PLANNED,AVAILABLE,lidar_calibration,2026-08-13T06:00:00,N
WO-000204,RBT-0685,DC-18,OPEN,UNAVAILABLE,lidar_calibration,2026-09-03T06:00:00,Y
WO-000205,RBT-0156,DC-04,IN_PROGRESS,AVAILABLE,lidar_calibration,2026-09-01T06:00:00,Y
WO-000206,RBT-0391,DC-10,CLOSED,AVAILABLE,wheel_wear,2026-08-07T06:00:00,Y
WO-000207,RBT-0299,DC-08,IN_PROGRESS,AVAILABLE,lidar_calibration,2026-08-05T06:00:00,Y
WO-000208,RBT-0300,DC-08,CLOSED,AVAILABLE,preventive_maintenance,2026-09-02T06:00:00,Y
WO-000209,RBT-0490,DC-13,CLOSED,AVAILABLE,preventive_maintenance,2026-09-03T06:00:00,N
WO-000210,RBT-0402,DC-10,IN_PROGRESS,UNAVAILABLE,preventive_maintenance,2026-09-03T06:00:00,Y
WO-000211,RBT-0316,DC-08,PLANNED,UNAVAILABLE,battery_degradation,2026-08-22T06:00:00,Y
WO-000212,RBT-0689,DC-18,CLOSED,AVAILABLE,scanner_fault,2026-08-27T06:00:00,Y
WO-000213,RBT-0327,DC-09,PLANNED,AVAILABLE,drive_fault,2026-08-03T06:00:00,Y
WO-000214,RBT-0089,DC-03,CLOSED,AVAILABLE,drive_fault,2026-08-01T06:00:00,Y
WO-000215,RBT-0045,DC-02,IN_PROGRESS,UNAVAILABLE,wheel_wear,2026-08-03T06:00:00,Y
WO-000216,RBT-0246,DC-07,OPEN,UNAVAILABLE,lidar_calibration,2026-08-26T06:00:00,Y
WO-000217,RBT-0285,DC-07,PLANNED,AVAILABLE,scanner_fault,2026-08-07T06:00:00,Y
WO-000218,RBT-0521,DC-13,OPEN,AVAILABLE,drive_fault,2026-08-21T06:00:00,Y
WO-000219,RBT-0354,DC-09,OPEN,AVAILABLE,scanner_fault,2026-08-07T06:00:00,N
WO-000220,RBT-0320,DC-08,CLOSED,AVAILABLE,drive_fault,2026-08-13T06:00:00,Y
WO-000221,RBT-0494,DC-13,CLOSED,AVAILABLE,scanner_fault,2026-08-08T06:00:00,N
WO-000222,RBT-0553,DC-14,CLOSED,AVAILABLE,preventive_maintenance,2026-08-29T06:00:00,N
WO-000223,RBT-0010,DC-01,IN_PROGRESS,AVAILABLE,preventive_maintenance,2026-08-10T06:00:00,N
WO-000224,RBT-0668,DC-18,PLANNED,AVAILABLE,lidar_calibration,2026-08-17T06:00:00,Y
WO-000225,RBT-0621,DC-16,OPEN,AVAILABLE,battery_degradation,2026-08-15T06:00:00,N
WO-000226,RBT-0073,DC-02,PLANNED,UNAVAILABLE,preventive_maintenance,2026-08-08T06:00:00,Y
WO-000227,RBT-0165,DC-04,PLANNED,AVAILABLE,preventive_maintenance,2026-09-02T06:00:00,Y
WO-000228,RBT-0093,DC-03,PLANNED,UNAVAILABLE,lidar_calibration,2026-08-17T06:00:00,Y
WO-000229,RBT-0394,DC-10,OPEN,UNAVAILABLE,scanner_fault,2026-09-01T06:00:00,N
WO-000230,RBT-0386,DC-10,IN_PROGRESS,UNAVAILABLE,wheel_wear,2026-08-21T06:00:00,Y
WO-000231,RBT-0140,DC-04,IN_PROGRESS,AVAILABLE,battery_degradation,2026-08-17T06:00:00,N
WO-000232,RBT-0680,DC-18,OPEN,AVAILABLE,wheel_wear,2026-08-01T06:00:00,Y
WO-000233,RBT-0426,DC-11,CLOSED,AVAILABLE,drive_fault,2026-08-06T06:00:00,Y
WO-000234,RBT-0153,DC-04,IN_PROGRESS,AVAILABLE,scanner_fault,2026-08-11T06:00:00,Y
WO-000235,RBT-0227,DC-06,CLOSED,AVAILABLE,lidar_calibration,2026-08-08T06:00:00,Y
WO-000236,RBT-0323,DC-08,IN_PROGRESS,UNAVAILABLE,drive_fault,2026-08-24T06:00:00,Y
WO-000237,RBT-0506,DC-13,PLANNED,AVAILABLE,preventive_maintenance,2026-08-03T06:00:00,Y
WO-000238,RBT-0552,DC-14,IN_PROGRESS,AVAILABLE,wheel_wear,2026-08-27T06:00:00,N
WO-000239,RBT-0179,DC-05,OPEN,AVAILABLE,battery_degradation,2026-08-22T06:00:00,Y
WO-000240,RBT-0164,DC-04,OPEN,AVAILABLE,battery_degradation,2026-08-24T06:00:00,Y
WO-000241,RBT-0484,DC-13,CLOSED,UNAVAILABLE,scanner_fault,2026-08-24T06:00:00,Y
WO-000242,RBT-0065,DC-02,OPEN,AVAILABLE,wheel_wear,2026-08-25T06:00:00,N
WO-000243,RBT-0512,DC-13,PLANNED,AVAILABLE,wheel_wear,2026-09-03T06:00:00,Y
WO-000244,RBT-0075,DC-02,PLANNED,AVAILABLE,scanner_fault,2026-08-04T06:00:00,Y
WO-000245,RBT-0425,DC-11,OPEN,AVAILABLE,battery_degradation,2026-08-25T06:00:00,Y
WO-000246,RBT-0328,DC-09,CLOSED,UNAVAILABLE,preventive_maintenance,2026-08-28T06:00:00,Y
