robot_id,warehouse_id,robot_type,vendor,fleet_id,firmware,battery_soc,battery_soh,health_status,payload_kg,safety_cert_status,calibration_status,connectivity
RBT-0051,DC-02,FORK_AMR,MoveIQ,DC-02-F3,1.5.1,25,95,HEALTHY,500,VALID,VALID,ONLINE
RBT-0052,DC-02,PALLET_MOVER,MoveIQ,DC-02-F3,3.5.6,65,68,HEALTHY,250,EXPIRED,VALID,ONLINE
RBT-0053,DC-02,CASE_PICKER,MoveIQ,DC-02-F1,1.5.8,52,72,MAINTENANCE,250,VALID,VALID,ONLINE
RBT-0054,DC-02,FORK_AMR,MoveIQ,DC-02-F4,3.0.7,57,86,HEALTHY,1000,VALID,VALID,ONLINE
RBT-0055,DC-02,PALLET_MOVER,MoveIQ,DC-02-F4,2.3.6,26,68,HEALTHY,1500,VALID,DUE,ONLINE
RBT-0056,DC-02,AGV,MoveIQ,DC-02-F3,3.5.7,64,82,HEALTHY,1000,VALID,DUE,ONLINE
RBT-0057,DC-02,AGV,MoveIQ,DC-02-F2,2.2.3,29,77,DEGRADED,100,VALID,DUE,INTERMITTENT
RBT-0058,DC-02,TUGGER,MoveIQ,DC-02-F1,1.6.5,42,95,HEALTHY,100,VALID,VALID,ONLINE
RBT-0059,DC-02,CASE_PICKER,MoveIQ,DC-02-F4,1.0.5,15,89,HEALTHY,500,VALID,VALID,ONLINE
RBT-0060,DC-02,AMR,MoveIQ,DC-02-F1,1.6.0,55,72,HEALTHY,1000,VALID,VALID,ONLINE
RBT-0061,DC-02,CASE_PICKER,MoveIQ,DC-02-F1,3.9.1,19,75,HEALTHY,1500,VALID,DUE,ONLINE
RBT-0062,DC-02,AGV,MoveIQ,DC-02-F2,3.7.6,90,98,DEGRADED,500,VALID,VALID,OFFLINE
RBT-0063,DC-02,AGV,MoveIQ,DC-02-F4,2.3.0,75,71,HEALTHY,1000,VALID,VALID,ONLINE
RBT-0064,DC-02,FORK_AMR,MoveIQ,DC-02-F3,2.6.9,81,88,HEALTHY,250,VALID,VALID,ONLINE
RBT-0065,DC-02,PALLET_MOVER,MoveIQ,DC-02-F1,2.5.0,44,77,HEALTHY,100,VALID,VALID,ONLINE
RBT-0066,DC-02,TUGGER,MoveIQ,DC-02-F1,4.4.9,29,68,HEALTHY,1000,EXPIRING,DUE,ONLINE
RBT-0067,DC-02,AGV,MoveIQ,DC-02-F4,1.8.7,89,99,HEALTHY,250,VALID,VALID,ONLINE
RBT-0068,DC-02,FORK_AMR,MoveIQ,DC-02-F1,4.5.3,91,73,HEALTHY,100,VALID,VALID,ONLINE
RBT-0069,DC-02,PALLET_MOVER,MoveIQ,DC-02-F4,3.2.1,29,97,HEALTHY,100,VALID,VALID,ONLINE
RBT-0070,DC-02,AMR,MoveIQ,DC-02-F4,1.3.8,28,68,HEALTHY,100,VALID,VALID,ONLINE
RBT-0071,DC-02,CASE_PICKER,MoveIQ,DC-02-F2,4.2.2,53,89,HEALTHY,500,VALID,VALID,ONLINE
RBT-0072,DC-02,AGV,MoveIQ,DC-02-F2,4.2.0,18,89,HEALTHY,1000,VALID,DUE,INTERMITTENT
RBT-0073,DC-02,FORK_AMR,MoveIQ,DC-02-F3,4.7.9,99,98,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0074,DC-02,FORK_AMR,MoveIQ,DC-02-F3,3.6.0,30,71,HEALTHY,100,EXPIRING,OVERDUE,ONLINE
RBT-0075,DC-02,FORK_AMR,MoveIQ,DC-02-F4,3.2.1,25,88,DEGRADED,500,VALID,VALID,ONLINE
RBT-0076,DC-02,TUGGER,MoveIQ,DC-02-F4,4.7.0,60,71,DEGRADED,500,VALID,VALID,OFFLINE
RBT-0077,DC-02,CASE_PICKER,MoveIQ,DC-02-F1,2.3.1,42,93,HEALTHY,100,VALID,VALID,ONLINE
RBT-0078,DC-02,AMR,MoveIQ,DC-02-F1,3.7.5,65,86,HEALTHY,100,EXPIRED,VALID,ONLINE
RBT-0079,DC-02,PALLET_MOVER,MoveIQ,DC-02-F4,2.6.5,14,69,HEALTHY,250,VALID,OVERDUE,ONLINE
RBT-0080,DC-02,AMR,MoveIQ,DC-02-F1,3.3.1,61,88,HEALTHY,250,VALID,VALID,ONLINE
RBT-0081,DC-02,FORK_AMR,MoveIQ,DC-02-F3,2.7.3,35,96,DEGRADED,1000,EXPIRING,VALID,ONLINE
RBT-0082,DC-02,CASE_PICKER,MoveIQ,DC-02-F1,3.6.6,22,89,DEGRADED,100,VALID,VALID,ONLINE
RBT-0083,DC-02,CASE_PICKER,MoveIQ,DC-02-F2,1.4.4,22,78,HEALTHY,250,VALID,VALID,ONLINE
RBT-0084,DC-02,CASE_PICKER,MoveIQ,DC-02-F1,1.4.7,99,76,HEALTHY,1500,VALID,DUE,ONLINE
RBT-0085,DC-02,AMR,MoveIQ,DC-02-F1,2.3.7,62,71,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0086,DC-03,CASE_PICKER,LegacyAGV,DC-03-F3,4.3.3,58,72,DEGRADED,500,VALID,VALID,ONLINE
RBT-0087,DC-03,CASE_PICKER,LegacyAGV,DC-03-F1,4.5.0,36,100,HEALTHY,500,VALID,VALID,ONLINE
RBT-0088,DC-03,TUGGER,LegacyAGV,DC-03-F3,2.5.5,36,78,MAINTENANCE,1500,VALID,DUE,ONLINE
RBT-0089,DC-03,TUGGER,LegacyAGV,DC-03-F2,3.3.8,80,70,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0090,DC-03,FORK_AMR,LegacyAGV,DC-03-F4,3.3.7,20,76,HEALTHY,500,VALID,VALID,ONLINE
RBT-0091,DC-03,FORK_AMR,LegacyAGV,DC-03-F1,3.4.3,91,97,HEALTHY,500,VALID,VALID,ONLINE
RBT-0092,DC-03,FORK_AMR,LegacyAGV,DC-03-F4,1.4.7,19,92,HEALTHY,1000,EXPIRED,VALID,ONLINE
RBT-0093,DC-03,AMR,LegacyAGV,DC-03-F3,4.5.5,70,72,HEALTHY,500,VALID,VALID,ONLINE
RBT-0094,DC-03,TUGGER,LegacyAGV,DC-03-F4,3.8.4,57,73,HEALTHY,100,VALID,VALID,ONLINE
RBT-0095,DC-03,AGV,LegacyAGV,DC-03-F3,4.1.7,95,87,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0096,DC-03,AGV,LegacyAGV,DC-03-F3,3.6.3,38,99,HEALTHY,250,VALID,VALID,ONLINE
RBT-0097,DC-03,AMR,LegacyAGV,DC-03-F2,2.9.2,26,93,DEGRADED,250,VALID,VALID,ONLINE
RBT-0098,DC-03,PALLET_MOVER,LegacyAGV,DC-03-F3,4.4.7,59,95,HEALTHY,500,VALID,VALID,ONLINE
RBT-0099,DC-03,AMR,LegacyAGV,DC-03-F4,4.0.2,96,80,HEALTHY,1000,EXPIRING,VALID,OFFLINE
RBT-0100,DC-03,FORK_AMR,LegacyAGV,DC-03-F3,4.1.7,73,70,HEALTHY,1500,VALID,DUE,OFFLINE
RBT-0101,DC-03,PALLET_MOVER,LegacyAGV,DC-03-F2,2.0.3,43,94,HEALTHY,250,VALID,OVERDUE,ONLINE
RBT-0102,DC-03,PALLET_MOVER,LegacyAGV,DC-03-F3,4.8.8,82,92,HEALTHY,100,VALID,VALID,ONLINE
RBT-0103,DC-03,FORK_AMR,LegacyAGV,DC-03-F1,3.5.7,42,75,HEALTHY,250,VALID,VALID,ONLINE
RBT-0104,DC-03,TUGGER,LegacyAGV,DC-03-F3,2.4.9,53,96,DEGRADED,250,VALID,VALID,ONLINE
RBT-0105,DC-03,FORK_AMR,LegacyAGV,DC-03-F2,1.8.5,21,98,DEGRADED,100,VALID,VALID,ONLINE
RBT-0106,DC-03,AGV,LegacyAGV,DC-03-F3,4.1.0,11,72,DEGRADED,500,VALID,VALID,ONLINE
RBT-0107,DC-03,AMR,LegacyAGV,DC-03-F1,4.4.7,30,81,HEALTHY,1000,VALID,VALID,ONLINE
RBT-0108,DC-03,TUGGER,LegacyAGV,DC-03-F3,4.6.9,36,88,HEALTHY,100,VALID,VALID,INTERMITTENT
RBT-0109,DC-03,FORK_AMR,LegacyAGV,DC-03-F1,1.0.9,90,69,MAINTENANCE,100,VALID,VALID,ONLINE
RBT-0110,DC-03,AGV,LegacyAGV,DC-03-F2,1.4.5,83,82,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0111,DC-03,PALLET_MOVER,LegacyAGV,DC-03-F4,1.7.4,66,76,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0112,DC-03,PALLET_MOVER,LegacyAGV,DC-03-F4,3.3.8,53,77,HEALTHY,100,VALID,VALID,ONLINE
RBT-0113,DC-03,AMR,LegacyAGV,DC-03-F4,1.7.4,65,72,DEGRADED,250,VALID,DUE,ONLINE
RBT-0114,DC-03,AMR,LegacyAGV,DC-03-F3,4.6.1,92,78,DEGRADED,100,VALID,VALID,ONLINE
RBT-0115,DC-03,CASE_PICKER,LegacyAGV,DC-03-F4,4.0.7,99,68,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0116,DC-03,AGV,LegacyAGV,DC-03-F1,3.4.4,9,84,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0117,DC-03,FORK_AMR,LegacyAGV,DC-03-F3,3.1.4,24,87,DEGRADED,500,EXPIRING,VALID,INTERMITTENT
RBT-0118,DC-03,TUGGER,LegacyAGV,DC-03-F4,3.5.1,65,81,HEALTHY,500,VALID,DUE,OFFLINE
RBT-0119,DC-03,AMR,LegacyAGV,DC-03-F4,4.8.0,82,77,HEALTHY,1000,EXPIRING,VALID,INTERMITTENT
RBT-0120,DC-03,PALLET_MOVER,LegacyAGV,DC-03-F3,1.5.6,100,85,DEGRADED,1000,VALID,VALID,ONLINE
RBT-0121,DC-03,FORK_AMR,LegacyAGV,DC-03-F3,3.9.6,32,84,HEALTHY,1500,EXPIRED,VALID,ONLINE
RBT-0122,DC-03,PALLET_MOVER,LegacyAGV,DC-03-F4,2.9.6,40,93,HEALTHY,1000,VALID,VALID,ONLINE
RBT-0123,DC-03,TUGGER,LegacyAGV,DC-03-F3,2.0.3,37,89,MAINTENANCE,500,VALID,VALID,ONLINE
RBT-0124,DC-03,TUGGER,LegacyAGV,DC-03-F1,4.6.8,18,96,HEALTHY,1000,VALID,VALID,ONLINE
RBT-0125,DC-03,FORK_AMR,LegacyAGV,DC-03-F1,2.8.3,85,84,HEALTHY,1500,EXPIRED,VALID,ONLINE
RBT-0126,DC-04,AMR,FleetOne,DC-04-F4,1.7.9,66,77,DEGRADED,500,VALID,VALID,INTERMITTENT
RBT-0127,DC-04,AGV,FleetOne,DC-04-F4,3.8.7,79,96,HEALTHY,100,VALID,VALID,ONLINE
RBT-0128,DC-04,TUGGER,FleetOne,DC-04-F4,3.1.9,81,76,DEGRADED,250,VALID,VALID,ONLINE
RBT-0129,DC-04,AMR,FleetOne,DC-04-F1,1.1.3,63,72,DEGRADED,1000,VALID,VALID,ONLINE
RBT-0130,DC-04,AGV,FleetOne,DC-04-F1,2.6.0,34,100,HEALTHY,1000,VALID,DUE,ONLINE
RBT-0131,DC-04,CASE_PICKER,FleetOne,DC-04-F1,3.7.8,30,73,HEALTHY,100,VALID,VALID,ONLINE
RBT-0132,DC-04,AGV,FleetOne,DC-04-F4,3.2.7,49,78,HEALTHY,500,VALID,VALID,ONLINE
RBT-0133,DC-04,FORK_AMR,FleetOne,DC-04-F4,1.6.9,19,72,HEALTHY,100,VALID,VALID,ONLINE
RBT-0134,DC-04,TUGGER,FleetOne,DC-04-F2,1.0.9,26,90,DEGRADED,100,VALID,VALID,ONLINE
RBT-0135,DC-04,PALLET_MOVER,FleetOne,DC-04-F3,1.0.8,9,94,HEALTHY,250,VALID,VALID,OFFLINE
RBT-0136,DC-04,AGV,FleetOne,DC-04-F1,2.7.0,14,69,MAINTENANCE,500,VALID,DUE,ONLINE
RBT-0137,DC-04,PALLET_MOVER,FleetOne,DC-04-F2,3.3.4,31,86,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0138,DC-04,AMR,FleetOne,DC-04-F4,3.3.0,82,82,DEGRADED,250,VALID,VALID,ONLINE
RBT-0139,DC-04,AGV,FleetOne,DC-04-F1,2.0.4,92,81,DEGRADED,250,VALID,VALID,ONLINE
RBT-0140,DC-04,CASE_PICKER,FleetOne,DC-04-F1,2.9.3,72,70,HEALTHY,1000,VALID,VALID,ONLINE
RBT-0141,DC-04,FORK_AMR,FleetOne,DC-04-F1,3.4.0,95,91,DEGRADED,1500,VALID,VALID,ONLINE
RBT-0142,DC-04,TUGGER,FleetOne,DC-04-F4,1.6.1,63,72,HEALTHY,1000,VALID,VALID,ONLINE
RBT-0143,DC-04,TUGGER,FleetOne,DC-04-F1,3.1.8,49,74,HEALTHY,250,VALID,VALID,ONLINE
RBT-0144,DC-04,PALLET_MOVER,FleetOne,DC-04-F4,2.4.6,15,92,DEGRADED,1000,VALID,VALID,ONLINE
RBT-0145,DC-04,AMR,FleetOne,DC-04-F4,3.4.5,86,75,HEALTHY,1500,VALID,OVERDUE,ONLINE
RBT-0146,DC-04,TUGGER,FleetOne,DC-04-F1,1.2.7,57,72,HEALTHY,1000,VALID,VALID,ONLINE
RBT-0147,DC-04,PALLET_MOVER,FleetOne,DC-04-F4,2.6.8,67,89,MAINTENANCE,1500,VALID,VALID,ONLINE
RBT-0148,DC-04,TUGGER,FleetOne,DC-04-F3,2.7.3,73,94,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0149,DC-04,FORK_AMR,FleetOne,DC-04-F4,1.8.1,57,71,HEALTHY,100,VALID,VALID,ONLINE
RBT-0150,DC-04,CASE_PICKER,FleetOne,DC-04-F3,4.2.4,44,77,HEALTHY,250,VALID,VALID,ONLINE
RBT-0151,DC-04,TUGGER,FleetOne,DC-04-F1,2.1.0,31,98,MAINTENANCE,250,VALID,DUE,ONLINE
RBT-0152,DC-04,CASE_PICKER,FleetOne,DC-04-F2,4.3.8,90,90,HEALTHY,500,VALID,VALID,ONLINE
RBT-0153,DC-04,AMR,FleetOne,DC-04-F2,1.8.7,72,76,HEALTHY,500,VALID,VALID,ONLINE
RBT-0154,DC-04,AGV,FleetOne,DC-04-F4,3.6.3,12,98,MAINTENANCE,500,VALID,VALID,INTERMITTENT
RBT-0155,DC-04,PALLET_MOVER,FleetOne,DC-04-F3,2.2.2,49,69,MAINTENANCE,1500,VALID,VALID,ONLINE
RBT-0156,DC-04,AMR,FleetOne,DC-04-F4,3.4.5,31,85,HEALTHY,250,VALID,DUE,ONLINE
RBT-0157,DC-04,AMR,FleetOne,DC-04-F1,2.3.2,81,75,HEALTHY,500,EXPIRED,VALID,INTERMITTENT
RBT-0158,DC-04,AGV,FleetOne,DC-04-F4,4.6.7,79,75,HEALTHY,1000,VALID,DUE,ONLINE
RBT-0159,DC-04,AMR,FleetOne,DC-04-F3,4.3.5,83,89,HEALTHY,500,VALID,VALID,ONLINE
RBT-0160,DC-04,AGV,FleetOne,DC-04-F4,3.0.3,49,71,DEGRADED,1000,VALID,VALID,ONLINE
RBT-0161,DC-04,AGV,FleetOne,DC-04-F4,2.4.5,100,84,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0162,DC-04,AGV,FleetOne,DC-04-F2,1.1.1,63,69,MAINTENANCE,1500,VALID,VALID,ONLINE
RBT-0163,DC-04,TUGGER,FleetOne,DC-04-F3,3.1.6,29,89,HEALTHY,1000,EXPIRING,OVERDUE,OFFLINE
RBT-0164,DC-04,FORK_AMR,FleetOne,DC-04-F2,1.5.0,71,90,DEGRADED,1500,VALID,VALID,ONLINE
RBT-0165,DC-04,PALLET_MOVER,FleetOne,DC-04-F1,2.7.3,36,69,HEALTHY,1500,VALID,DUE,ONLINE
RBT-0166,DC-04,AMR,FleetOne,DC-04-F1,4.2.8,85,72,DEGRADED,1000,VALID,VALID,ONLINE
RBT-0167,DC-04,AMR,FleetOne,DC-04-F3,1.8.8,9,68,HEALTHY,100,VALID,OVERDUE,ONLINE
RBT-0168,DC-04,AGV,FleetOne,DC-04-F1,4.2.2,55,78,HEALTHY,250,VALID,DUE,ONLINE
RBT-0169,DC-04,AMR,FleetOne,DC-04-F1,4.8.3,19,68,DEGRADED,1000,EXPIRED,VALID,INTERMITTENT
RBT-0170,DC-04,TUGGER,FleetOne,DC-04-F3,4.0.7,57,84,HEALTHY,1500,EXPIRED,VALID,OFFLINE
RBT-0171,DC-05,CASE_PICKER,RoboFlow,DC-05-F1,1.0.5,97,87,HEALTHY,100,VALID,VALID,INTERMITTENT
RBT-0172,DC-05,FORK_AMR,RoboFlow,DC-05-F1,2.5.0,78,74,DEGRADED,1000,VALID,VALID,ONLINE
RBT-0173,DC-05,TUGGER,RoboFlow,DC-05-F2,1.6.4,84,89,HEALTHY,1000,VALID,OVERDUE,ONLINE
RBT-0174,DC-05,AMR,RoboFlow,DC-05-F4,4.2.3,51,70,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0175,DC-05,TUGGER,RoboFlow,DC-05-F3,2.3.2,26,90,HEALTHY,100,VALID,OVERDUE,OFFLINE
RBT-0176,DC-05,TUGGER,RoboFlow,DC-05-F1,1.9.5,30,83,DEGRADED,500,VALID,VALID,ONLINE
RBT-0177,DC-05,PALLET_MOVER,RoboFlow,DC-05-F1,4.6.3,93,99,HEALTHY,500,VALID,VALID,ONLINE
RBT-0178,DC-05,PALLET_MOVER,RoboFlow,DC-05-F2,4.1.4,83,83,HEALTHY,100,EXPIRED,VALID,ONLINE
RBT-0179,DC-05,PALLET_MOVER,RoboFlow,DC-05-F3,1.9.0,42,89,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0180,DC-05,PALLET_MOVER,RoboFlow,DC-05-F3,1.1.2,75,84,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0181,DC-05,FORK_AMR,RoboFlow,DC-05-F1,3.8.2,74,97,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0182,DC-05,AMR,RoboFlow,DC-05-F2,1.4.0,58,91,DEGRADED,250,VALID,VALID,ONLINE
RBT-0183,DC-05,PALLET_MOVER,RoboFlow,DC-05-F3,2.6.5,35,93,HEALTHY,1000,VALID,VALID,ONLINE
RBT-0184,DC-05,CASE_PICKER,RoboFlow,DC-05-F1,3.3.6,54,98,HEALTHY,250,VALID,VALID,ONLINE
RBT-0185,DC-05,AGV,RoboFlow,DC-05-F2,4.0.5,55,98,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0186,DC-05,AMR,RoboFlow,DC-05-F2,2.1.4,95,81,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0187,DC-05,TUGGER,RoboFlow,DC-05-F2,4.3.2,13,90,HEALTHY,500,VALID,VALID,INTERMITTENT
RBT-0188,DC-05,PALLET_MOVER,RoboFlow,DC-05-F1,2.4.7,80,92,MAINTENANCE,1000,VALID,VALID,ONLINE
RBT-0189,DC-05,AMR,RoboFlow,DC-05-F1,4.5.4,74,76,HEALTHY,500,VALID,DUE,OFFLINE
RBT-0190,DC-05,CASE_PICKER,RoboFlow,DC-05-F1,2.2.9,9,84,DEGRADED,500,VALID,DUE,ONLINE
RBT-0191,DC-05,CASE_PICKER,RoboFlow,DC-05-F2,4.2.1,66,81,HEALTHY,500,VALID,VALID,ONLINE
RBT-0192,DC-05,PALLET_MOVER,RoboFlow,DC-05-F4,3.6.7,91,70,HEALTHY,250,VALID,DUE,ONLINE
RBT-0193,DC-05,AGV,RoboFlow,DC-05-F2,2.9.0,70,83,MAINTENANCE,1500,VALID,VALID,ONLINE
RBT-0194,DC-05,AMR,RoboFlow,DC-05-F2,4.5.8,50,93,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0195,DC-05,AGV,RoboFlow,DC-05-F1,4.4.1,80,77,HEALTHY,500,VALID,DUE,ONLINE
RBT-0196,DC-05,TUGGER,RoboFlow,DC-05-F1,4.5.9,53,83,HEALTHY,100,VALID,VALID,ONLINE
RBT-0197,DC-05,CASE_PICKER,RoboFlow,DC-05-F2,3.4.8,77,70,HEALTHY,250,VALID,VALID,ONLINE
RBT-0198,DC-05,CASE_PICKER,RoboFlow,DC-05-F1,2.6.3,48,75,HEALTHY,500,VALID,VALID,ONLINE
RBT-0199,DC-05,CASE_PICKER,RoboFlow,DC-05-F4,4.4.9,64,78,HEALTHY,250,VALID,DUE,ONLINE
RBT-0200,DC-05,FORK_AMR,RoboFlow,DC-05-F1,3.2.0,82,71,HEALTHY,100,VALID,VALID,ONLINE
RBT-0201,DC-06,FORK_AMR,MoveIQ,DC-06-F1,3.5.2,16,85,HEALTHY,1000,EXPIRED,VALID,ONLINE
RBT-0202,DC-06,AGV,MoveIQ,DC-06-F1,1.6.7,94,85,HEALTHY,1500,VALID,OVERDUE,ONLINE
