asset_id,warehouse_id,asset_type,state,maintenance_state,controller_version
DC-02-CONVEYOR-06,DC-02,CONVEYOR,AVAILABLE,OVERDUE,5.1
DC-02-CONVEYOR-07,DC-02,CONVEYOR,AVAILABLE,CLEAR,1.5
DC-02-CONVEYOR-08,DC-02,CONVEYOR,DEGRADED,CLEAR,7.8
DC-02-CONVEYOR-09,DC-02,CONVEYOR,AVAILABLE,CLEAR,3.0
DC-02-CONVEYOR-10,DC-02,CONVEYOR,AVAILABLE,CLEAR,2.1
DC-02-SORTER-01,DC-02,SORTER,DEGRADED,CLEAR,4.4
DC-02-SORTER-02,DC-02,SORTER,AVAILABLE,CLEAR,4.9
DC-02-SORTER-03,DC-02,SORTER,AVAILABLE,CLEAR,1.2
DC-02-ASRS-01,DC-02,ASRS,AVAILABLE,OVERDUE,7.7
DC-02-ASRS-02,DC-02,ASRS,AVAILABLE,CLEAR,5.1
DC-02-CHARGER-01,DC-02,CHARGER,AVAILABLE,CLEAR,1.7
DC-02-CHARGER-02,DC-02,CHARGER,AVAILABLE,DUE,1.5
DC-02-CHARGER-03,DC-02,CHARGER,AVAILABLE,CLEAR,2.7
DC-02-CHARGER-04,DC-02,CHARGER,AVAILABLE,CLEAR,1.0
DC-02-CHARGER-05,DC-02,CHARGER,AVAILABLE,DUE,5.1
DC-02-CHARGER-06,DC-02,CHARGER,AVAILABLE,CLEAR,7.9
DC-02-CHARGER-07,DC-02,CHARGER,DOWN,OVERDUE,2.0
DC-02-CHARGER-08,DC-02,CHARGER,DEGRADED,OVERDUE,4.9
DC-02-PACK_STATION-01,DC-02,PACK_STATION,AVAILABLE,CLEAR,4.5
DC-02-PACK_STATION-02,DC-02,PACK_STATION,AVAILABLE,CLEAR,6.8
DC-02-PACK_STATION-03,DC-02,PACK_STATION,AVAILABLE,CLEAR,6.0
DC-02-PACK_STATION-04,DC-02,PACK_STATION,AVAILABLE,CLEAR,7.5
DC-02-PACK_STATION-05,DC-02,PACK_STATION,AVAILABLE,DUE,1.6
DC-02-PACK_STATION-06,DC-02,PACK_STATION,DEGRADED,CLEAR,1.4
DC-02-PACK_STATION-07,DC-02,PACK_STATION,AVAILABLE,CLEAR,3.7
DC-02-PACK_STATION-08,DC-02,PACK_STATION,AVAILABLE,CLEAR,1.1
DC-02-PACK_STATION-09,DC-02,PACK_STATION,AVAILABLE,DUE,3.1
DC-02-PACK_STATION-10,DC-02,PACK_STATION,DOWN,DUE,5.4
DC-02-PACK_STATION-11,DC-02,PACK_STATION,AVAILABLE,CLEAR,6.0
DC-02-PACK_STATION-12,DC-02,PACK_STATION,DEGRADED,CLEAR,1.5
DC-02-DOCK_DOOR-01,DC-02,DOCK_DOOR,DOWN,DUE,7.8
DC-02-DOCK_DOOR-02,DC-02,DOCK_DOOR,DEGRADED,CLEAR,7.9
DC-02-DOCK_DOOR-03,DC-02,DOCK_DOOR,AVAILABLE,CLEAR,5.4
DC-02-DOCK_DOOR-04,DC-02,DOCK_DOOR,DEGRADED,CLEAR,6.3
DC-02-DOCK_DOOR-05,DC-02,DOCK_DOOR,AVAILABLE,CLEAR,3.6
DC-02-DOCK_DOOR-06,DC-02,DOCK_DOOR,AVAILABLE,DUE,6.8
DC-02-DOCK_DOOR-07,DC-02,DOCK_DOOR,AVAILABLE,CLEAR,2.2
DC-02-DOCK_DOOR-08,DC-02,DOCK_DOOR,AVAILABLE,CLEAR,4.9
DC-02-DOCK_DOOR-09,DC-02,DOCK_DOOR,DOWN,CLEAR,2.0
DC-02-DOCK_DOOR-10,DC-02,DOCK_DOOR,AVAILABLE,DUE,5.5
DC-02-VISION_GATE-01,DC-02,VISION_GATE,AVAILABLE,DUE,3.4
DC-02-VISION_GATE-02,DC-02,VISION_GATE,AVAILABLE,CLEAR,5.8
DC-02-VISION_GATE-03,DC-02,VISION_GATE,AVAILABLE,CLEAR,7.0
DC-02-VISION_GATE-04,DC-02,VISION_GATE,AVAILABLE,CLEAR,7.4
DC-02-VISION_GATE-05,DC-02,VISION_GATE,AVAILABLE,DUE,7.7
DC-02-VISION_GATE-06,DC-02,VISION_GATE,AVAILABLE,CLEAR,6.9
DC-03-CONVEYOR-01,DC-03,CONVEYOR,DEGRADED,OVERDUE,6.2
DC-03-CONVEYOR-02,DC-03,CONVEYOR,AVAILABLE,CLEAR,4.5
DC-03-CONVEYOR-03,DC-03,CONVEYOR,AVAILABLE,CLEAR,4.0
DC-03-CONVEYOR-04,DC-03,CONVEYOR,AVAILABLE,CLEAR,4.8
DC-03-CONVEYOR-05,DC-03,CONVEYOR,DOWN,CLEAR,3.8
DC-03-CONVEYOR-06,DC-03,CONVEYOR,AVAILABLE,CLEAR,2.6
DC-03-CONVEYOR-07,DC-03,CONVEYOR,AVAILABLE,OVERDUE,1.8
DC-03-CONVEYOR-08,DC-03,CONVEYOR,AVAILABLE,CLEAR,1.1
DC-03-CONVEYOR-09,DC-03,CONVEYOR,AVAILABLE,CLEAR,4.4
DC-03-CONVEYOR-10,DC-03,CONVEYOR,DEGRADED,CLEAR,2.2
DC-03-SORTER-01,DC-03,SORTER,AVAILABLE,DUE,6.2
DC-03-SORTER-02,DC-03,SORTER,DEGRADED,CLEAR,6.9
DC-03-SORTER-03,DC-03,SORTER,AVAILABLE,DUE,5.8
DC-03-ASRS-01,DC-03,ASRS,AVAILABLE,CLEAR,7.2
DC-03-ASRS-02,DC-03,ASRS,DOWN,CLEAR,1.7
DC-03-CHARGER-01,DC-03,CHARGER,AVAILABLE,CLEAR,7.8
DC-03-CHARGER-02,DC-03,CHARGER,AVAILABLE,DUE,4.3
DC-03-CHARGER-03,DC-03,CHARGER,DOWN,CLEAR,1.3
DC-03-CHARGER-04,DC-03,CHARGER,AVAILABLE,CLEAR,1.2
DC-03-CHARGER-05,DC-03,CHARGER,DOWN,CLEAR,7.2
DC-03-CHARGER-06,DC-03,CHARGER,DEGRADED,CLEAR,1.9
DC-03-CHARGER-07,DC-03,CHARGER,DEGRADED,OVERDUE,3.8
DC-03-CHARGER-08,DC-03,CHARGER,AVAILABLE,CLEAR,7.8
DC-03-PACK_STATION-01,DC-03,PACK_STATION,AVAILABLE,CLEAR,1.8
DC-03-PACK_STATION-02,DC-03,PACK_STATION,AVAILABLE,DUE,1.6
DC-03-PACK_STATION-03,DC-03,PACK_STATION,DEGRADED,CLEAR,3.5
DC-03-PACK_STATION-04,DC-03,PACK_STATION,DEGRADED,CLEAR,4.4
DC-03-PACK_STATION-05,DC-03,PACK_STATION,DOWN,DUE,2.6
DC-03-PACK_STATION-06,DC-03,PACK_STATION,AVAILABLE,CLEAR,2.5
DC-03-PACK_STATION-07,DC-03,PACK_STATION,AVAILABLE,CLEAR,1.0
DC-03-PACK_STATION-08,DC-03,PACK_STATION,AVAILABLE,CLEAR,5.1
DC-03-PACK_STATION-09,DC-03,PACK_STATION,AVAILABLE,DUE,4.8
DC-03-PACK_STATION-10,DC-03,PACK_STATION,AVAILABLE,CLEAR,5.2
DC-03-PACK_STATION-11,DC-03,PACK_STATION,AVAILABLE,CLEAR,3.1
DC-03-PACK_STATION-12,DC-03,PACK_STATION,AVAILABLE,DUE,2.9
DC-03-DOCK_DOOR-01,DC-03,DOCK_DOOR,AVAILABLE,DUE,7.7
DC-03-DOCK_DOOR-02,DC-03,DOCK_DOOR,AVAILABLE,CLEAR,2.5
DC-03-DOCK_DOOR-03,DC-03,DOCK_DOOR,AVAILABLE,CLEAR,4.4
DC-03-DOCK_DOOR-04,DC-03,DOCK_DOOR,AVAILABLE,CLEAR,2.5
DC-03-DOCK_DOOR-05,DC-03,DOCK_DOOR,AVAILABLE,CLEAR,7.4
DC-03-DOCK_DOOR-06,DC-03,DOCK_DOOR,AVAILABLE,CLEAR,7.3
DC-03-DOCK_DOOR-07,DC-03,DOCK_DOOR,AVAILABLE,CLEAR,6.6
DC-03-DOCK_DOOR-08,DC-03,DOCK_DOOR,AVAILABLE,CLEAR,4.2
DC-03-DOCK_DOOR-09,DC-03,DOCK_DOOR,AVAILABLE,CLEAR,6.8
DC-03-DOCK_DOOR-10,DC-03,DOCK_DOOR,AVAILABLE,CLEAR,4.6
DC-03-VISION_GATE-01,DC-03,VISION_GATE,AVAILABLE,CLEAR,5.2
DC-03-VISION_GATE-02,DC-03,VISION_GATE,AVAILABLE,CLEAR,7.9
DC-03-VISION_GATE-03,DC-03,VISION_GATE,AVAILABLE,DUE,2.9
DC-03-VISION_GATE-04,DC-03,VISION_GATE,AVAILABLE,CLEAR,5.1
DC-03-VISION_GATE-05,DC-03,VISION_GATE,AVAILABLE,CLEAR,6.1
DC-03-VISION_GATE-06,DC-03,VISION_GATE,AVAILABLE,CLEAR,7.7
DC-04-CONVEYOR-01,DC-04,CONVEYOR,DEGRADED,CLEAR,7.0
DC-04-CONVEYOR-02,DC-04,CONVEYOR,DOWN,CLEAR,1.1
DC-04-CONVEYOR-03,DC-04,CONVEYOR,DEGRADED,CLEAR,7.0
DC-04-CONVEYOR-04,DC-04,CONVEYOR,AVAILABLE,CLEAR,3.1
DC-04-CONVEYOR-05,DC-04,CONVEYOR,AVAILABLE,OVERDUE,6.6
DC-04-CONVEYOR-06,DC-04,CONVEYOR,DEGRADED,CLEAR,6.0
DC-04-CONVEYOR-07,DC-04,CONVEYOR,AVAILABLE,CLEAR,7.5
DC-04-CONVEYOR-08,DC-04,CONVEYOR,AVAILABLE,CLEAR,3.8
DC-04-CONVEYOR-09,DC-04,CONVEYOR,DOWN,CLEAR,6.4
DC-04-CONVEYOR-10,DC-04,CONVEYOR,AVAILABLE,CLEAR,6.9
DC-04-SORTER-01,DC-04,SORTER,AVAILABLE,CLEAR,3.1
DC-04-SORTER-02,DC-04,SORTER,AVAILABLE,CLEAR,6.2
DC-04-SORTER-03,DC-04,SORTER,AVAILABLE,CLEAR,3.0
DC-04-ASRS-01,DC-04,ASRS,AVAILABLE,CLEAR,7.8
DC-04-ASRS-02,DC-04,ASRS,AVAILABLE,CLEAR,3.6
DC-04-CHARGER-01,DC-04,CHARGER,AVAILABLE,CLEAR,5.2
DC-04-CHARGER-02,DC-04,CHARGER,AVAILABLE,CLEAR,5.5
DC-04-CHARGER-03,DC-04,CHARGER,AVAILABLE,CLEAR,2.4
DC-04-CHARGER-04,DC-04,CHARGER,AVAILABLE,CLEAR,2.3
DC-04-CHARGER-05,DC-04,CHARGER,AVAILABLE,CLEAR,1.8
DC-04-CHARGER-06,DC-04,CHARGER,AVAILABLE,CLEAR,4.5
DC-04-CHARGER-07,DC-04,CHARGER,AVAILABLE,CLEAR,5.5
DC-04-CHARGER-08,DC-04,CHARGER,AVAILABLE,DUE,7.7
DC-04-PACK_STATION-01,DC-04,PACK_STATION,AVAILABLE,CLEAR,5.3
DC-04-PACK_STATION-02,DC-04,PACK_STATION,DEGRADED,CLEAR,6.1
DC-04-PACK_STATION-03,DC-04,PACK_STATION,AVAILABLE,DUE,6.4
DC-04-PACK_STATION-04,DC-04,PACK_STATION,AVAILABLE,CLEAR,1.1
DC-04-PACK_STATION-05,DC-04,PACK_STATION,AVAILABLE,CLEAR,4.9
DC-04-PACK_STATION-06,DC-04,PACK_STATION,AVAILABLE,CLEAR,3.0
DC-04-PACK_STATION-07,DC-04,PACK_STATION,DEGRADED,OVERDUE,4.0
DC-04-PACK_STATION-08,DC-04,PACK_STATION,AVAILABLE,CLEAR,3.2
DC-04-PACK_STATION-09,DC-04,PACK_STATION,AVAILABLE,DUE,3.1
DC-04-PACK_STATION-10,DC-04,PACK_STATION,DOWN,DUE,3.1
DC-04-PACK_STATION-11,DC-04,PACK_STATION,DOWN,CLEAR,5.0
DC-04-PACK_STATION-12,DC-04,PACK_STATION,AVAILABLE,CLEAR,2.4
DC-04-DOCK_DOOR-01,DC-04,DOCK_DOOR,AVAILABLE,CLEAR,2.1
DC-04-DOCK_DOOR-02,DC-04,DOCK_DOOR,AVAILABLE,CLEAR,3.5
DC-04-DOCK_DOOR-03,DC-04,DOCK_DOOR,AVAILABLE,CLEAR,2.7
DC-04-DOCK_DOOR-04,DC-04,DOCK_DOOR,DEGRADED,CLEAR,7.4
DC-04-DOCK_DOOR-05,DC-04,DOCK_DOOR,AVAILABLE,CLEAR,2.4
DC-04-DOCK_DOOR-06,DC-04,DOCK_DOOR,AVAILABLE,CLEAR,7.0
DC-04-DOCK_DOOR-07,DC-04,DOCK_DOOR,AVAILABLE,CLEAR,2.5
DC-04-DOCK_DOOR-08,DC-04,DOCK_DOOR,AVAILABLE,CLEAR,2.5
DC-04-DOCK_DOOR-09,DC-04,DOCK_DOOR,AVAILABLE,CLEAR,5.0
DC-04-DOCK_DOOR-10,DC-04,DOCK_DOOR,AVAILABLE,DUE,3.5
DC-04-VISION_GATE-01,DC-04,VISION_GATE,AVAILABLE,CLEAR,4.9
DC-04-VISION_GATE-02,DC-04,VISION_GATE,AVAILABLE,CLEAR,2.2
DC-04-VISION_GATE-03,DC-04,VISION_GATE,AVAILABLE,CLEAR,2.4
DC-04-VISION_GATE-04,DC-04,VISION_GATE,AVAILABLE,CLEAR,2.8
DC-04-VISION_GATE-05,DC-04,VISION_GATE,AVAILABLE,CLEAR,5.2
DC-04-VISION_GATE-06,DC-04,VISION_GATE,AVAILABLE,CLEAR,6.6
DC-05-CONVEYOR-01,DC-05,CONVEYOR,AVAILABLE,DUE,3.6
DC-05-CONVEYOR-02,DC-05,CONVEYOR,AVAILABLE,CLEAR,5.1
DC-05-CONVEYOR-03,DC-05,CONVEYOR,AVAILABLE,CLEAR,2.3
DC-05-CONVEYOR-04,DC-05,CONVEYOR,AVAILABLE,CLEAR,1.3
DC-05-CONVEYOR-05,DC-05,CONVEYOR,AVAILABLE,CLEAR,6.6
DC-05-CONVEYOR-06,DC-05,CONVEYOR,DEGRADED,CLEAR,7.6
DC-05-CONVEYOR-07,DC-05,CONVEYOR,AVAILABLE,CLEAR,2.5
DC-05-CONVEYOR-08,DC-05,CONVEYOR,AVAILABLE,CLEAR,4.8
DC-05-CONVEYOR-09,DC-05,CONVEYOR,AVAILABLE,CLEAR,7.3
DC-05-CONVEYOR-10,DC-05,CONVEYOR,AVAILABLE,CLEAR,5.5
DC-05-SORTER-01,DC-05,SORTER,AVAILABLE,CLEAR,6.3
DC-05-SORTER-02,DC-05,SORTER,AVAILABLE,CLEAR,3.6
DC-05-SORTER-03,DC-05,SORTER,AVAILABLE,CLEAR,2.7
DC-05-ASRS-01,DC-05,ASRS,AVAILABLE,CLEAR,7.2
DC-05-ASRS-02,DC-05,ASRS,AVAILABLE,CLEAR,3.1
DC-05-CHARGER-01,DC-05,CHARGER,AVAILABLE,CLEAR,6.9
DC-05-CHARGER-02,DC-05,CHARGER,AVAILABLE,CLEAR,7.2
DC-05-CHARGER-03,DC-05,CHARGER,AVAILABLE,CLEAR,7.9
DC-05-CHARGER-04,DC-05,CHARGER,AVAILABLE,CLEAR,5.7
DC-05-CHARGER-05,DC-05,CHARGER,DOWN,CLEAR,7.3
DC-05-CHARGER-06,DC-05,CHARGER,AVAILABLE,DUE,7.6
DC-05-CHARGER-07,DC-05,CHARGER,AVAILABLE,CLEAR,5.2
DC-05-CHARGER-08,DC-05,CHARGER,AVAILABLE,CLEAR,6.4
DC-05-PACK_STATION-01,DC-05,PACK_STATION,AVAILABLE,CLEAR,3.3
DC-05-PACK_STATION-02,DC-05,PACK_STATION,AVAILABLE,CLEAR,7.6
DC-05-PACK_STATION-03,DC-05,PACK_STATION,DEGRADED,CLEAR,7.5
DC-05-PACK_STATION-04,DC-05,PACK_STATION,AVAILABLE,DUE,1.1
DC-05-PACK_STATION-05,DC-05,PACK_STATION,AVAILABLE,CLEAR,1.5
DC-05-PACK_STATION-06,DC-05,PACK_STATION,DOWN,CLEAR,6.4
DC-05-PACK_STATION-07,DC-05,PACK_STATION,DOWN,CLEAR,4.4
DC-05-PACK_STATION-08,DC-05,PACK_STATION,AVAILABLE,CLEAR,1.5
DC-05-PACK_STATION-09,DC-05,PACK_STATION,AVAILABLE,CLEAR,4.5
DC-05-PACK_STATION-10,DC-05,PACK_STATION,DEGRADED,CLEAR,6.8
DC-05-PACK_STATION-11,DC-05,PACK_STATION,AVAILABLE,CLEAR,6.6
DC-05-PACK_STATION-12,DC-05,PACK_STATION,DEGRADED,CLEAR,1.9
DC-05-DOCK_DOOR-01,DC-05,DOCK_DOOR,AVAILABLE,CLEAR,4.9
DC-05-DOCK_DOOR-02,DC-05,DOCK_DOOR,AVAILABLE,CLEAR,6.1
DC-05-DOCK_DOOR-03,DC-05,DOCK_DOOR,AVAILABLE,DUE,4.1
DC-05-DOCK_DOOR-04,DC-05,DOCK_DOOR,AVAILABLE,CLEAR,5.6
DC-05-DOCK_DOOR-05,DC-05,DOCK_DOOR,AVAILABLE,CLEAR,2.5
DC-05-DOCK_DOOR-06,DC-05,DOCK_DOOR,DEGRADED,CLEAR,2.1
DC-05-DOCK_DOOR-07,DC-05,DOCK_DOOR,AVAILABLE,CLEAR,4.2
DC-05-DOCK_DOOR-08,DC-05,DOCK_DOOR,AVAILABLE,OVERDUE,3.5
DC-05-DOCK_DOOR-09,DC-05,DOCK_DOOR,AVAILABLE,CLEAR,7.5
DC-05-DOCK_DOOR-10,DC-05,DOCK_DOOR,AVAILABLE,CLEAR,3.4
DC-05-VISION_GATE-01,DC-05,VISION_GATE,AVAILABLE,CLEAR,1.2
DC-05-VISION_GATE-02,DC-05,VISION_GATE,AVAILABLE,CLEAR,7.3
DC-05-VISION_GATE-03,DC-05,VISION_GATE,AVAILABLE,CLEAR,6.7
DC-05-VISION_GATE-04,DC-05,VISION_GATE,AVAILABLE,CLEAR,7.0
DC-05-VISION_GATE-05,DC-05,VISION_GATE,AVAILABLE,CLEAR,7.2
DC-05-VISION_GATE-06,DC-05,VISION_GATE,DEGRADED,CLEAR,6.8
DC-06-CONVEYOR-01,DC-06,CONVEYOR,AVAILABLE,CLEAR,2.4
DC-06-CONVEYOR-02,DC-06,CONVEYOR,AVAILABLE,CLEAR,7.2
DC-06-CONVEYOR-03,DC-06,CONVEYOR,AVAILABLE,OVERDUE,4.3
DC-06-CONVEYOR-04,DC-06,CONVEYOR,AVAILABLE,CLEAR,4.9
DC-06-CONVEYOR-05,DC-06,CONVEYOR,AVAILABLE,CLEAR,3.0
DC-06-CONVEYOR-06,DC-06,CONVEYOR,DOWN,DUE,7.2
DC-06-CONVEYOR-07,DC-06,CONVEYOR,AVAILABLE,CLEAR,1.5
DC-06-CONVEYOR-08,DC-06,CONVEYOR,AVAILABLE,CLEAR,2.2
DC-06-CONVEYOR-09,DC-06,CONVEYOR,AVAILABLE,CLEAR,6.4
DC-06-CONVEYOR-10,DC-06,CONVEYOR,AVAILABLE,CLEAR,5.7
DC-06-SORTER-01,DC-06,SORTER,AVAILABLE,CLEAR,1.5
DC-06-SORTER-02,DC-06,SORTER,AVAILABLE,CLEAR,4.2
DC-06-SORTER-03,DC-06,SORTER,AVAILABLE,CLEAR,5.3
DC-06-ASRS-01,DC-06,ASRS,AVAILABLE,CLEAR,4.4
DC-06-ASRS-02,DC-06,ASRS,AVAILABLE,CLEAR,4.8
DC-06-CHARGER-01,DC-06,CHARGER,DEGRADED,CLEAR,2.3
DC-06-CHARGER-02,DC-06,CHARGER,AVAILABLE,CLEAR,2.4
DC-06-CHARGER-03,DC-06,CHARGER,AVAILABLE,CLEAR,5.6
DC-06-CHARGER-04,DC-06,CHARGER,AVAILABLE,CLEAR,5.1
DC-06-CHARGER-05,DC-06,CHARGER,AVAILABLE,CLEAR,6.8
DC-06-CHARGER-06,DC-06,CHARGER,AVAILABLE,CLEAR,5.0
DC-06-CHARGER-07,DC-06,CHARGER,AVAILABLE,CLEAR,7.0
DC-06-CHARGER-08,DC-06,CHARGER,AVAILABLE,CLEAR,4.3
DC-06-PACK_STATION-01,DC-06,PACK_STATION,DEGRADED,CLEAR,3.1
DC-06-PACK_STATION-02,DC-06,PACK_STATION,AVAILABLE,OVERDUE,4.9
DC-06-PACK_STATION-03,DC-06,PACK_STATION,AVAILABLE,CLEAR,1.0
DC-06-PACK_STATION-04,DC-06,PACK_STATION,AVAILABLE,CLEAR,4.2
DC-06-PACK_STATION-05,DC-06,PACK_STATION,AVAILABLE,CLEAR,1.6
DC-06-PACK_STATION-06,DC-06,PACK_STATION,AVAILABLE,CLEAR,5.2
DC-06-PACK_STATION-07,DC-06,PACK_STATION,DOWN,CLEAR,7.2
DC-06-PACK_STATION-08,DC-06,PACK_STATION,AVAILABLE,CLEAR,6.1
DC-06-PACK_STATION-09,DC-06,PACK_STATION,AVAILABLE,CLEAR,3.3
DC-06-PACK_STATION-10,DC-06,PACK_STATION,AVAILABLE,CLEAR,5.8
DC-06-PACK_STATION-11,DC-06,PACK_STATION,DEGRADED,CLEAR,6.4
DC-06-PACK_STATION-12,DC-06,PACK_STATION,AVAILABLE,CLEAR,6.6
DC-06-DOCK_DOOR-01,DC-06,DOCK_DOOR,AVAILABLE,CLEAR,1.0
DC-06-DOCK_DOOR-02,DC-06,DOCK_DOOR,AVAILABLE,DUE,7.9
DC-06-DOCK_DOOR-03,DC-06,DOCK_DOOR,AVAILABLE,CLEAR,4.2
DC-06-DOCK_DOOR-04,DC-06,DOCK_DOOR,DEGRADED,CLEAR,3.5
DC-06-DOCK_DOOR-05,DC-06,DOCK_DOOR,DOWN,CLEAR,7.8
DC-06-DOCK_DOOR-06,DC-06,DOCK_DOOR,AVAILABLE,CLEAR,5.6
DC-06-DOCK_DOOR-07,DC-06,DOCK_DOOR,DEGRADED,CLEAR,4.7
DC-06-DOCK_DOOR-08,DC-06,DOCK_DOOR,DEGRADED,CLEAR,2.4
DC-06-DOCK_DOOR-09,DC-06,DOCK_DOOR,AVAILABLE,CLEAR,3.8
DC-06-DOCK_DOOR-10,DC-06,DOCK_DOOR,DEGRADED,CLEAR,6.0
DC-06-VISION_GATE-01,DC-06,VISION_GATE,AVAILABLE,CLEAR,5.1
DC-06-VISION_GATE-02,DC-06,VISION_GATE,AVAILABLE,DUE,2.7
DC-06-VISION_GATE-03,DC-06,VISION_GATE,AVAILABLE,CLEAR,2.4
DC-06-VISION_GATE-04,DC-06,VISION_GATE,AVAILABLE,CLEAR,4.0
DC-06-VISION_GATE-05,DC-06,VISION_GATE,AVAILABLE,CLEAR,6.9
DC-06-VISION_GATE-06,DC-06,VISION_GATE,AVAILABLE,CLEAR,1.4
DC-07-CONVEYOR-01,DC-07,CONVEYOR,DEGRADED,CLEAR,1.8
DC-07-CONVEYOR-02,DC-07,CONVEYOR,AVAILABLE,CLEAR,4.3
DC-07-CONVEYOR-03,DC-07,CONVEYOR,AVAILABLE,CLEAR,4.4
