task_id,order_id,warehouse_id,task_type,assigned_robot,wes_status,fleet_status,source_zone,dest_zone,created_at
TSK-000013-4,ORD-000013,DC-18,REPLENISH,RBT-0483,ASSIGNED,QUEUED,DC-18-Z06,DC-18-Z05,2026-08-06T10:52:00
TSK-000014-1,ORD-000014,DC-05,PICK,RBT-0178,BLOCKED,FAILED,DC-05-Z04,DC-05-Z11,2026-08-26T09:15:00
TSK-000015-1,ORD-000015,DC-10,STAGE,RBT-0614,EXECUTING,FAILED,DC-10-Z05,DC-10-Z07,2026-08-29T10:53:00
TSK-000015-2,ORD-000015,DC-10,PACK_FEED,RBT-0326,ASSIGNED,QUEUED,DC-10-Z03,DC-10-Z03,2026-08-29T11:17:00
TSK-000015-3,ORD-000015,DC-10,STAGE,RBT-0684,ASSIGNED,FAILED,DC-10-Z11,DC-10-Z01,2026-08-29T09:26:00
TSK-000016-1,ORD-000016,DC-09,MOVE,RBT-0425,QUEUED,EXECUTING,DC-09-Z02,DC-09-Z09,2026-08-03T15:12:00
TSK-000016-2,ORD-000016,DC-09,PICK,RBT-0251,EXECUTING,COMPLETE,DC-09-Z03,DC-09-Z11,2026-08-03T15:34:00
TSK-000016-3,ORD-000016,DC-09,REPLENISH,RBT-0641,QUEUED,QUEUED,DC-09-Z05,DC-09-Z08,2026-08-03T15:39:00
TSK-000016-4,ORD-000016,DC-09,MOVE,RBT-0691,ASSIGNED,EXECUTING,DC-09-Z06,DC-09-Z03,2026-08-03T14:51:00
TSK-000017-1,ORD-000017,DC-09,STAGE,RBT-0707,BLOCKED,ASSIGNED,DC-09-Z09,DC-09-Z11,2026-08-10T00:29:00
TSK-000017-2,ORD-000017,DC-09,REPLENISH,RBT-0379,BLOCKED,COMPLETE,DC-09-Z10,DC-09-Z01,2026-08-09T23:49:00
TSK-000017-3,ORD-000017,DC-09,PACK_FEED,RBT-0563,QUEUED,QUEUED,DC-09-Z07,DC-09-Z09,2026-08-10T00:01:00
TSK-000018-1,ORD-000018,DC-04,MOVE,RBT-0497,EXECUTING,QUEUED,DC-04-Z06,DC-04-Z02,2026-08-04T13:55:00
TSK-000018-2,ORD-000018,DC-04,PICK,RBT-0525,ASSIGNED,COMPLETE,DC-04-Z03,DC-04-Z09,2026-08-04T15:30:00
TSK-000018-3,ORD-000018,DC-04,MOVE,RBT-0328,ASSIGNED,ASSIGNED,DC-04-Z04,DC-04-Z04,2026-08-04T14:33:00
TSK-000019-1,ORD-000019,DC-01,MOVE,RBT-0542,ASSIGNED,ASSIGNED,DC-01-Z11,DC-01-Z02,2026-08-27T13:32:00
TSK-000019-2,ORD-000019,DC-01,MOVE,RBT-0260,QUEUED,QUEUED,DC-01-Z04,DC-01-Z05,2026-08-27T13:19:00
TSK-000020-1,ORD-000020,DC-14,REPLENISH,RBT-0483,COMPLETE,ASSIGNED,DC-14-Z03,DC-14-Z12,2026-08-20T19:49:00
TSK-000020-2,ORD-000020,DC-14,PACK_FEED,RBT-0254,COMPLETE,COMPLETE,DC-14-Z10,DC-14-Z07,2026-08-20T17:52:00
TSK-000020-3,ORD-000020,DC-14,PACK_FEED,RBT-0130,COMPLETE,COMPLETE,DC-14-Z10,DC-14-Z03,2026-08-20T19:00:00
TSK-000020-4,ORD-000020,DC-14,PACK_FEED,RBT-0043,EXECUTING,ASSIGNED,DC-14-Z03,DC-14-Z07,2026-08-20T18:48:00
TSK-000021-1,ORD-000021,DC-05,STAGE,RBT-0016,COMPLETE,EXECUTING,DC-05-Z12,DC-05-Z08,2026-08-25T04:06:00
TSK-000021-2,ORD-000021,DC-05,REPLENISH,RBT-0324,COMPLETE,EXECUTING,DC-05-Z12,DC-05-Z05,2026-08-25T03:18:00
TSK-000021-3,ORD-000021,DC-05,PACK_FEED,RBT-0422,QUEUED,EXECUTING,DC-05-Z01,DC-05-Z11,2026-08-25T03:37:00
TSK-000022-1,ORD-000022,DC-09,MOVE,RBT-0586,EXECUTING,ASSIGNED,DC-09-Z07,DC-09-Z01,2026-08-11T12:23:00
TSK-000022-2,ORD-000022,DC-09,STAGE,RBT-0066,BLOCKED,FAILED,DC-09-Z02,DC-09-Z05,2026-08-11T13:09:00
TSK-000022-3,ORD-000022,DC-09,PICK,RBT-0075,BLOCKED,COMPLETE,DC-09-Z05,DC-09-Z05,2026-08-11T12:18:00
TSK-000023-1,ORD-000023,DC-16,PACK_FEED,RBT-0455,EXECUTING,ASSIGNED,DC-16-Z03,DC-16-Z06,2026-09-01T06:50:00
TSK-000023-2,ORD-000023,DC-16,REPLENISH,RBT-0672,BLOCKED,COMPLETE,DC-16-Z02,DC-16-Z05,2026-09-01T06:42:00
TSK-000023-3,ORD-000023,DC-16,STAGE,RBT-0258,QUEUED,EXECUTING,DC-16-Z03,DC-16-Z06,2026-09-01T06:55:00
TSK-000024-1,ORD-000024,DC-10,PACK_FEED,RBT-0434,COMPLETE,EXECUTING,DC-10-Z06,DC-10-Z07,2026-08-11T00:10:00
TSK-000025-1,ORD-000025,DC-15,MOVE,RBT-0374,EXECUTING,ASSIGNED,DC-15-Z11,DC-15-Z06,2026-08-23T18:57:00
TSK-000025-2,ORD-000025,DC-15,MOVE,RBT-0124,BLOCKED,EXECUTING,DC-15-Z03,DC-15-Z10,2026-08-23T18:51:00
TSK-000026-1,ORD-000026,DC-09,REPLENISH,RBT-0068,ASSIGNED,QUEUED,DC-09-Z05,DC-09-Z05,2026-08-24T22:54:00
TSK-000026-2,ORD-000026,DC-09,MOVE,RBT-0208,QUEUED,FAILED,DC-09-Z11,DC-09-Z03,2026-08-24T21:51:00
TSK-000026-3,ORD-000026,DC-09,STAGE,RBT-0270,COMPLETE,EXECUTING,DC-09-Z11,DC-09-Z09,2026-08-24T22:54:00
TSK-000027-1,ORD-000027,DC-18,REPLENISH,RBT-0206,ASSIGNED,ASSIGNED,DC-18-Z11,DC-18-Z11,2026-08-01T08:38:00
TSK-000028-1,ORD-000028,DC-13,REPLENISH,RBT-0592,ASSIGNED,FAILED,DC-13-Z03,DC-13-Z07,2026-08-02T08:47:00
TSK-000029-1,ORD-000029,DC-04,STAGE,RBT-0606,BLOCKED,EXECUTING,DC-04-Z01,DC-04-Z09,2026-08-20T20:56:00
TSK-000029-2,ORD-000029,DC-04,PACK_FEED,RBT-0625,ASSIGNED,EXECUTING,DC-04-Z03,DC-04-Z09,2026-08-20T20:10:00
TSK-000030-1,ORD-000030,DC-09,PACK_FEED,RBT-0351,BLOCKED,EXECUTING,DC-09-Z10,DC-09-Z07,2026-09-01T17:08:00
TSK-000030-2,ORD-000030,DC-09,STAGE,RBT-0696,ASSIGNED,QUEUED,DC-09-Z09,DC-09-Z11,2026-09-01T16:27:00
TSK-000030-3,ORD-000030,DC-09,MOVE,RBT-0399,EXECUTING,ASSIGNED,DC-09-Z04,DC-09-Z12,2026-09-01T16:47:00
TSK-000031-1,ORD-000031,DC-09,PICK,RBT-0580,BLOCKED,FAILED,DC-09-Z05,DC-09-Z08,2026-08-06T12:03:00
TSK-000031-2,ORD-000031,DC-09,PICK,RBT-0452,COMPLETE,FAILED,DC-09-Z03,DC-09-Z11,2026-08-06T10:56:00
TSK-000032-1,ORD-000032,DC-04,MOVE,RBT-0445,EXECUTING,ASSIGNED,DC-04-Z09,DC-04-Z08,2026-08-25T14:09:00
TSK-000032-2,ORD-000032,DC-04,PACK_FEED,RBT-0235,BLOCKED,ASSIGNED,DC-04-Z12,DC-04-Z05,2026-08-25T12:56:00
TSK-000032-3,ORD-000032,DC-04,MOVE,RBT-0432,ASSIGNED,FAILED,DC-04-Z06,DC-04-Z06,2026-08-25T13:05:00
TSK-000032-4,ORD-000032,DC-04,REPLENISH,RBT-0110,BLOCKED,EXECUTING,DC-04-Z12,DC-04-Z05,2026-08-25T13:09:00
TSK-000033-1,ORD-000033,DC-12,MOVE,RBT-0316,QUEUED,ASSIGNED,DC-12-Z01,DC-12-Z11,2026-08-06T07:40:00
TSK-000033-2,ORD-000033,DC-12,PICK,RBT-0426,EXECUTING,QUEUED,DC-12-Z10,DC-12-Z03,2026-08-06T06:28:00
TSK-000033-3,ORD-000033,DC-12,PACK_FEED,RBT-0412,COMPLETE,EXECUTING,DC-12-Z04,DC-12-Z05,2026-08-06T06:42:00
TSK-000034-1,ORD-000034,DC-07,PACK_FEED,RBT-0422,QUEUED,COMPLETE,DC-07-Z10,DC-07-Z09,2026-08-11T05:24:00
TSK-000034-2,ORD-000034,DC-07,MOVE,RBT-0257,ASSIGNED,FAILED,DC-07-Z01,DC-07-Z12,2026-08-11T04:17:00
TSK-000034-3,ORD-000034,DC-07,PACK_FEED,RBT-0283,ASSIGNED,ASSIGNED,DC-07-Z02,DC-07-Z02,2026-08-11T04:24:00
TSK-000034-4,ORD-000034,DC-07,PACK_FEED,RBT-0666,ASSIGNED,FAILED,DC-07-Z02,DC-07-Z05,2026-08-11T05:16:00
TSK-000035-1,ORD-000035,DC-11,REPLENISH,RBT-0325,EXECUTING,COMPLETE,DC-11-Z02,DC-11-Z06,2026-08-27T15:06:00
TSK-000035-2,ORD-000035,DC-11,PACK_FEED,RBT-0547,QUEUED,FAILED,DC-11-Z02,DC-11-Z11,2026-08-27T15:09:00
TSK-000036-1,ORD-000036,DC-08,PACK_FEED,RBT-0528,COMPLETE,ASSIGNED,DC-08-Z04,DC-08-Z01,2026-08-12T17:50:00
TSK-000036-2,ORD-000036,DC-08,STAGE,RBT-0438,BLOCKED,QUEUED,DC-08-Z08,DC-08-Z08,2026-08-12T16:50:00
TSK-000036-3,ORD-000036,DC-08,REPLENISH,RBT-0111,COMPLETE,COMPLETE,DC-08-Z09,DC-08-Z11,2026-08-12T17:59:00
TSK-000036-4,ORD-000036,DC-08,STAGE,RBT-0284,QUEUED,FAILED,DC-08-Z07,DC-08-Z02,2026-08-12T18:31:00
TSK-000037-1,ORD-000037,DC-17,PICK,RBT-0238,BLOCKED,ASSIGNED,DC-17-Z06,DC-17-Z08,2026-08-27T20:52:00
TSK-000037-2,ORD-000037,DC-17,REPLENISH,RBT-0407,COMPLETE,EXECUTING,DC-17-Z06,DC-17-Z07,2026-08-27T20:56:00
TSK-000037-3,ORD-000037,DC-17,MOVE,RBT-0224,EXECUTING,COMPLETE,DC-17-Z01,DC-17-Z07,2026-08-27T21:48:00
TSK-000038-1,ORD-000038,DC-13,MOVE,RBT-0469,BLOCKED,QUEUED,DC-13-Z08,DC-13-Z12,2026-09-04T00:49:00
TSK-000038-2,ORD-000038,DC-13,PICK,RBT-0347,COMPLETE,FAILED,DC-13-Z01,DC-13-Z12,2026-09-04T01:51:00
TSK-000038-3,ORD-000038,DC-13,REPLENISH,RBT-0640,COMPLETE,FAILED,DC-13-Z08,DC-13-Z07,2026-09-04T02:35:00
TSK-000038-4,ORD-000038,DC-13,STAGE,RBT-0415,EXECUTING,ASSIGNED,DC-13-Z09,DC-13-Z07,2026-09-04T02:10:00
TSK-000039-1,ORD-000039,DC-14,STAGE,RBT-0370,COMPLETE,QUEUED,DC-14-Z12,DC-14-Z09,2026-08-10T23:05:00
TSK-000039-2,ORD-000039,DC-14,MOVE,RBT-0241,BLOCKED,FAILED,DC-14-Z03,DC-14-Z05,2026-08-10T22:23:00
TSK-000040-1,ORD-000040,DC-04,STAGE,RBT-0238,BLOCKED,ASSIGNED,DC-04-Z05,DC-04-Z03,2026-08-22T05:55:00
TSK-000040-2,ORD-000040,DC-04,STAGE,RBT-0698,QUEUED,FAILED,DC-04-Z11,DC-04-Z10,2026-08-22T06:01:00
TSK-000040-3,ORD-000040,DC-04,STAGE,RBT-0521,COMPLETE,ASSIGNED,DC-04-Z05,DC-04-Z12,2026-08-22T06:15:00
TSK-000040-4,ORD-000040,DC-04,STAGE,RBT-0528,COMPLETE,EXECUTING,DC-04-Z11,DC-04-Z05,2026-08-22T06:22:00
TSK-000041-1,ORD-000041,DC-01,PICK,RBT-0113,ASSIGNED,COMPLETE,DC-01-Z09,DC-01-Z01,2026-08-29T08:03:00
TSK-000041-2,ORD-000041,DC-01,MOVE,RBT-0534,ASSIGNED,EXECUTING,DC-01-Z02,DC-01-Z11,2026-08-29T08:27:00
TSK-000041-3,ORD-000041,DC-01,PACK_FEED,RBT-0637,BLOCKED,QUEUED,DC-01-Z06,DC-01-Z09,2026-08-29T08:21:00
TSK-000041-4,ORD-000041,DC-01,MOVE,RBT-0266,BLOCKED,COMPLETE,DC-01-Z07,DC-01-Z01,2026-08-29T08:47:00
TSK-000042-1,ORD-000042,DC-11,PACK_FEED,RBT-0646,BLOCKED,EXECUTING,DC-11-Z07,DC-11-Z11,2026-08-15T04:05:00
TSK-000042-2,ORD-000042,DC-11,REPLENISH,RBT-0578,BLOCKED,EXECUTING,DC-11-Z07,DC-11-Z12,2026-08-15T04:23:00
TSK-000043-1,ORD-000043,DC-09,PACK_FEED,RBT-0074,COMPLETE,QUEUED,DC-09-Z11,DC-09-Z08,2026-09-05T06:42:00
TSK-000044-1,ORD-000044,DC-03,STAGE,RBT-0034,COMPLETE,EXECUTING,DC-03-Z06,DC-03-Z11,2026-09-02T23:36:00
TSK-000044-2,ORD-000044,DC-03,PICK,RBT-0529,QUEUED,COMPLETE,DC-03-Z08,DC-03-Z04,2026-09-02T22:52:00
TSK-000044-3,ORD-000044,DC-03,REPLENISH,RBT-0111,BLOCKED,COMPLETE,DC-03-Z02,DC-03-Z08,2026-09-02T23:30:00
TSK-000044-4,ORD-000044,DC-03,PICK,RBT-0401,EXECUTING,QUEUED,DC-03-Z08,DC-03-Z12,2026-09-02T22:54:00
TSK-000045-1,ORD-000045,DC-01,REPLENISH,RBT-0605,ASSIGNED,EXECUTING,DC-01-Z12,DC-01-Z01,2026-08-12T03:57:00
TSK-000046-1,ORD-000046,DC-09,PACK_FEED,RBT-0592,BLOCKED,ASSIGNED,DC-09-Z11,DC-09-Z06,2026-08-11T22:15:00
TSK-000046-2,ORD-000046,DC-09,STAGE,RBT-0356,COMPLETE,EXECUTING,DC-09-Z12,DC-09-Z08,2026-08-11T23:18:00
TSK-000046-3,ORD-000046,DC-09,MOVE,RBT-0078,COMPLETE,COMPLETE,DC-09-Z01,DC-09-Z10,2026-08-11T22:06:00
TSK-000046-4,ORD-000046,DC-09,REPLENISH,RBT-0155,BLOCKED,EXECUTING,DC-09-Z02,DC-09-Z09,2026-08-11T23:54:00
TSK-000047-1,ORD-000047,DC-12,PACK_FEED,RBT-0417,COMPLETE,QUEUED,DC-12-Z02,DC-12-Z08,2026-09-04T15:47:00
TSK-000047-2,ORD-000047,DC-12,PACK_FEED,RBT-0610,ASSIGNED,EXECUTING,DC-12-Z04,DC-12-Z09,2026-09-04T17:07:00
TSK-000047-3,ORD-000047,DC-12,REPLENISH,RBT-0066,QUEUED,EXECUTING,DC-12-Z06,DC-12-Z06,2026-09-04T15:27:00
TSK-000048-1,ORD-000048,DC-06,PACK_FEED,RBT-0266,ASSIGNED,FAILED,DC-06-Z10,DC-06-Z11,2026-08-12T09:22:00
TSK-000048-2,ORD-000048,DC-06,PACK_FEED,RBT-0136,COMPLETE,ASSIGNED,DC-06-Z11,DC-06-Z04,2026-08-12T10:34:00
TSK-000048-3,ORD-000048,DC-06,PICK,RBT-0426,ASSIGNED,QUEUED,DC-06-Z01,DC-06-Z08,2026-08-12T10:35:00
TSK-000049-1,ORD-000049,DC-07,REPLENISH,RBT-0253,EXECUTING,EXECUTING,DC-07-Z05,DC-07-Z10,2026-08-04T17:06:00
TSK-000050-1,ORD-000050,DC-15,PICK,RBT-0586,BLOCKED,QUEUED,DC-15-Z04,DC-15-Z10,2026-08-16T23:18:00
TSK-000050-2,ORD-000050,DC-15,REPLENISH,RBT-0125,QUEUED,FAILED,DC-15-Z05,DC-15-Z06,2026-08-17T00:38:00
TSK-000051-1,ORD-000051,DC-02,PACK_FEED,RBT-0514,BLOCKED,ASSIGNED,DC-02-Z10,DC-02-Z01,2026-08-19T12:04:00
TSK-000052-1,ORD-000052,DC-13,STAGE,RBT-0471,COMPLETE,QUEUED,DC-13-Z11,DC-13-Z10,2026-08-08T21:18:00
TSK-000052-2,ORD-000052,DC-13,PACK_FEED,RBT-0087,EXECUTING,COMPLETE,DC-13-Z03,DC-13-Z09,2026-08-08T20:24:00
TSK-000052-3,ORD-000052,DC-13,STAGE,RBT-0027,ASSIGNED,QUEUED,DC-13-Z08,DC-13-Z10,2026-08-08T20:16:00
TSK-000052-4,ORD-000052,DC-13,PICK,RBT-0370,EXECUTING,EXECUTING,DC-13-Z07,DC-13-Z02,2026-08-08T20:49:00
TSK-000053-1,ORD-000053,DC-06,REPLENISH,RBT-0090,EXECUTING,ASSIGNED,DC-06-Z09,DC-06-Z01,2026-08-07T16:58:00
TSK-000053-2,ORD-000053,DC-06,PICK,RBT-0020,COMPLETE,FAILED,DC-06-Z03,DC-06-Z03,2026-08-07T17:25:00
TSK-000053-3,ORD-000053,DC-06,PICK,RBT-0402,COMPLETE,COMPLETE,DC-06-Z06,DC-06-Z08,2026-08-07T17:37:00
TSK-000053-4,ORD-000053,DC-06,PICK,RBT-0108,EXECUTING,EXECUTING,DC-06-Z06,DC-06-Z04,2026-08-07T17:05:00
TSK-000054-1,ORD-000054,DC-05,STAGE,RBT-0474,ASSIGNED,QUEUED,DC-05-Z04,DC-05-Z02,2026-08-11T14:13:00
TSK-000054-2,ORD-000054,DC-05,REPLENISH,RBT-0639,ASSIGNED,ASSIGNED,DC-05-Z09,DC-05-Z09,2026-08-11T15:29:00
TSK-000054-3,ORD-000054,DC-05,STAGE,RBT-0352,EXECUTING,EXECUTING,DC-05-Z11,DC-05-Z06,2026-08-11T14:20:00
TSK-000055-1,ORD-000055,DC-02,REPLENISH,RBT-0567,BLOCKED,EXECUTING,DC-02-Z08,DC-02-Z09,2026-08-01T20:31:00
TSK-000055-2,ORD-000055,DC-02,PACK_FEED,RBT-0033,QUEUED,ASSIGNED,DC-02-Z03,DC-02-Z07,2026-08-01T19:35:00
TSK-000056-1,ORD-000056,DC-02,PICK,RBT-0151,COMPLETE,FAILED,DC-02-Z04,DC-02-Z04,2026-08-09T08:30:00
TSK-000056-2,ORD-000056,DC-02,STAGE,RBT-0213,BLOCKED,EXECUTING,DC-02-Z12,DC-02-Z10,2026-08-09T09:37:00
TSK-000056-3,ORD-000056,DC-02,PACK_FEED,RBT-0136,COMPLETE,FAILED,DC-02-Z07,DC-02-Z05,2026-08-09T09:52:00
TSK-000056-4,ORD-000056,DC-02,STAGE,RBT-0025,EXECUTING,EXECUTING,DC-02-Z09,DC-02-Z11,2026-08-09T08:07:00
TSK-000057-1,ORD-000057,DC-13,MOVE,RBT-0602,QUEUED,ASSIGNED,DC-13-Z06,DC-13-Z12,2026-08-27T10:34:00
TSK-000058-1,ORD-000058,DC-16,MOVE,RBT-0195,EXECUTING,COMPLETE,DC-16-Z05,DC-16-Z10,2026-08-09T07:47:00
TSK-000058-2,ORD-000058,DC-16,PICK,RBT-0362,BLOCKED,QUEUED,DC-16-Z12,DC-16-Z07,2026-08-09T07:22:00
TSK-000058-3,ORD-000058,DC-16,PICK,RBT-0300,EXECUTING,EXECUTING,DC-16-Z02,DC-16-Z11,2026-08-09T06:13:00
TSK-000059-1,ORD-000059,DC-14,MOVE,RBT-0083,ASSIGNED,COMPLETE,DC-14-Z11,DC-14-Z02,2026-08-05T05:04:00
TSK-000060-1,ORD-000060,DC-04,REPLENISH,RBT-0487,ASSIGNED,EXECUTING,DC-04-Z05,DC-04-Z09,2026-09-01T02:04:00
TSK-000060-2,ORD-000060,DC-04,PICK,RBT-0019,COMPLETE,ASSIGNED,DC-04-Z06,DC-04-Z03,2026-09-01T00:38:00
TSK-000061-1,ORD-000061,DC-10,REPLENISH,RBT-0659,COMPLETE,COMPLETE,DC-10-Z03,DC-10-Z03,2026-08-26T06:25:00
TSK-000061-2,ORD-000061,DC-10,MOVE,RBT-0577,ASSIGNED,QUEUED,DC-10-Z09,DC-10-Z12,2026-08-26T06:25:00
TSK-000062-1,ORD-000062,DC-01,PACK_FEED,RBT-0643,EXECUTING,ASSIGNED,DC-01-Z11,DC-01-Z01,2026-08-23T02:54:00
TSK-000062-2,ORD-000062,DC-01,MOVE,RBT-0265,BLOCKED,ASSIGNED,DC-01-Z01,DC-01-Z12,2026-08-23T02:32:00
TSK-000062-3,ORD-000062,DC-01,MOVE,RBT-0164,BLOCKED,FAILED,DC-01-Z10,DC-01-Z03,2026-08-23T03:02:00
TSK-000063-1,ORD-000063,DC-01,REPLENISH,RBT-0247,BLOCKED,EXECUTING,DC-01-Z08,DC-01-Z06,2026-08-27T23:50:00
TSK-000064-1,ORD-000064,DC-02,STAGE,RBT-0584,ASSIGNED,QUEUED,DC-02-Z01,DC-02-Z06,2026-08-23T16:16:00
TSK-000065-1,ORD-000065,DC-13,STAGE,RBT-0641,COMPLETE,EXECUTING,DC-13-Z08,DC-13-Z10,2026-08-29T20:27:00
TSK-000066-1,ORD-000066,DC-08,REPLENISH,RBT-0576,ASSIGNED,COMPLETE,DC-08-Z01,DC-08-Z05,2026-08-07T04:24:00
TSK-000067-1,ORD-000067,DC-16,STAGE,RBT-0447,COMPLETE,FAILED,DC-16-Z07,DC-16-Z08,2026-08-10T06:06:00
TSK-000067-2,ORD-000067,DC-16,MOVE,RBT-0236,ASSIGNED,COMPLETE,DC-16-Z02,DC-16-Z02,2026-08-10T05:33:00
TSK-000067-3,ORD-000067,DC-16,PICK,RBT-0463,COMPLETE,QUEUED,DC-16-Z01,DC-16-Z11,2026-08-10T06:20:00
