warehouse_id,event_id,event_time,event_type,zone,severity,resolved,source
DC-01,SAFE-DC-01-046,2026-08-16T16:24:00,ZONE_BREACH,DC-01-Z03,LOW,Y,VISION
DC-01,SAFE-DC-01-047,2026-09-01T15:26:00,ZONE_BREACH,DC-01-Z05,CRITICAL,N,SAFETY_PLC
DC-01,SAFE-DC-01-048,2026-08-01T20:55:00,SCANNER_FAULT,DC-01-Z11,MEDIUM,Y,OPERATOR
DC-01,SAFE-DC-01-049,2026-09-03T12:03:00,SCANNER_FAULT,DC-01-Z04,MEDIUM,Y,FLEET
DC-01,SAFE-DC-01-050,2026-08-15T12:01:00,NEAR_MISS,DC-01-Z12,MEDIUM,Y,OPERATOR
DC-01,SAFE-DC-01-051,2026-08-30T02:14:00,SCANNER_FAULT,DC-01-Z08,LOW,Y,SAFETY_PLC
DC-01,SAFE-DC-01-052,2026-08-13T18:39:00,SCANNER_FAULT,DC-01-Z12,CRITICAL,Y,VISION
DC-01,SAFE-DC-01-053,2026-08-22T01:14:00,SPEED_REDUCTION,DC-01-Z10,MEDIUM,Y,SAFETY_PLC
DC-01,SAFE-DC-01-054,2026-08-02T19:47:00,SCANNER_FAULT,DC-01-Z04,CRITICAL,Y,VISION
DC-01,SAFE-DC-01-055,2026-08-10T03:04:00,SPEED_REDUCTION,DC-01-Z03,HIGH,Y,VISION
DC-01,SAFE-DC-01-056,2026-08-27T05:54:00,SCANNER_FAULT,DC-01-Z10,CRITICAL,Y,VISION
DC-01,SAFE-DC-01-057,2026-09-04T12:15:00,MANUAL_OVERRIDE,DC-01-Z05,CRITICAL,Y,OPERATOR
DC-01,SAFE-DC-01-058,2026-08-10T14:38:00,SPEED_REDUCTION,DC-01-Z07,CRITICAL,Y,OPERATOR
DC-01,SAFE-DC-01-059,2026-09-04T18:11:00,SPEED_REDUCTION,DC-01-Z07,LOW,Y,FLEET
DC-01,SAFE-DC-01-060,2026-08-05T17:01:00,ZONE_BREACH,DC-01-Z07,CRITICAL,Y,FLEET
DC-01,SAFE-DC-01-061,2026-08-13T07:58:00,MANUAL_OVERRIDE,DC-01-Z03,HIGH,Y,OPERATOR
DC-01,SAFE-DC-01-062,2026-08-21T19:32:00,SPEED_REDUCTION,DC-01-Z01,MEDIUM,Y,SAFETY_PLC
DC-01,SAFE-DC-01-063,2026-08-14T23:51:00,MANUAL_OVERRIDE,DC-01-Z10,HIGH,Y,FLEET
DC-01,SAFE-DC-01-064,2026-08-01T15:26:00,MANUAL_OVERRIDE,DC-01-Z06,CRITICAL,Y,SAFETY_PLC
DC-02,SAFE-DC-02-000,2026-09-04T10:20:00,E_STOP,DC-02-Z10,HIGH,Y,OPERATOR
DC-02,SAFE-DC-02-001,2026-09-03T00:30:00,E_STOP,DC-02-Z06,CRITICAL,Y,SAFETY_PLC
DC-02,SAFE-DC-02-002,2026-08-18T01:54:00,NEAR_MISS,DC-02-Z07,LOW,Y,FLEET
DC-02,SAFE-DC-02-003,2026-08-13T20:07:00,ZONE_BREACH,DC-02-Z03,HIGH,Y,SAFETY_PLC
DC-02,SAFE-DC-02-004,2026-08-03T07:14:00,ZONE_BREACH,DC-02-Z04,MEDIUM,Y,SAFETY_PLC
DC-02,SAFE-DC-02-005,2026-08-02T06:41:00,ZONE_BREACH,DC-02-Z09,CRITICAL,Y,OPERATOR
DC-02,SAFE-DC-02-006,2026-08-28T00:08:00,MANUAL_OVERRIDE,DC-02-Z01,HIGH,N,OPERATOR
DC-02,SAFE-DC-02-007,2026-08-22T20:15:00,NEAR_MISS,DC-02-Z10,MEDIUM,Y,OPERATOR
DC-02,SAFE-DC-02-008,2026-08-09T18:15:00,NEAR_MISS,DC-02-Z11,LOW,Y,SAFETY_PLC
DC-02,SAFE-DC-02-009,2026-08-05T22:10:00,SPEED_REDUCTION,DC-02-Z03,LOW,Y,OPERATOR
DC-02,SAFE-DC-02-010,2026-08-08T12:45:00,E_STOP,DC-02-Z03,MEDIUM,Y,SAFETY_PLC
DC-02,SAFE-DC-02-011,2026-08-27T10:45:00,SPEED_REDUCTION,DC-02-Z09,MEDIUM,N,SAFETY_PLC
DC-02,SAFE-DC-02-012,2026-08-17T17:11:00,ZONE_BREACH,DC-02-Z09,LOW,Y,VISION
DC-02,SAFE-DC-02-013,2026-08-27T06:12:00,ZONE_BREACH,DC-02-Z05,CRITICAL,N,SAFETY_PLC
DC-02,SAFE-DC-02-014,2026-08-05T09:26:00,SPEED_REDUCTION,DC-02-Z07,CRITICAL,Y,SAFETY_PLC
DC-02,SAFE-DC-02-015,2026-09-04T01:39:00,MANUAL_OVERRIDE,DC-02-Z12,HIGH,Y,VISION
DC-02,SAFE-DC-02-016,2026-08-01T20:41:00,NEAR_MISS,DC-02-Z07,CRITICAL,Y,VISION
DC-02,SAFE-DC-02-017,2026-08-06T05:03:00,MANUAL_OVERRIDE,DC-02-Z01,LOW,N,SAFETY_PLC
DC-02,SAFE-DC-02-018,2026-08-04T22:59:00,E_STOP,DC-02-Z06,MEDIUM,Y,VISION
DC-02,SAFE-DC-02-019,2026-08-01T16:17:00,NEAR_MISS,DC-02-Z11,HIGH,Y,VISION
DC-02,SAFE-DC-02-020,2026-08-09T12:45:00,MANUAL_OVERRIDE,DC-02-Z01,HIGH,Y,OPERATOR
DC-02,SAFE-DC-02-021,2026-08-27T06:21:00,NEAR_MISS,DC-02-Z08,LOW,Y,FLEET
DC-02,SAFE-DC-02-022,2026-08-09T12:39:00,SCANNER_FAULT,DC-02-Z02,MEDIUM,N,OPERATOR
DC-02,SAFE-DC-02-023,2026-08-01T10:20:00,ZONE_BREACH,DC-02-Z07,MEDIUM,Y,FLEET
DC-02,SAFE-DC-02-024,2026-08-06T14:40:00,E_STOP,DC-02-Z05,LOW,Y,SAFETY_PLC
DC-02,SAFE-DC-02-025,2026-08-12T05:37:00,SPEED_REDUCTION,DC-02-Z08,LOW,Y,SAFETY_PLC
DC-02,SAFE-DC-02-026,2026-08-04T02:09:00,E_STOP,DC-02-Z10,HIGH,N,VISION
DC-02,SAFE-DC-02-027,2026-08-22T11:02:00,SCANNER_FAULT,DC-02-Z07,HIGH,N,VISION
DC-02,SAFE-DC-02-028,2026-08-02T18:23:00,SPEED_REDUCTION,DC-02-Z01,CRITICAL,Y,SAFETY_PLC
DC-02,SAFE-DC-02-029,2026-08-25T17:02:00,SCANNER_FAULT,DC-02-Z11,LOW,Y,FLEET
DC-02,SAFE-DC-02-030,2026-08-12T04:58:00,ZONE_BREACH,DC-02-Z05,MEDIUM,Y,VISION
DC-02,SAFE-DC-02-031,2026-08-07T21:34:00,MANUAL_OVERRIDE,DC-02-Z06,HIGH,Y,FLEET
DC-02,SAFE-DC-02-032,2026-08-04T18:50:00,E_STOP,DC-02-Z03,CRITICAL,N,SAFETY_PLC
DC-02,SAFE-DC-02-033,2026-08-08T02:48:00,SPEED_REDUCTION,DC-02-Z04,HIGH,N,OPERATOR
DC-02,SAFE-DC-02-034,2026-08-16T21:39:00,NEAR_MISS,DC-02-Z01,MEDIUM,Y,SAFETY_PLC
DC-02,SAFE-DC-02-035,2026-08-02T13:58:00,NEAR_MISS,DC-02-Z06,CRITICAL,Y,SAFETY_PLC
DC-02,SAFE-DC-02-036,2026-08-11T06:25:00,NEAR_MISS,DC-02-Z06,MEDIUM,Y,SAFETY_PLC
DC-02,SAFE-DC-02-037,2026-08-28T06:27:00,NEAR_MISS,DC-02-Z12,HIGH,N,FLEET
DC-02,SAFE-DC-02-038,2026-08-15T07:57:00,ZONE_BREACH,DC-02-Z04,HIGH,Y,FLEET
DC-02,SAFE-DC-02-039,2026-08-24T23:24:00,SPEED_REDUCTION,DC-02-Z02,HIGH,Y,OPERATOR
DC-02,SAFE-DC-02-040,2026-09-03T11:58:00,ZONE_BREACH,DC-02-Z04,MEDIUM,N,VISION
DC-02,SAFE-DC-02-041,2026-08-15T19:11:00,SPEED_REDUCTION,DC-02-Z08,CRITICAL,N,OPERATOR
DC-02,SAFE-DC-02-042,2026-08-04T21:49:00,MANUAL_OVERRIDE,DC-02-Z01,LOW,N,VISION
DC-02,SAFE-DC-02-043,2026-08-07T09:42:00,E_STOP,DC-02-Z05,MEDIUM,Y,OPERATOR
DC-02,SAFE-DC-02-044,2026-08-23T06:59:00,ZONE_BREACH,DC-02-Z09,HIGH,Y,VISION
DC-02,SAFE-DC-02-045,2026-08-08T05:51:00,ZONE_BREACH,DC-02-Z04,CRITICAL,Y,OPERATOR
DC-02,SAFE-DC-02-046,2026-08-14T22:22:00,MANUAL_OVERRIDE,DC-02-Z04,MEDIUM,Y,VISION
DC-02,SAFE-DC-02-047,2026-08-04T04:45:00,ZONE_BREACH,DC-02-Z12,LOW,Y,FLEET
DC-02,SAFE-DC-02-048,2026-08-27T03:18:00,ZONE_BREACH,DC-02-Z01,LOW,Y,VISION
DC-02,SAFE-DC-02-049,2026-08-28T19:42:00,E_STOP,DC-02-Z01,MEDIUM,N,FLEET
DC-02,SAFE-DC-02-050,2026-08-18T14:24:00,SPEED_REDUCTION,DC-02-Z01,MEDIUM,Y,OPERATOR
DC-02,SAFE-DC-02-051,2026-08-06T11:06:00,E_STOP,DC-02-Z08,MEDIUM,N,SAFETY_PLC
DC-02,SAFE-DC-02-052,2026-08-27T12:31:00,MANUAL_OVERRIDE,DC-02-Z04,HIGH,Y,SAFETY_PLC
DC-02,SAFE-DC-02-053,2026-08-30T21:52:00,E_STOP,DC-02-Z07,LOW,Y,VISION
DC-02,SAFE-DC-02-054,2026-08-10T13:57:00,SCANNER_FAULT,DC-02-Z03,LOW,Y,VISION
DC-02,SAFE-DC-02-055,2026-08-05T03:21:00,ZONE_BREACH,DC-02-Z05,CRITICAL,Y,FLEET
DC-02,SAFE-DC-02-056,2026-08-08T06:56:00,MANUAL_OVERRIDE,DC-02-Z09,HIGH,Y,OPERATOR
DC-02,SAFE-DC-02-057,2026-08-15T01:13:00,NEAR_MISS,DC-02-Z03,HIGH,N,VISION
DC-02,SAFE-DC-02-058,2026-08-20T16:25:00,NEAR_MISS,DC-02-Z05,CRITICAL,Y,OPERATOR
DC-02,SAFE-DC-02-059,2026-08-31T07:04:00,E_STOP,DC-02-Z09,MEDIUM,Y,VISION
DC-02,SAFE-DC-02-060,2026-08-02T00:30:00,SCANNER_FAULT,DC-02-Z02,CRITICAL,Y,FLEET
DC-02,SAFE-DC-02-061,2026-08-08T22:41:00,ZONE_BREACH,DC-02-Z02,LOW,Y,FLEET
DC-02,SAFE-DC-02-062,2026-08-06T09:06:00,ZONE_BREACH,DC-02-Z10,MEDIUM,N,OPERATOR
DC-02,SAFE-DC-02-063,2026-08-12T13:17:00,MANUAL_OVERRIDE,DC-02-Z07,HIGH,Y,OPERATOR
DC-02,SAFE-DC-02-064,2026-08-26T17:54:00,E_STOP,DC-02-Z05,MEDIUM,Y,FLEET
DC-03,SAFE-DC-03-000,2026-09-04T01:36:00,E_STOP,DC-03-Z06,HIGH,N,FLEET
DC-03,SAFE-DC-03-001,2026-08-24T04:39:00,E_STOP,DC-03-Z03,MEDIUM,Y,VISION
DC-03,SAFE-DC-03-002,2026-08-09T22:24:00,NEAR_MISS,DC-03-Z08,MEDIUM,Y,SAFETY_PLC
DC-03,SAFE-DC-03-003,2026-08-28T23:25:00,ZONE_BREACH,DC-03-Z07,CRITICAL,Y,OPERATOR
DC-03,SAFE-DC-03-004,2026-08-23T14:09:00,SPEED_REDUCTION,DC-03-Z11,CRITICAL,Y,OPERATOR
DC-03,SAFE-DC-03-005,2026-08-12T18:44:00,ZONE_BREACH,DC-03-Z06,MEDIUM,N,FLEET
DC-03,SAFE-DC-03-006,2026-08-25T10:16:00,NEAR_MISS,DC-03-Z09,CRITICAL,Y,OPERATOR
DC-03,SAFE-DC-03-007,2026-08-23T12:39:00,NEAR_MISS,DC-03-Z01,LOW,N,SAFETY_PLC
DC-03,SAFE-DC-03-008,2026-08-23T19:46:00,SPEED_REDUCTION,DC-03-Z07,HIGH,Y,OPERATOR
DC-03,SAFE-DC-03-009,2026-09-02T21:00:00,ZONE_BREACH,DC-03-Z07,MEDIUM,Y,OPERATOR
DC-03,SAFE-DC-03-010,2026-08-30T00:09:00,SPEED_REDUCTION,DC-03-Z11,CRITICAL,Y,FLEET
DC-03,SAFE-DC-03-011,2026-08-22T14:54:00,SPEED_REDUCTION,DC-03-Z09,HIGH,Y,FLEET
DC-03,SAFE-DC-03-012,2026-08-26T11:43:00,NEAR_MISS,DC-03-Z05,LOW,N,SAFETY_PLC
DC-03,SAFE-DC-03-013,2026-08-20T15:29:00,ZONE_BREACH,DC-03-Z09,MEDIUM,Y,FLEET
DC-03,SAFE-DC-03-014,2026-08-02T16:17:00,E_STOP,DC-03-Z11,LOW,Y,VISION
DC-03,SAFE-DC-03-015,2026-08-12T01:20:00,MANUAL_OVERRIDE,DC-03-Z06,LOW,N,FLEET
DC-03,SAFE-DC-03-016,2026-09-04T14:40:00,E_STOP,DC-03-Z12,LOW,Y,SAFETY_PLC
DC-03,SAFE-DC-03-017,2026-08-11T04:22:00,ZONE_BREACH,DC-03-Z01,HIGH,N,FLEET
DC-03,SAFE-DC-03-018,2026-08-11T09:06:00,SCANNER_FAULT,DC-03-Z10,MEDIUM,N,SAFETY_PLC
DC-03,SAFE-DC-03-019,2026-09-03T07:45:00,SCANNER_FAULT,DC-03-Z06,HIGH,Y,FLEET
DC-03,SAFE-DC-03-020,2026-08-14T14:56:00,SPEED_REDUCTION,DC-03-Z07,CRITICAL,Y,SAFETY_PLC
DC-03,SAFE-DC-03-021,2026-08-19T03:56:00,ZONE_BREACH,DC-03-Z10,LOW,Y,OPERATOR
DC-03,SAFE-DC-03-022,2026-08-24T08:03:00,NEAR_MISS,DC-03-Z09,CRITICAL,Y,FLEET
DC-03,SAFE-DC-03-023,2026-09-02T04:32:00,MANUAL_OVERRIDE,DC-03-Z02,CRITICAL,Y,SAFETY_PLC
DC-03,SAFE-DC-03-024,2026-08-26T14:09:00,MANUAL_OVERRIDE,DC-03-Z05,LOW,Y,OPERATOR
DC-03,SAFE-DC-03-025,2026-08-15T19:29:00,ZONE_BREACH,DC-03-Z11,MEDIUM,Y,SAFETY_PLC
DC-03,SAFE-DC-03-026,2026-08-09T22:13:00,SCANNER_FAULT,DC-03-Z05,MEDIUM,Y,FLEET
DC-03,SAFE-DC-03-027,2026-08-29T17:28:00,MANUAL_OVERRIDE,DC-03-Z07,CRITICAL,Y,VISION
DC-03,SAFE-DC-03-028,2026-08-16T18:54:00,SCANNER_FAULT,DC-03-Z01,MEDIUM,Y,VISION
DC-03,SAFE-DC-03-029,2026-08-01T23:38:00,NEAR_MISS,DC-03-Z11,CRITICAL,Y,FLEET
DC-03,SAFE-DC-03-030,2026-08-06T00:12:00,SPEED_REDUCTION,DC-03-Z02,CRITICAL,Y,VISION
DC-03,SAFE-DC-03-031,2026-08-02T22:49:00,E_STOP,DC-03-Z09,CRITICAL,Y,OPERATOR
DC-03,SAFE-DC-03-032,2026-08-14T03:06:00,SPEED_REDUCTION,DC-03-Z09,LOW,Y,SAFETY_PLC
DC-03,SAFE-DC-03-033,2026-08-22T21:27:00,SPEED_REDUCTION,DC-03-Z10,HIGH,Y,OPERATOR
DC-03,SAFE-DC-03-034,2026-08-27T21:35:00,SCANNER_FAULT,DC-03-Z08,MEDIUM,N,FLEET
DC-03,SAFE-DC-03-035,2026-08-13T02:40:00,SCANNER_FAULT,DC-03-Z11,MEDIUM,Y,VISION
DC-03,SAFE-DC-03-036,2026-08-17T12:50:00,SCANNER_FAULT,DC-03-Z10,MEDIUM,Y,FLEET
DC-03,SAFE-DC-03-037,2026-08-01T17:19:00,ZONE_BREACH,DC-03-Z08,HIGH,Y,VISION
DC-03,SAFE-DC-03-038,2026-08-08T19:02:00,E_STOP,DC-03-Z12,HIGH,Y,VISION
DC-03,SAFE-DC-03-039,2026-08-03T09:22:00,E_STOP,DC-03-Z03,CRITICAL,Y,VISION
DC-03,SAFE-DC-03-040,2026-08-01T13:32:00,SCANNER_FAULT,DC-03-Z08,MEDIUM,Y,SAFETY_PLC
DC-03,SAFE-DC-03-041,2026-08-28T13:55:00,NEAR_MISS,DC-03-Z07,HIGH,Y,SAFETY_PLC
DC-03,SAFE-DC-03-042,2026-08-18T20:01:00,NEAR_MISS,DC-03-Z04,LOW,Y,OPERATOR
DC-03,SAFE-DC-03-043,2026-08-12T22:06:00,SPEED_REDUCTION,DC-03-Z12,MEDIUM,Y,VISION
DC-03,SAFE-DC-03-044,2026-08-10T06:42:00,ZONE_BREACH,DC-03-Z03,CRITICAL,Y,OPERATOR
DC-03,SAFE-DC-03-045,2026-08-01T06:36:00,NEAR_MISS,DC-03-Z01,LOW,Y,OPERATOR
DC-03,SAFE-DC-03-046,2026-09-01T06:52:00,NEAR_MISS,DC-03-Z05,MEDIUM,Y,SAFETY_PLC
DC-03,SAFE-DC-03-047,2026-08-08T01:14:00,ZONE_BREACH,DC-03-Z05,HIGH,Y,VISION
DC-03,SAFE-DC-03-048,2026-08-28T23:16:00,SPEED_REDUCTION,DC-03-Z06,LOW,Y,OPERATOR
DC-03,SAFE-DC-03-049,2026-08-14T19:53:00,SPEED_REDUCTION,DC-03-Z03,CRITICAL,Y,VISION
DC-03,SAFE-DC-03-050,2026-09-04T01:16:00,MANUAL_OVERRIDE,DC-03-Z11,HIGH,Y,VISION
DC-03,SAFE-DC-03-051,2026-08-22T04:09:00,E_STOP,DC-03-Z06,MEDIUM,Y,SAFETY_PLC
DC-03,SAFE-DC-03-052,2026-08-13T03:02:00,ZONE_BREACH,DC-03-Z01,LOW,Y,VISION
DC-03,SAFE-DC-03-053,2026-08-23T21:06:00,NEAR_MISS,DC-03-Z05,LOW,Y,SAFETY_PLC
DC-03,SAFE-DC-03-054,2026-08-27T01:34:00,ZONE_BREACH,DC-03-Z05,LOW,Y,VISION
DC-03,SAFE-DC-03-055,2026-08-09T07:35:00,NEAR_MISS,DC-03-Z02,MEDIUM,Y,VISION
DC-03,SAFE-DC-03-056,2026-08-10T20:39:00,MANUAL_OVERRIDE,DC-03-Z01,LOW,Y,OPERATOR
DC-03,SAFE-DC-03-057,2026-08-26T14:21:00,SCANNER_FAULT,DC-03-Z12,LOW,Y,SAFETY_PLC
DC-03,SAFE-DC-03-058,2026-08-24T10:36:00,SPEED_REDUCTION,DC-03-Z10,HIGH,Y,SAFETY_PLC
DC-03,SAFE-DC-03-059,2026-08-04T01:26:00,ZONE_BREACH,DC-03-Z01,HIGH,Y,FLEET
DC-03,SAFE-DC-03-060,2026-09-03T14:42:00,NEAR_MISS,DC-03-Z05,HIGH,Y,SAFETY_PLC
DC-03,SAFE-DC-03-061,2026-08-29T12:27:00,ZONE_BREACH,DC-03-Z09,MEDIUM,Y,FLEET
DC-03,SAFE-DC-03-062,2026-08-12T13:06:00,MANUAL_OVERRIDE,DC-03-Z04,CRITICAL,Y,VISION
DC-03,SAFE-DC-03-063,2026-08-10T19:23:00,SPEED_REDUCTION,DC-03-Z07,MEDIUM,N,OPERATOR
DC-03,SAFE-DC-03-064,2026-08-03T23:21:00,ZONE_BREACH,DC-03-Z01,LOW,Y,SAFETY_PLC
DC-04,SAFE-DC-04-000,2026-09-02T06:26:00,ZONE_BREACH,DC-04-Z04,LOW,N,FLEET
DC-04,SAFE-DC-04-001,2026-08-20T07:49:00,SPEED_REDUCTION,DC-04-Z08,HIGH,Y,SAFETY_PLC
DC-04,SAFE-DC-04-002,2026-08-09T14:58:00,ZONE_BREACH,DC-04-Z07,HIGH,Y,VISION
DC-04,SAFE-DC-04-003,2026-08-13T02:47:00,SCANNER_FAULT,DC-04-Z12,CRITICAL,Y,FLEET
DC-04,SAFE-DC-04-004,2026-08-21T14:38:00,MANUAL_OVERRIDE,DC-04-Z05,LOW,Y,FLEET
DC-04,SAFE-DC-04-005,2026-08-01T16:46:00,SPEED_REDUCTION,DC-04-Z02,HIGH,N,SAFETY_PLC
DC-04,SAFE-DC-04-006,2026-08-01T15:21:00,NEAR_MISS,DC-04-Z11,LOW,Y,SAFETY_PLC
DC-04,SAFE-DC-04-007,2026-08-28T00:30:00,SPEED_REDUCTION,DC-04-Z06,HIGH,Y,FLEET
DC-04,SAFE-DC-04-008,2026-08-23T00:58:00,E_STOP,DC-04-Z06,HIGH,Y,VISION
DC-04,SAFE-DC-04-009,2026-08-08T12:37:00,ZONE_BREACH,DC-04-Z09,LOW,Y,SAFETY_PLC
DC-04,SAFE-DC-04-010,2026-08-21T13:08:00,SPEED_REDUCTION,DC-04-Z01,HIGH,Y,OPERATOR
DC-04,SAFE-DC-04-011,2026-08-30T01:48:00,ZONE_BREACH,DC-04-Z05,LOW,Y,FLEET
DC-04,SAFE-DC-04-012,2026-08-29T17:59:00,E_STOP,DC-04-Z12,LOW,Y,SAFETY_PLC
DC-04,SAFE-DC-04-013,2026-08-06T01:54:00,MANUAL_OVERRIDE,DC-04-Z04,CRITICAL,Y,OPERATOR
DC-04,SAFE-DC-04-014,2026-08-27T03:02:00,NEAR_MISS,DC-04-Z04,MEDIUM,Y,FLEET
DC-04,SAFE-DC-04-015,2026-08-04T22:31:00,NEAR_MISS,DC-04-Z11,LOW,Y,SAFETY_PLC
DC-04,SAFE-DC-04-016,2026-08-29T03:11:00,SCANNER_FAULT,DC-04-Z05,HIGH,Y,OPERATOR
DC-04,SAFE-DC-04-017,2026-08-28T07:32:00,NEAR_MISS,DC-04-Z05,HIGH,N,FLEET
DC-04,SAFE-DC-04-018,2026-08-28T14:21:00,MANUAL_OVERRIDE,DC-04-Z11,CRITICAL,Y,SAFETY_PLC
DC-04,SAFE-DC-04-019,2026-08-30T10:46:00,MANUAL_OVERRIDE,DC-04-Z11,MEDIUM,N,VISION
DC-04,SAFE-DC-04-020,2026-08-15T08:21:00,NEAR_MISS,DC-04-Z02,LOW,Y,FLEET
