warehouse_id,order_id,manual_priority,reason
DC-12,ORD-003338,P3,inventory_risk
DC-12,ORD-003498,P2,vip_customer
DC-12,ORD-002786,P1,manager_override
DC-12,ORD-002624,P3,manager_override
DC-12,ORD-001002,P1,manager_override
DC-12,ORD-003473,P3,inventory_risk
DC-12,ORD-001823,P2,inventory_risk
DC-12,ORD-001744,P1,manager_override
DC-12,ORD-001659,P3,inventory_risk
DC-13,ORD-002435,P2,inventory_risk
DC-13,ORD-002254,P1,carrier_cutoff
DC-13,ORD-002480,P2,carrier_cutoff
DC-13,ORD-002688,P2,manager_override
DC-13,ORD-003160,P3,carrier_cutoff
DC-13,ORD-001603,P2,carrier_cutoff
DC-13,ORD-001999,P3,carrier_cutoff
DC-13,ORD-003292,P1,vip_customer
DC-13,ORD-001702,P1,vip_customer
DC-13,ORD-001392,P2,manager_override
DC-13,ORD-002349,P2,manager_override
DC-13,ORD-000693,P3,manager_override
DC-14,ORD-002092,P2,manager_override
DC-14,ORD-001775,P3,inventory_risk
DC-14,ORD-000899,P3,inventory_risk
DC-14,ORD-002861,P1,manager_override
DC-14,ORD-001109,P2,carrier_cutoff
DC-14,ORD-000737,P3,manager_override
DC-14,ORD-001169,P3,inventory_risk
DC-14,ORD-002009,P2,carrier_cutoff
DC-14,ORD-000011,P1,manager_override
DC-14,ORD-003495,P2,manager_override
DC-14,ORD-003409,P1,carrier_cutoff
DC-14,ORD-002399,P3,manager_override
DC-15,ORD-002165,P1,carrier_cutoff
DC-15,ORD-001462,P2,carrier_cutoff
DC-15,ORD-002363,P1,manager_override
DC-15,ORD-000093,P3,carrier_cutoff
DC-15,ORD-000972,P2,inventory_risk
DC-15,ORD-000265,P2,vip_customer
DC-15,ORD-001305,P2,inventory_risk
DC-15,ORD-001421,P2,manager_override
DC-15,ORD-001967,P1,manager_override
DC-15,ORD-003239,P1,carrier_cutoff
DC-15,ORD-003277,P3,manager_override
DC-15,ORD-000742,P2,vip_customer
DC-16,ORD-000821,P1,vip_customer
DC-16,ORD-000666,P3,manager_override
DC-16,ORD-002218,P3,manager_override
DC-16,ORD-001387,P2,carrier_cutoff
DC-16,ORD-003093,P2,inventory_risk
DC-16,ORD-002336,P2,carrier_cutoff
DC-16,ORD-002282,P3,manager_override
DC-16,ORD-001004,P1,manager_override
DC-16,ORD-001113,P2,manager_override
DC-16,ORD-000514,P2,vip_customer
DC-16,ORD-003367,P1,manager_override
DC-16,ORD-002203,P1,manager_override
DC-17,ORD-000082,P2,manager_override
DC-17,ORD-003083,P1,carrier_cutoff
DC-17,ORD-001956,P3,carrier_cutoff
DC-17,ORD-000836,P3,carrier_cutoff
DC-17,ORD-001285,P2,inventory_risk
DC-17,ORD-001297,P1,carrier_cutoff
DC-17,ORD-000077,P1,carrier_cutoff
DC-17,ORD-003452,P2,carrier_cutoff
DC-17,ORD-003018,P3,inventory_risk
DC-17,ORD-001679,P2,manager_override
DC-17,ORD-001696,P1,inventory_risk
DC-17,ORD-000088,P2,carrier_cutoff
DC-18,ORD-001070,P1,carrier_cutoff
DC-18,ORD-001258,P2,inventory_risk
DC-18,ORD-002050,P2,inventory_risk
DC-18,ORD-001479,P1,manager_override
DC-18,ORD-003427,P2,manager_override
DC-18,ORD-001173,P3,inventory_risk
DC-18,ORD-001756,P2,inventory_risk
DC-18,ORD-001439,P1,carrier_cutoff
DC-18,ORD-002330,P2,manager_override
DC-18,ORD-003267,P1,inventory_risk
DC-18,ORD-001211,P3,carrier_cutoff
DC-18,ORD-003114,P2,carrier_cutoff
