warehouse_id,camera_id,observed_entity,observed_zone,event_time,confidence,classification
DC-02,DC-02-CAM-05,RBT-0053,DC-02-Z04,2026-08-06T06:48:00,0.832,ROBOT
DC-02,DC-02-CAM-26,RBT-0055,DC-02-Z06,2026-08-30T06:50:00,0.628,ROBOT
DC-02,DC-02-CAM-21,RBT-0057,DC-02-Z07,2026-09-04T07:18:00,0.943,ROBOT
DC-02,DC-02-CAM-10,RBT-0061,DC-02-Z10,2026-08-24T06:12:00,0.755,ROBOT
DC-02,DC-02-CAM-08,RBT-0063,DC-02-Z09,2026-08-10T06:44:00,0.965,ROBOT
DC-02,DC-02-CAM-13,RBT-0064,DC-02-Z03,2026-09-04T07:38:00,0.558,ROBOT
DC-02,DC-02-CAM-21,RBT-0066,DC-02-Z08,2026-08-27T06:28:00,0.749,ROBOT
DC-02,DC-02-CAM-30,RBT-0068,DC-02-Z12,2026-08-25T06:43:00,0.918,ROBOT
DC-02,DC-02-CAM-20,RBT-0075,DC-02-Z06,2026-08-31T07:59:00,0.554,ROBOT
DC-02,DC-02-CAM-03,RBT-0082,DC-02-Z05,2026-08-19T06:59:00,0.837,ROBOT
DC-03,DC-03-CAM-01,RBT-0090,DC-03-Z02,2026-08-12T07:00:00,0.588,ROBOT
DC-03,DC-03-CAM-29,RBT-0096,DC-03-Z10,2026-08-08T07:23:00,0.75,ROBOT
DC-03,DC-03-CAM-23,RBT-0097,DC-03-Z07,2026-08-04T06:40:00,0.562,ROBOT
DC-03,DC-03-CAM-16,RBT-0103,DC-03-Z12,2026-08-24T07:23:00,0.668,ROBOT
DC-03,DC-03-CAM-25,RBT-0109,DC-03-Z12,2026-08-06T07:06:00,0.564,ROBOT
DC-03,DC-03-CAM-05,RBT-0111,DC-03-Z02,2026-09-03T07:30:00,0.628,ROBOT
DC-03,DC-03-CAM-30,RBT-0113,DC-03-Z05,2026-08-10T07:28:00,0.923,ROBOT
DC-03,DC-03-CAM-10,RBT-0116,DC-03-Z01,2026-08-21T07:51:00,0.694,ROBOT
DC-03,DC-03-CAM-13,RBT-0123,DC-03-Z07,2026-08-04T06:45:00,0.564,ROBOT
DC-03,DC-03-CAM-02,RBT-0125,DC-03-Z11,2026-08-28T07:06:00,0.932,ROBOT
DC-04,DC-04-CAM-11,RBT-0129,DC-04-Z02,2026-09-03T07:10:00,0.66,ROBOT
DC-04,DC-04-CAM-09,RBT-0130,DC-04-Z03,2026-08-31T07:04:00,0.677,ROBOT
DC-04,DC-04-CAM-25,RBT-0134,DC-04-Z01,2026-08-08T06:41:00,0.654,ROBOT
DC-04,DC-04-CAM-21,RBT-0136,DC-04-Z07,2026-08-05T06:02:00,0.857,ROBOT
DC-04,DC-04-CAM-14,RBT-0140,DC-04-Z03,2026-08-04T08:00:00,0.939,ROBOT
DC-04,DC-04-CAM-14,RBT-0143,DC-04-Z04,2026-08-20T06:50:00,0.845,ROBOT
DC-04,DC-04-CAM-27,RBT-0145,DC-04-Z11,2026-08-29T08:00:00,0.9,ROBOT
DC-04,DC-04-CAM-05,RBT-0148,DC-04-Z09,2026-08-09T07:55:00,0.984,ROBOT
DC-04,DC-04-CAM-17,RBT-0149,DC-04-Z01,2026-08-04T07:15:00,0.692,ROBOT
DC-04,DC-04-CAM-17,RBT-0153,DC-04-Z05,2026-08-14T06:47:00,0.777,ROBOT
DC-04,DC-04-CAM-03,RBT-0154,DC-04-Z02,2026-09-03T07:00:00,0.67,ROBOT
DC-04,DC-04-CAM-19,RBT-0155,DC-04-Z07,2026-08-05T06:04:00,0.723,ROBOT
DC-04,DC-04-CAM-01,RBT-0163,DC-04-Z10,2026-08-18T06:12:00,0.748,ROBOT
DC-04,DC-04-CAM-27,RBT-0164,DC-04-Z12,2026-09-01T06:51:00,0.809,ROBOT
DC-04,DC-04-CAM-10,RBT-0167,DC-04-Z07,2026-08-18T07:33:00,0.595,ROBOT
DC-05,DC-05-CAM-11,RBT-0171,DC-05-Z03,2026-09-04T06:00:00,0.644,ROBOT
DC-05,DC-05-CAM-23,RBT-0173,DC-05-Z10,2026-08-19T07:45:00,0.788,ROBOT
DC-05,DC-05-CAM-14,RBT-0175,DC-05-Z04,2026-08-21T06:49:00,0.638,ROBOT
DC-05,DC-05-CAM-23,RBT-0177,DC-05-Z06,2026-08-15T06:50:00,0.581,ROBOT
DC-05,DC-05-CAM-19,RBT-0178,DC-05-Z11,2026-08-04T06:13:00,0.67,ROBOT
DC-05,DC-05-CAM-19,RBT-0180,DC-05-Z06,2026-08-29T06:13:00,0.838,ROBOT
DC-05,DC-05-CAM-28,RBT-0185,DC-05-Z02,2026-08-23T06:36:00,0.709,ROBOT
DC-05,DC-05-CAM-29,RBT-0188,DC-05-Z04,2026-08-17T07:54:00,0.622,ROBOT
DC-05,DC-05-CAM-05,RBT-0190,DC-05-Z04,2026-08-03T07:52:00,0.865,ROBOT
DC-05,DC-05-CAM-04,RBT-0194,DC-05-Z03,2026-08-12T07:12:00,0.768,ROBOT
DC-05,DC-05-CAM-05,RBT-0195,DC-05-Z07,2026-08-07T07:44:00,0.915,ROBOT
DC-05,DC-05-CAM-17,RBT-0197,DC-05-Z03,2026-08-31T07:38:00,0.682,ROBOT
DC-06,DC-06-CAM-17,RBT-0207,DC-06-Z05,2026-08-15T06:30:00,0.59,ROBOT
DC-06,DC-06-CAM-02,RBT-0210,DC-06-Z08,2026-08-07T07:51:00,0.569,ROBOT
DC-06,DC-06-CAM-02,RBT-0216,DC-06-Z06,2026-08-16T07:45:00,0.748,ROBOT
DC-06,DC-06-CAM-19,RBT-0221,DC-06-Z12,2026-08-29T06:50:00,0.825,ROBOT
DC-06,DC-06-CAM-13,RBT-0223,DC-06-Z03,2026-08-07T06:52:00,0.933,ROBOT
DC-06,DC-06-CAM-20,RBT-0226,DC-06-Z12,2026-09-04T07:03:00,0.967,ROBOT
DC-06,DC-06-CAM-28,RBT-0231,DC-06-Z09,2026-08-16T06:00:00,0.731,ROBOT
DC-06,DC-06-CAM-21,RBT-0232,DC-06-Z07,2026-08-15T07:15:00,0.971,ROBOT
DC-06,DC-06-CAM-22,RBT-0233,DC-06-Z01,2026-08-07T07:57:00,0.982,ROBOT
DC-06,DC-06-CAM-18,RBT-0234,DC-06-Z12,2026-08-31T06:58:00,0.87,ROBOT
DC-06,DC-06-CAM-18,RBT-0238,DC-06-Z01,2026-08-26T06:58:00,0.792,ROBOT
DC-06,DC-06-CAM-12,RBT-0239,DC-06-Z01,2026-08-15T06:40:00,0.898,ROBOT
DC-06,DC-06-CAM-18,RBT-0241,DC-06-Z01,2026-08-24T06:56:00,0.815,ROBOT
DC-07,DC-07-CAM-19,RBT-0247,DC-07-Z03,2026-08-30T07:09:00,0.95,ROBOT
DC-07,DC-07-CAM-03,RBT-0251,DC-07-Z07,2026-09-02T07:05:00,0.883,ROBOT
DC-07,DC-07-CAM-08,RBT-0257,DC-07-Z12,2026-08-03T06:25:00,0.748,ROBOT
DC-07,DC-07-CAM-17,RBT-0258,DC-07-Z10,2026-08-17T06:03:00,0.843,ROBOT
DC-07,DC-07-CAM-14,RBT-0262,DC-07-Z01,2026-08-20T07:43:00,0.978,ROBOT
DC-07,DC-07-CAM-27,RBT-0265,DC-07-Z07,2026-08-26T07:07:00,0.661,ROBOT
DC-07,DC-07-CAM-28,RBT-0268,DC-07-Z12,2026-09-03T06:01:00,0.572,ROBOT
DC-07,DC-07-CAM-29,RBT-0271,DC-07-Z07,2026-08-31T06:42:00,0.796,ROBOT
DC-07,DC-07-CAM-08,RBT-0273,DC-07-Z12,2026-08-15T07:18:00,0.917,ROBOT
DC-07,DC-07-CAM-08,RBT-0279,DC-07-Z11,2026-08-27T06:55:00,0.864,ROBOT
DC-07,DC-07-CAM-24,RBT-0281,DC-07-Z09,2026-08-26T06:43:00,0.754,ROBOT
DC-07,DC-07-CAM-30,RBT-0283,DC-07-Z08,2026-09-02T07:11:00,0.894,ROBOT
DC-07,DC-07-CAM-30,RBT-0286,DC-07-Z08,2026-09-03T06:16:00,0.802,ROBOT
DC-07,DC-07-CAM-06,RBT-0289,DC-07-Z06,2026-08-30T06:49:00,0.862,ROBOT
DC-08,DC-08-CAM-26,RBT-0294,DC-08-Z10,2026-08-25T07:25:00,0.866,ROBOT
DC-08,DC-08-CAM-03,RBT-0296,DC-08-Z06,2026-08-27T07:15:00,0.686,ROBOT
DC-08,DC-08-CAM-05,RBT-0297,DC-08-Z05,2026-08-22T06:43:00,0.814,ROBOT
DC-08,DC-08-CAM-05,RBT-0298,DC-08-Z08,2026-08-28T06:25:00,0.592,ROBOT
DC-08,DC-08-CAM-21,RBT-0305,DC-08-Z09,2026-08-21T07:55:00,0.568,ROBOT
DC-08,DC-08-CAM-28,RBT-0307,DC-08-Z02,2026-08-10T06:42:00,0.827,ROBOT
DC-08,DC-08-CAM-16,RBT-0314,DC-08-Z04,2026-08-27T06:59:00,0.954,ROBOT
DC-08,DC-08-CAM-14,RBT-0315,DC-08-Z10,2026-08-25T07:16:00,0.852,ROBOT
DC-08,DC-08-CAM-06,RBT-0318,DC-08-Z11,2026-08-23T07:34:00,0.782,ROBOT
DC-09,DC-09-CAM-13,RBT-0324,DC-09-Z06,2026-08-25T06:26:00,0.975,ROBOT
DC-09,DC-09-CAM-14,RBT-0328,DC-09-Z05,2026-08-23T06:26:00,0.951,ROBOT
DC-09,DC-09-CAM-26,RBT-0330,DC-09-Z11,2026-09-02T07:51:00,0.935,ROBOT
DC-09,DC-09-CAM-03,RBT-0335,DC-09-Z08,2026-08-26T07:46:00,0.892,ROBOT
DC-09,DC-09-CAM-27,RBT-0336,DC-09-Z07,2026-08-06T07:14:00,0.86,ROBOT
DC-09,DC-09-CAM-25,RBT-0350,DC-09-Z12,2026-08-22T06:49:00,0.636,ROBOT
DC-09,DC-09-CAM-27,RBT-0352,DC-09-Z09,2026-08-07T07:30:00,0.842,ROBOT
DC-09,DC-09-CAM-24,RBT-0355,DC-09-Z05,2026-08-18T07:41:00,0.653,ROBOT
DC-09,DC-09-CAM-01,RBT-0356,DC-09-Z04,2026-08-24T07:43:00,0.63,ROBOT
DC-09,DC-09-CAM-27,RBT-0361,DC-09-Z11,2026-08-27T06:56:00,0.667,ROBOT
DC-09,DC-09-CAM-16,RBT-0363,DC-09-Z12,2026-08-28T06:00:00,0.68,ROBOT
DC-09,DC-09-CAM-07,RBT-0365,DC-09-Z02,2026-08-19T07:05:00,0.907,ROBOT
DC-10,DC-10-CAM-24,RBT-0367,DC-10-Z06,2026-08-30T07:16:00,0.918,ROBOT
DC-10,DC-10-CAM-15,RBT-0372,DC-10-Z10,2026-08-20T06:32:00,0.982,ROBOT
DC-10,DC-10-CAM-21,RBT-0377,DC-10-Z01,2026-08-01T06:14:00,0.853,ROBOT
DC-10,DC-10-CAM-20,RBT-0378,DC-10-Z02,2026-08-14T07:01:00,0.919,ROBOT
DC-10,DC-10-CAM-15,RBT-0384,DC-10-Z01,2026-08-10T06:00:00,0.769,ROBOT
DC-10,DC-10-CAM-27,RBT-0385,DC-10-Z07,2026-08-23T06:38:00,0.65,ROBOT
DC-10,DC-10-CAM-01,RBT-0386,DC-10-Z04,2026-08-30T07:24:00,0.775,ROBOT
DC-10,DC-10-CAM-04,RBT-0387,DC-10-Z09,2026-08-26T07:17:00,0.821,ROBOT
DC-10,DC-10-CAM-13,RBT-0389,DC-10-Z01,2026-08-09T06:51:00,0.858,ROBOT
DC-10,DC-10-CAM-21,RBT-0390,DC-10-Z08,2026-08-08T07:38:00,0.741,ROBOT
DC-10,DC-10-CAM-23,RBT-0399,DC-10-Z01,2026-08-27T07:31:00,0.986,ROBOT
DC-10,DC-10-CAM-26,RBT-0401,DC-10-Z03,2026-08-12T06:58:00,0.722,ROBOT
DC-10,DC-10-CAM-03,RBT-0406,DC-10-Z02,2026-08-10T06:23:00,0.626,ROBOT
DC-10,DC-10-CAM-13,RBT-0408,DC-10-Z04,2026-08-25T07:22:00,0.819,ROBOT
DC-11,DC-11-CAM-16,RBT-0414,DC-11-Z09,2026-09-02T07:49:00,0.752,ROBOT
DC-11,DC-11-CAM-06,RBT-0424,DC-11-Z01,2026-08-16T06:39:00,0.636,ROBOT
DC-11,DC-11-CAM-30,RBT-0427,DC-11-Z01,2026-09-01T07:25:00,0.878,ROBOT
DC-11,DC-11-CAM-15,RBT-0431,DC-11-Z07,2026-08-22T07:20:00,0.701,ROBOT
DC-11,DC-11-CAM-05,RBT-0432,DC-11-Z05,2026-08-26T06:21:00,0.87,ROBOT
DC-11,DC-11-CAM-21,RBT-0436,DC-11-Z05,2026-08-14T07:06:00,0.554,ROBOT
DC-11,DC-11-CAM-16,RBT-0438,DC-11-Z08,2026-08-22T06:57:00,0.724,ROBOT
DC-11,DC-11-CAM-12,RBT-0441,DC-11-Z02,2026-09-02T06:43:00,0.966,ROBOT
DC-11,DC-11-CAM-24,RBT-0445,DC-11-Z01,2026-08-30T06:18:00,0.712,ROBOT
DC-12,DC-12-CAM-28,RBT-0448,DC-12-Z07,2026-08-29T06:05:00,0.838,ROBOT
DC-12,DC-12-CAM-04,RBT-0451,DC-12-Z07,2026-08-20T07:09:00,0.964,ROBOT
DC-12,DC-12-CAM-08,RBT-0452,DC-12-Z05,2026-09-03T07:47:00,0.862,ROBOT
DC-12,DC-12-CAM-27,RBT-0454,DC-12-Z10,2026-08-20T06:49:00,0.551,ROBOT
DC-12,DC-12-CAM-11,RBT-0455,DC-12-Z01,2026-08-29T07:10:00,0.963,ROBOT
DC-12,DC-12-CAM-20,RBT-0457,DC-12-Z04,2026-08-06T07:06:00,0.738,ROBOT
DC-12,DC-12-CAM-28,RBT-0462,DC-12-Z12,2026-08-13T07:26:00,0.643,ROBOT
DC-12,DC-12-CAM-25,RBT-0464,DC-12-Z02,2026-08-07T06:12:00,0.616,ROBOT
DC-12,DC-12-CAM-08,RBT-0465,DC-12-Z11,2026-09-01T07:10:00,0.794,ROBOT
DC-12,DC-12-CAM-23,RBT-0468,DC-12-Z08,2026-08-24T07:42:00,0.765,ROBOT
DC-12,DC-12-CAM-06,RBT-0476,DC-12-Z10,2026-08-25T06:36:00,0.831,ROBOT
DC-13,DC-13-CAM-30,RBT-0482,DC-13-Z02,2026-08-07T06:48:00,0.607,ROBOT
DC-13,DC-13-CAM-11,RBT-0483,DC-13-Z09,2026-08-01T07:34:00,0.56,ROBOT
DC-13,DC-13-CAM-09,RBT-0485,DC-13-Z06,2026-08-26T07:53:00,0.887,ROBOT
DC-13,DC-13-CAM-11,RBT-0492,DC-13-Z07,2026-08-11T07:02:00,0.555,ROBOT
DC-13,DC-13-CAM-16,RBT-0493,DC-13-Z10,2026-08-19T07:53:00,0.88,ROBOT
DC-13,DC-13-CAM-02,RBT-0494,DC-13-Z11,2026-08-05T07:18:00,0.898,ROBOT
DC-13,DC-13-CAM-29,RBT-0498,DC-13-Z04,2026-08-22T07:10:00,0.567,ROBOT
DC-13,DC-13-CAM-22,RBT-0501,DC-13-Z02,2026-08-20T06:33:00,0.652,ROBOT
DC-13,DC-13-CAM-16,RBT-0503,DC-13-Z07,2026-08-14T07:13:00,0.904,ROBOT
DC-13,DC-13-CAM-30,RBT-0504,DC-13-Z11,2026-08-03T06:54:00,0.86,ROBOT
DC-13,DC-13-CAM-18,RBT-0506,DC-13-Z08,2026-08-05T06:44:00,0.972,ROBOT
DC-13,DC-13-CAM-26,RBT-0509,DC-13-Z10,2026-09-03T07:07:00,0.915,ROBOT
DC-13,DC-13-CAM-28,RBT-0511,DC-13-Z11,2026-08-14T07:39:00,0.816,ROBOT
DC-13,DC-13-CAM-14,RBT-0516,DC-13-Z12,2026-08-25T06:09:00,0.652,ROBOT
DC-13,DC-13-CAM-22,RBT-0524,DC-13-Z09,2026-08-21T06:12:00,0.742,ROBOT
DC-14,DC-14-CAM-26,RBT-0528,DC-14-Z06,2026-08-25T06:57:00,0.884,ROBOT
DC-14,DC-14-CAM-23,RBT-0529,DC-14-Z08,2026-09-03T07:39:00,0.937,ROBOT
DC-14,DC-14-CAM-30,RBT-0532,DC-14-Z08,2026-08-03T07:40:00,0.652,ROBOT
DC-14,DC-14-CAM-21,RBT-0536,DC-14-Z10,2026-08-08T06:30:00,0.731,ROBOT
DC-14,DC-14-CAM-20,RBT-0538,DC-14-Z03,2026-08-08T06:29:00,0.566,ROBOT
DC-14,DC-14-CAM-08,RBT-0539,DC-14-Z07,2026-08-16T06:21:00,0.705,ROBOT
DC-14,DC-14-CAM-01,RBT-0560,DC-14-Z04,2026-09-03T07:16:00,0.97,ROBOT
DC-14,DC-14-CAM-05,RBT-0563,DC-14-Z02,2026-08-31T07:10:00,0.675,ROBOT
DC-14,DC-14-CAM-07,RBT-0564,DC-14-Z04,2026-08-24T07:57:00,0.596,ROBOT
DC-14,DC-14-CAM-02,RBT-0565,DC-14-Z07,2026-08-22T07:31:00,0.77,ROBOT
DC-15,DC-15-CAM-06,RBT-0573,DC-15-Z05,2026-08-28T07:56:00,0.764,ROBOT
DC-15,DC-15-CAM-13,RBT-0578,DC-15-Z04,2026-08-07T06:19:00,0.843,ROBOT
DC-15,DC-15-CAM-02,RBT-0582,DC-15-Z03,2026-09-03T07:03:00,0.956,ROBOT
DC-15,DC-15-CAM-25,RBT-0588,DC-15-Z12,2026-08-29T07:01:00,0.918,ROBOT
DC-15,DC-15-CAM-01,RBT-0591,DC-15-Z10,2026-08-22T06:57:00,0.669,ROBOT
DC-15,DC-15-CAM-04,RBT-0592,DC-15-Z12,2026-08-10T07:02:00,0.861,ROBOT
DC-15,DC-15-CAM-01,RBT-0593,DC-15-Z11,2026-08-06T06:11:00,0.878,ROBOT
DC-16,DC-16-CAM-10,RBT-0595,DC-16-Z04,2026-08-01T07:20:00,0.632,ROBOT
DC-16,DC-16-CAM-11,RBT-0600,DC-16-Z02,2026-08-26T07:47:00,0.691,ROBOT
DC-16,DC-16-CAM-16,RBT-0604,DC-16-Z05,2026-08-31T07:56:00,0.832,ROBOT
DC-16,DC-16-CAM-25,RBT-0605,DC-16-Z12,2026-08-07T06:56:00,0.734,ROBOT
DC-16,DC-16-CAM-15,RBT-0606,DC-16-Z05,2026-08-11T07:10:00,0.717,ROBOT
DC-16,DC-16-CAM-27,RBT-0612,DC-16-Z11,2026-09-02T06:38:00,0.913,ROBOT
DC-16,DC-16-CAM-15,RBT-0615,DC-16-Z06,2026-08-23T07:48:00,0.645,ROBOT
DC-16,DC-16-CAM-03,RBT-0621,DC-16-Z10,2026-08-12T06:09:00,0.645,ROBOT
DC-16,DC-16-CAM-08,RBT-0626,DC-16-Z03,2026-09-01T06:46:00,0.934,ROBOT
DC-16,DC-16-CAM-14,RBT-0628,DC-16-Z11,2026-08-15T07:17:00,0.985,ROBOT
DC-17,DC-17-CAM-03,RBT-0635,DC-17-Z02,2026-08-26T07:13:00,0.665,ROBOT
DC-17,DC-17-CAM-25,RBT-0636,DC-17-Z10,2026-08-12T06:02:00,0.898,ROBOT
DC-17,DC-17-CAM-04,RBT-0638,DC-17-Z02,2026-08-02T06:06:00,0.658,ROBOT
DC-17,DC-17-CAM-02,RBT-0646,DC-17-Z03,2026-08-26T06:48:00,0.599,ROBOT
DC-17,DC-17-CAM-19,RBT-0648,DC-17-Z06,2026-08-17T06:21:00,0.684,ROBOT
DC-17,DC-17-CAM-23,RBT-0649,DC-17-Z04,2026-08-07T07:56:00,0.743,ROBOT
DC-17,DC-17-CAM-16,RBT-0650,DC-17-Z03,2026-08-09T07:13:00,0.806,ROBOT
DC-17,DC-17-CAM-27,RBT-0654,DC-17-Z10,2026-08-20T07:33:00,0.577,ROBOT
DC-17,DC-17-CAM-04,RBT-0658,DC-17-Z05,2026-09-02T07:50:00,0.74,ROBOT
DC-18,DC-18-CAM-19,RBT-0670,DC-18-Z03,2026-08-29T06:05:00,0.757,ROBOT
DC-18,DC-18-CAM-24,RBT-0672,DC-18-Z02,2026-08-25T07:11:00,0.773,ROBOT
DC-18,DC-18-CAM-07,RBT-0677,DC-18-Z04,2026-08-04T06:41:00,0.823,ROBOT
DC-18,DC-18-CAM-19,RBT-0679,DC-18-Z02,2026-09-02T07:58:00,0.68,ROBOT
DC-18,DC-18-CAM-19,RBT-0681,DC-18-Z02,2026-08-10T07:22:00,0.804,ROBOT
DC-18,DC-18-CAM-24,RBT-0684,DC-18-Z12,2026-08-05T07:15:00,0.741,ROBOT
DC-18,DC-18-CAM-10,RBT-0687,DC-18-Z02,2026-08-09T06:16:00,0.766,ROBOT
DC-18,DC-18-CAM-07,RBT-0690,DC-18-Z12,2026-08-22T07:17:00,0.783,ROBOT
DC-18,DC-18-CAM-05,RBT-0694,DC-18-Z05,2026-09-01T07:37:00,0.555,ROBOT
DC-18,DC-18-CAM-30,RBT-0696,DC-18-Z08,2026-08-03T06:36:00,0.788,ROBOT
DC-18,DC-18-CAM-20,RBT-0702,DC-18-Z10,2026-08-11T06:07:00,0.675,ROBOT
DC-18,DC-18-CAM-07,RBT-0703,DC-18-Z02,2026-08-11T06:09:00,0.556,ROBOT
DC-18,DC-18-CAM-22,RBT-0704,DC-18-Z02,2026-08-12T06:24:00,0.586,ROBOT
DC-18,DC-18-CAM-12,RBT-0705,DC-18-Z09,2026-08-21T06:38:00,0.692,ROBOT
DC-18,DC-18-CAM-06,RBT-0706,DC-18-Z10,2026-08-23T06:38:00,0.845,ROBOT
DC-18,DC-18-CAM-12,RBT-0708,DC-18-Z05,2026-08-14T06:20:00,0.893,ROBOT
DC-18,DC-18-CAM-09,RBT-0709,DC-18-Z11,2026-08-30T07:31:00,0.69,ROBOT
