sku,description,uom,temperature_class,lot_controlled,serial_controlled,hazmat
SKU-00046,Synthetic Product 00046,EA,AMBIENT,N,N,N
SKU-00047,Synthetic Product 00047,CASE,AMBIENT,Y,N,N
SKU-00048,Synthetic Product 00048,EA,AMBIENT,N,N,N
SKU-00049,Synthetic Product 00049,PALLET,AMBIENT,Y,Y,N
SKU-00050,Synthetic Product 00050,EA,AMBIENT,Y,N,N
SKU-00051,Synthetic Product 00051,EA,AMBIENT,N,N,N
SKU-00052,Synthetic Product 00052,CASE,AMBIENT,N,N,N
SKU-00053,Synthetic Product 00053,CASE,CHILLED,Y,N,N
SKU-00054,Synthetic Product 00054,EA,AMBIENT,Y,N,N
SKU-00055,Synthetic Product 00055,PALLET,AMBIENT,N,N,N
SKU-00056,Synthetic Product 00056,PALLET,AMBIENT,Y,N,N
SKU-00057,Synthetic Product 00057,CASE,AMBIENT,N,N,N
SKU-00058,Synthetic Product 00058,CASE,AMBIENT,N,N,N
SKU-00059,Synthetic Product 00059,EA,AMBIENT,Y,N,N
SKU-00060,Synthetic Product 00060,EA,CHILLED,Y,N,Y
SKU-00061,Synthetic Product 00061,PALLET,AMBIENT,Y,Y,N
SKU-00062,Synthetic Product 00062,PALLET,AMBIENT,Y,Y,N
SKU-00063,Synthetic Product 00063,CASE,AMBIENT,N,N,N
SKU-00064,Synthetic Product 00064,PALLET,AMBIENT,N,N,N
SKU-00065,Synthetic Product 00065,CASE,AMBIENT,Y,N,N
SKU-00066,Synthetic Product 00066,PALLET,AMBIENT,Y,N,N
SKU-00067,Synthetic Product 00067,EA,AMBIENT,Y,N,Y
SKU-00068,Synthetic Product 00068,CASE,AMBIENT,Y,N,N
SKU-00069,Synthetic Product 00069,PALLET,AMBIENT,Y,N,N
SKU-00070,Synthetic Product 00070,EA,AMBIENT,Y,N,N
SKU-00071,Synthetic Product 00071,CASE,AMBIENT,Y,N,N
SKU-00072,Synthetic Product 00072,PALLET,AMBIENT,N,N,N
SKU-00073,Synthetic Product 00073,EA,AMBIENT,Y,N,N
SKU-00074,Synthetic Product 00074,CASE,FROZEN,Y,N,N
SKU-00075,Synthetic Product 00075,EA,AMBIENT,Y,N,N
SKU-00076,Synthetic Product 00076,EA,AMBIENT,N,N,N
SKU-00077,Synthetic Product 00077,PALLET,FROZEN,Y,N,N
SKU-00078,Synthetic Product 00078,CASE,AMBIENT,N,N,N
SKU-00079,Synthetic Product 00079,CASE,AMBIENT,N,N,N
SKU-00080,Synthetic Product 00080,CASE,AMBIENT,N,N,N
SKU-00081,Synthetic Product 00081,PALLET,CHILLED,N,N,N
SKU-00082,Synthetic Product 00082,CASE,CHILLED,Y,N,N
SKU-00083,Synthetic Product 00083,EA,AMBIENT,Y,N,N
SKU-00084,Synthetic Product 00084,EA,AMBIENT,N,N,N
SKU-00085,Synthetic Product 00085,CASE,AMBIENT,Y,N,N
SKU-00086,Synthetic Product 00086,EA,AMBIENT,N,Y,N
SKU-00087,Synthetic Product 00087,CASE,AMBIENT,Y,N,N
SKU-00088,Synthetic Product 00088,PALLET,AMBIENT,N,N,N
SKU-00089,Synthetic Product 00089,PALLET,CHILLED,N,N,N
SKU-00090,Synthetic Product 00090,PALLET,FROZEN,Y,N,N
SKU-00091,Synthetic Product 00091,EA,AMBIENT,N,N,N
SKU-00092,Synthetic Product 00092,CASE,AMBIENT,Y,N,N
SKU-00093,Synthetic Product 00093,EA,CHILLED,Y,N,N
SKU-00094,Synthetic Product 00094,CASE,AMBIENT,Y,N,N
SKU-00095,Synthetic Product 00095,EA,AMBIENT,Y,N,N
SKU-00096,Synthetic Product 00096,PALLET,AMBIENT,Y,Y,N
SKU-00097,Synthetic Product 00097,EA,AMBIENT,N,N,N
SKU-00098,Synthetic Product 00098,PALLET,AMBIENT,N,N,N
SKU-00099,Synthetic Product 00099,CASE,AMBIENT,N,N,N
SKU-00100,Synthetic Product 00100,CASE,CHILLED,N,N,N
SKU-00101,Synthetic Product 00101,CASE,AMBIENT,Y,N,N
SKU-00102,Synthetic Product 00102,EA,CHILLED,N,N,N
SKU-00103,Synthetic Product 00103,PALLET,AMBIENT,Y,N,N
SKU-00104,Synthetic Product 00104,CASE,FROZEN,Y,Y,N
SKU-00105,Synthetic Product 00105,PALLET,CHILLED,N,Y,N
SKU-00106,Synthetic Product 00106,PALLET,AMBIENT,N,N,N
SKU-00107,Synthetic Product 00107,CASE,FROZEN,N,N,N
SKU-00108,Synthetic Product 00108,CASE,AMBIENT,Y,N,N
SKU-00109,Synthetic Product 00109,CASE,AMBIENT,N,N,Y
SKU-00110,Synthetic Product 00110,CASE,AMBIENT,N,Y,N
SKU-00111,Synthetic Product 00111,PALLET,AMBIENT,N,N,N
SKU-00112,Synthetic Product 00112,CASE,AMBIENT,Y,N,N
SKU-00113,Synthetic Product 00113,PALLET,AMBIENT,N,N,N
SKU-00114,Synthetic Product 00114,EA,AMBIENT,N,N,N
SKU-00115,Synthetic Product 00115,CASE,AMBIENT,Y,N,N
SKU-00116,Synthetic Product 00116,PALLET,AMBIENT,N,N,N
SKU-00117,Synthetic Product 00117,EA,AMBIENT,Y,Y,N
SKU-00118,Synthetic Product 00118,EA,CHILLED,Y,N,N
SKU-00119,Synthetic Product 00119,CASE,AMBIENT,Y,N,N
SKU-00120,Synthetic Product 00120,PALLET,AMBIENT,N,Y,N
SKU-00121,Synthetic Product 00121,EA,AMBIENT,Y,N,Y
SKU-00122,Synthetic Product 00122,CASE,CHILLED,N,N,N
SKU-00123,Synthetic Product 00123,CASE,AMBIENT,N,N,Y
SKU-00124,Synthetic Product 00124,PALLET,AMBIENT,Y,N,N
SKU-00125,Synthetic Product 00125,CASE,AMBIENT,Y,N,N
SKU-00126,Synthetic Product 00126,EA,AMBIENT,N,N,N
SKU-00127,Synthetic Product 00127,CASE,AMBIENT,N,N,N
SKU-00128,Synthetic Product 00128,EA,FROZEN,N,N,N
SKU-00129,Synthetic Product 00129,CASE,AMBIENT,Y,N,N
SKU-00130,Synthetic Product 00130,EA,AMBIENT,N,N,N
SKU-00131,Synthetic Product 00131,EA,AMBIENT,Y,N,N
SKU-00132,Synthetic Product 00132,PALLET,AMBIENT,Y,N,N
SKU-00133,Synthetic Product 00133,EA,AMBIENT,Y,N,N
SKU-00134,Synthetic Product 00134,CASE,AMBIENT,N,N,N
SKU-00135,Synthetic Product 00135,PALLET,AMBIENT,N,N,Y
SKU-00136,Synthetic Product 00136,EA,AMBIENT,Y,N,N
SKU-00137,Synthetic Product 00137,EA,AMBIENT,N,N,N
SKU-00138,Synthetic Product 00138,CASE,FROZEN,N,N,N
SKU-00139,Synthetic Product 00139,CASE,AMBIENT,N,N,N
SKU-00140,Synthetic Product 00140,PALLET,AMBIENT,Y,N,Y
SKU-00141,Synthetic Product 00141,PALLET,FROZEN,Y,N,N
SKU-00142,Synthetic Product 00142,EA,AMBIENT,N,N,N
SKU-00143,Synthetic Product 00143,EA,AMBIENT,N,N,Y
SKU-00144,Synthetic Product 00144,EA,AMBIENT,N,N,N
SKU-00145,Synthetic Product 00145,PALLET,AMBIENT,Y,N,N
SKU-00146,Synthetic Product 00146,EA,FROZEN,Y,N,N
SKU-00147,Synthetic Product 00147,CASE,AMBIENT,Y,Y,N
SKU-00148,Synthetic Product 00148,PALLET,AMBIENT,N,N,N
SKU-00149,Synthetic Product 00149,PALLET,AMBIENT,Y,N,N
SKU-00150,Synthetic Product 00150,PALLET,AMBIENT,N,N,N
SKU-00151,Synthetic Product 00151,CASE,AMBIENT,N,N,N
SKU-00152,Synthetic Product 00152,EA,CHILLED,Y,N,N
SKU-00153,Synthetic Product 00153,EA,AMBIENT,Y,N,N
SKU-00154,Synthetic Product 00154,CASE,CHILLED,Y,N,N
SKU-00155,Synthetic Product 00155,EA,CHILLED,N,N,N
SKU-00156,Synthetic Product 00156,PALLET,AMBIENT,Y,N,Y
SKU-00157,Synthetic Product 00157,CASE,FROZEN,Y,N,N
SKU-00158,Synthetic Product 00158,PALLET,AMBIENT,Y,N,N
SKU-00159,Synthetic Product 00159,EA,AMBIENT,Y,N,N
SKU-00160,Synthetic Product 00160,PALLET,AMBIENT,Y,N,N
SKU-00161,Synthetic Product 00161,CASE,AMBIENT,Y,N,N
SKU-00162,Synthetic Product 00162,EA,AMBIENT,N,N,N
SKU-00163,Synthetic Product 00163,CASE,CHILLED,Y,N,N
SKU-00164,Synthetic Product 00164,CASE,AMBIENT,Y,N,N
SKU-00165,Synthetic Product 00165,EA,AMBIENT,N,N,N
SKU-00166,Synthetic Product 00166,CASE,AMBIENT,N,N,N
SKU-00167,Synthetic Product 00167,CASE,AMBIENT,N,N,N
SKU-00168,Synthetic Product 00168,EA,CHILLED,N,N,N
SKU-00169,Synthetic Product 00169,EA,AMBIENT,N,N,N
SKU-00170,Synthetic Product 00170,EA,AMBIENT,Y,Y,N
SKU-00171,Synthetic Product 00171,PALLET,AMBIENT,Y,N,N
SKU-00172,Synthetic Product 00172,PALLET,AMBIENT,N,N,N
SKU-00173,Synthetic Product 00173,EA,CHILLED,Y,N,N
SKU-00174,Synthetic Product 00174,CASE,AMBIENT,Y,N,N
SKU-00175,Synthetic Product 00175,EA,AMBIENT,Y,N,N
SKU-00176,Synthetic Product 00176,PALLET,AMBIENT,Y,N,N
SKU-00177,Synthetic Product 00177,EA,AMBIENT,Y,N,Y
SKU-00178,Synthetic Product 00178,PALLET,AMBIENT,Y,N,N
SKU-00179,Synthetic Product 00179,EA,AMBIENT,Y,N,N
SKU-00180,Synthetic Product 00180,CASE,CHILLED,N,N,N
SKU-00181,Synthetic Product 00181,CASE,AMBIENT,Y,N,N
SKU-00182,Synthetic Product 00182,EA,AMBIENT,Y,N,N
SKU-00183,Synthetic Product 00183,EA,FROZEN,N,N,N
SKU-00184,Synthetic Product 00184,EA,AMBIENT,Y,N,N
SKU-00185,Synthetic Product 00185,PALLET,CHILLED,N,N,N
SKU-00186,Synthetic Product 00186,EA,AMBIENT,N,N,N
SKU-00187,Synthetic Product 00187,PALLET,AMBIENT,Y,N,N
SKU-00188,Synthetic Product 00188,CASE,AMBIENT,N,N,N
SKU-00189,Synthetic Product 00189,EA,AMBIENT,Y,N,N
SKU-00190,Synthetic Product 00190,PALLET,AMBIENT,Y,N,Y
SKU-00191,Synthetic Product 00191,CASE,CHILLED,N,N,N
SKU-00192,Synthetic Product 00192,CASE,AMBIENT,Y,N,N
SKU-00193,Synthetic Product 00193,CASE,AMBIENT,Y,N,N
SKU-00194,Synthetic Product 00194,PALLET,AMBIENT,Y,N,N
SKU-00195,Synthetic Product 00195,CASE,AMBIENT,Y,N,N
SKU-00196,Synthetic Product 00196,EA,AMBIENT,Y,N,N
SKU-00197,Synthetic Product 00197,CASE,AMBIENT,N,N,N
SKU-00198,Synthetic Product 00198,CASE,AMBIENT,N,N,N
SKU-00199,Synthetic Product 00199,PALLET,AMBIENT,Y,N,N
SKU-00200,Synthetic Product 00200,PALLET,AMBIENT,N,N,N
SKU-00201,Synthetic Product 00201,EA,AMBIENT,N,N,N
SKU-00202,Synthetic Product 00202,PALLET,AMBIENT,Y,N,Y
SKU-00203,Synthetic Product 00203,CASE,AMBIENT,Y,N,N
SKU-00204,Synthetic Product 00204,PALLET,FROZEN,N,N,N
SKU-00205,Synthetic Product 00205,CASE,AMBIENT,Y,N,N
SKU-00206,Synthetic Product 00206,CASE,AMBIENT,N,N,N
SKU-00207,Synthetic Product 00207,EA,AMBIENT,N,N,N
SKU-00208,Synthetic Product 00208,EA,FROZEN,N,N,N
SKU-00209,Synthetic Product 00209,PALLET,AMBIENT,Y,N,N
SKU-00210,Synthetic Product 00210,PALLET,FROZEN,Y,N,N
SKU-00211,Synthetic Product 00211,PALLET,AMBIENT,Y,N,Y
SKU-00212,Synthetic Product 00212,CASE,CHILLED,N,N,N
SKU-00213,Synthetic Product 00213,CASE,AMBIENT,N,Y,N
SKU-00214,Synthetic Product 00214,PALLET,AMBIENT,N,N,N
SKU-00215,Synthetic Product 00215,EA,AMBIENT,Y,N,N
SKU-00216,Synthetic Product 00216,CASE,CHILLED,Y,N,N
SKU-00217,Synthetic Product 00217,EA,AMBIENT,Y,N,N
SKU-00218,Synthetic Product 00218,CASE,AMBIENT,Y,N,N
SKU-00219,Synthetic Product 00219,CASE,AMBIENT,Y,N,N
SKU-00220,Synthetic Product 00220,EA,AMBIENT,N,N,N
SKU-00221,Synthetic Product 00221,PALLET,AMBIENT,N,N,N
SKU-00222,Synthetic Product 00222,CASE,CHILLED,N,N,N
SKU-00223,Synthetic Product 00223,PALLET,AMBIENT,Y,N,N
SKU-00224,Synthetic Product 00224,CASE,FROZEN,Y,N,N
SKU-00225,Synthetic Product 00225,CASE,AMBIENT,N,N,N
SKU-00226,Synthetic Product 00226,PALLET,AMBIENT,N,Y,N
SKU-00227,Synthetic Product 00227,EA,AMBIENT,Y,N,N
SKU-00228,Synthetic Product 00228,EA,AMBIENT,Y,N,N
SKU-00229,Synthetic Product 00229,EA,CHILLED,Y,N,N
SKU-00230,Synthetic Product 00230,EA,CHILLED,Y,N,N
SKU-00231,Synthetic Product 00231,EA,AMBIENT,Y,N,N
SKU-00232,Synthetic Product 00232,CASE,AMBIENT,N,N,N
SKU-00233,Synthetic Product 00233,EA,AMBIENT,N,N,N
SKU-00234,Synthetic Product 00234,PALLET,AMBIENT,Y,N,N
SKU-00235,Synthetic Product 00235,EA,AMBIENT,Y,N,N
SKU-00236,Synthetic Product 00236,EA,AMBIENT,N,N,N
SKU-00237,Synthetic Product 00237,EA,CHILLED,Y,N,N
SKU-00238,Synthetic Product 00238,EA,AMBIENT,Y,N,N
SKU-00239,Synthetic Product 00239,EA,AMBIENT,Y,N,N
SKU-00240,Synthetic Product 00240,PALLET,AMBIENT,N,N,N
SKU-00241,Synthetic Product 00241,PALLET,AMBIENT,Y,N,N
SKU-00242,Synthetic Product 00242,CASE,CHILLED,Y,Y,N
SKU-00243,Synthetic Product 00243,EA,AMBIENT,N,N,N
SKU-00244,Synthetic Product 00244,PALLET,AMBIENT,N,N,N
SKU-00245,Synthetic Product 00245,CASE,CHILLED,Y,N,N
SKU-00246,Synthetic Product 00246,PALLET,AMBIENT,N,N,N
SKU-00247,Synthetic Product 00247,PALLET,AMBIENT,N,N,N
SKU-00248,Synthetic Product 00248,EA,AMBIENT,N,Y,N
SKU-00249,Synthetic Product 00249,EA,AMBIENT,Y,N,N
SKU-00250,Synthetic Product 00250,CASE,AMBIENT,N,N,N
SKU-00251,Synthetic Product 00251,EA,FROZEN,Y,N,N
SKU-00252,Synthetic Product 00252,CASE,AMBIENT,Y,N,N
SKU-00253,Synthetic Product 00253,EA,AMBIENT,N,N,N
SKU-00254,Synthetic Product 00254,CASE,AMBIENT,N,N,N
SKU-00255,Synthetic Product 00255,PALLET,FROZEN,N,N,N
SKU-00256,Synthetic Product 00256,EA,AMBIENT,Y,N,Y
SKU-00257,Synthetic Product 00257,CASE,AMBIENT,Y,N,N
SKU-00258,Synthetic Product 00258,PALLET,AMBIENT,Y,N,N
SKU-00259,Synthetic Product 00259,PALLET,AMBIENT,N,Y,N
SKU-00260,Synthetic Product 00260,EA,AMBIENT,Y,N,N
SKU-00261,Synthetic Product 00261,CASE,CHILLED,N,N,N
SKU-00262,Synthetic Product 00262,CASE,AMBIENT,N,N,Y
SKU-00263,Synthetic Product 00263,EA,AMBIENT,N,N,N
SKU-00264,Synthetic Product 00264,PALLET,FROZEN,N,N,N
SKU-00265,Synthetic Product 00265,EA,AMBIENT,Y,N,N
SKU-00266,Synthetic Product 00266,PALLET,CHILLED,Y,N,N
SKU-00267,Synthetic Product 00267,EA,AMBIENT,Y,N,N
SKU-00268,Synthetic Product 00268,CASE,AMBIENT,Y,N,N
SKU-00269,Synthetic Product 00269,CASE,AMBIENT,N,N,Y
SKU-00270,Synthetic Product 00270,EA,CHILLED,Y,N,N
SKU-00271,Synthetic Product 00271,EA,AMBIENT,N,N,N
SKU-00272,Synthetic Product 00272,CASE,AMBIENT,Y,N,N
SKU-00273,Synthetic Product 00273,CASE,AMBIENT,Y,N,N
SKU-00274,Synthetic Product 00274,PALLET,AMBIENT,N,N,N
SKU-00275,Synthetic Product 00275,EA,AMBIENT,Y,N,N
SKU-00276,Synthetic Product 00276,EA,AMBIENT,Y,N,N
SKU-00277,Synthetic Product 00277,CASE,AMBIENT,N,N,N
SKU-00278,Synthetic Product 00278,PALLET,AMBIENT,Y,N,N
SKU-00279,Synthetic Product 00279,EA,AMBIENT,N,N,N
SKU-00280,Synthetic Product 00280,CASE,AMBIENT,N,N,N
SKU-00281,Synthetic Product 00281,CASE,AMBIENT,Y,N,N
SKU-00282,Synthetic Product 00282,CASE,AMBIENT,N,N,N
SKU-00283,Synthetic Product 00283,CASE,AMBIENT,Y,N,N
SKU-00284,Synthetic Product 00284,PALLET,AMBIENT,Y,N,N
SKU-00285,Synthetic Product 00285,PALLET,AMBIENT,Y,N,N
SKU-00286,Synthetic Product 00286,PALLET,AMBIENT,Y,N,N
SKU-00287,Synthetic Product 00287,CASE,AMBIENT,Y,N,N
SKU-00288,Synthetic Product 00288,PALLET,AMBIENT,Y,N,N
SKU-00289,Synthetic Product 00289,CASE,AMBIENT,N,N,N
SKU-00290,Synthetic Product 00290,EA,AMBIENT,N,N,N
SKU-00291,Synthetic Product 00291,EA,CHILLED,Y,N,N
SKU-00292,Synthetic Product 00292,CASE,AMBIENT,N,N,N
SKU-00293,Synthetic Product 00293,PALLET,AMBIENT,N,N,N
SKU-00294,Synthetic Product 00294,CASE,AMBIENT,N,N,N
SKU-00295,Synthetic Product 00295,EA,AMBIENT,N,N,N
SKU-00296,Synthetic Product 00296,CASE,FROZEN,N,Y,N
SKU-00297,Synthetic Product 00297,EA,CHILLED,N,N,N
SKU-00298,Synthetic Product 00298,CASE,AMBIENT,Y,N,N
SKU-00299,Synthetic Product 00299,EA,CHILLED,Y,N,N
SKU-00300,Synthetic Product 00300,CASE,AMBIENT,N,N,N
SKU-00301,Synthetic Product 00301,PALLET,AMBIENT,N,N,N
SKU-00302,Synthetic Product 00302,EA,CHILLED,Y,N,N
SKU-00303,Synthetic Product 00303,EA,AMBIENT,N,N,N
SKU-00304,Synthetic Product 00304,EA,AMBIENT,N,Y,N
SKU-00305,Synthetic Product 00305,PALLET,CHILLED,N,N,N
SKU-00306,Synthetic Product 00306,PALLET,AMBIENT,Y,N,N
SKU-00307,Synthetic Product 00307,CASE,AMBIENT,N,N,N
SKU-00308,Synthetic Product 00308,CASE,AMBIENT,Y,N,N
SKU-00309,Synthetic Product 00309,EA,AMBIENT,N,Y,N
SKU-00310,Synthetic Product 00310,PALLET,AMBIENT,N,N,N
SKU-00311,Synthetic Product 00311,PALLET,AMBIENT,N,N,Y
SKU-00312,Synthetic Product 00312,CASE,FROZEN,Y,N,N
SKU-00313,Synthetic Product 00313,CASE,AMBIENT,Y,N,N
SKU-00314,Synthetic Product 00314,EA,AMBIENT,Y,N,N
SKU-00315,Synthetic Product 00315,EA,AMBIENT,N,N,N
SKU-00316,Synthetic Product 00316,EA,AMBIENT,Y,N,Y
SKU-00317,Synthetic Product 00317,CASE,AMBIENT,Y,N,N
SKU-00318,Synthetic Product 00318,EA,FROZEN,N,N,N
SKU-00319,Synthetic Product 00319,EA,FROZEN,Y,N,N
SKU-00320,Synthetic Product 00320,CASE,FROZEN,Y,N,N
SKU-00321,Synthetic Product 00321,PALLET,AMBIENT,Y,N,N
SKU-00322,Synthetic Product 00322,CASE,AMBIENT,Y,N,N
SKU-00323,Synthetic Product 00323,PALLET,AMBIENT,Y,N,N
SKU-00324,Synthetic Product 00324,CASE,AMBIENT,Y,N,N
SKU-00325,Synthetic Product 00325,EA,AMBIENT,Y,N,N
SKU-00326,Synthetic Product 00326,EA,AMBIENT,Y,N,N
SKU-00327,Synthetic Product 00327,EA,AMBIENT,N,N,N
SKU-00328,Synthetic Product 00328,PALLET,AMBIENT,Y,N,N
SKU-00329,Synthetic Product 00329,PALLET,AMBIENT,Y,N,N
SKU-00330,Synthetic Product 00330,EA,AMBIENT,N,N,N
SKU-00331,Synthetic Product 00331,PALLET,AMBIENT,Y,N,N
SKU-00332,Synthetic Product 00332,PALLET,AMBIENT,Y,Y,N
SKU-00333,Synthetic Product 00333,CASE,AMBIENT,Y,N,N
SKU-00334,Synthetic Product 00334,PALLET,AMBIENT,Y,N,N
SKU-00335,Synthetic Product 00335,PALLET,AMBIENT,N,N,N
SKU-00336,Synthetic Product 00336,EA,AMBIENT,N,N,N
SKU-00337,Synthetic Product 00337,CASE,AMBIENT,N,N,N
SKU-00338,Synthetic Product 00338,EA,CHILLED,Y,N,N
SKU-00339,Synthetic Product 00339,CASE,AMBIENT,Y,N,N
SKU-00340,Synthetic Product 00340,PALLET,AMBIENT,N,N,N
SKU-00341,Synthetic Product 00341,EA,AMBIENT,Y,N,N
SKU-00342,Synthetic Product 00342,PALLET,AMBIENT,Y,N,N
SKU-00343,Synthetic Product 00343,EA,AMBIENT,N,N,N
SKU-00344,Synthetic Product 00344,EA,FROZEN,N,N,N
SKU-00345,Synthetic Product 00345,EA,AMBIENT,Y,N,N
SKU-00346,Synthetic Product 00346,PALLET,CHILLED,Y,N,N
SKU-00347,Synthetic Product 00347,PALLET,AMBIENT,N,N,N
SKU-00348,Synthetic Product 00348,EA,AMBIENT,N,Y,Y
SKU-00349,Synthetic Product 00349,PALLET,AMBIENT,N,N,N
SKU-00350,Synthetic Product 00350,EA,AMBIENT,N,N,N
SKU-00351,Synthetic Product 00351,PALLET,AMBIENT,Y,N,Y
SKU-00352,Synthetic Product 00352,EA,AMBIENT,Y,N,N
SKU-00353,Synthetic Product 00353,CASE,FROZEN,N,N,N
SKU-00354,Synthetic Product 00354,EA,AMBIENT,N,N,Y
SKU-00355,Synthetic Product 00355,EA,AMBIENT,N,N,N
SKU-00356,Synthetic Product 00356,EA,AMBIENT,N,N,N
SKU-00357,Synthetic Product 00357,CASE,AMBIENT,N,N,N
SKU-00358,Synthetic Product 00358,CASE,CHILLED,Y,Y,N
SKU-00359,Synthetic Product 00359,EA,AMBIENT,Y,N,N
SKU-00360,Synthetic Product 00360,CASE,AMBIENT,Y,N,N
SKU-00361,Synthetic Product 00361,CASE,AMBIENT,Y,N,N
SKU-00362,Synthetic Product 00362,CASE,AMBIENT,N,N,N
SKU-00363,Synthetic Product 00363,EA,AMBIENT,Y,N,N
SKU-00364,Synthetic Product 00364,PALLET,AMBIENT,N,N,N
SKU-00365,Synthetic Product 00365,PALLET,AMBIENT,N,N,N
SKU-00366,Synthetic Product 00366,CASE,AMBIENT,N,N,N
SKU-00367,Synthetic Product 00367,EA,AMBIENT,N,N,N
SKU-00368,Synthetic Product 00368,PALLET,AMBIENT,Y,N,N
SKU-00369,Synthetic Product 00369,CASE,FROZEN,Y,N,N
SKU-00370,Synthetic Product 00370,PALLET,AMBIENT,N,N,N
SKU-00371,Synthetic Product 00371,EA,AMBIENT,Y,N,N
SKU-00372,Synthetic Product 00372,PALLET,FROZEN,N,N,N
SKU-00373,Synthetic Product 00373,EA,AMBIENT,N,N,N
SKU-00374,Synthetic Product 00374,CASE,AMBIENT,N,N,N
SKU-00375,Synthetic Product 00375,EA,AMBIENT,Y,Y,N
SKU-00376,Synthetic Product 00376,EA,AMBIENT,Y,N,N
SKU-00377,Synthetic Product 00377,PALLET,AMBIENT,Y,N,N
SKU-00378,Synthetic Product 00378,PALLET,FROZEN,Y,Y,N
SKU-00379,Synthetic Product 00379,EA,AMBIENT,Y,N,Y
SKU-00380,Synthetic Product 00380,PALLET,AMBIENT,N,N,N
SKU-00381,Synthetic Product 00381,EA,FROZEN,Y,N,N
SKU-00382,Synthetic Product 00382,EA,AMBIENT,N,N,N
SKU-00383,Synthetic Product 00383,PALLET,AMBIENT,Y,N,N
SKU-00384,Synthetic Product 00384,PALLET,AMBIENT,Y,N,N
SKU-00385,Synthetic Product 00385,EA,AMBIENT,Y,Y,N
SKU-00386,Synthetic Product 00386,EA,AMBIENT,Y,N,N
SKU-00387,Synthetic Product 00387,CASE,FROZEN,Y,N,Y
SKU-00388,Synthetic Product 00388,PALLET,CHILLED,N,N,N
SKU-00389,Synthetic Product 00389,PALLET,AMBIENT,Y,N,N
SKU-00390,Synthetic Product 00390,CASE,AMBIENT,Y,N,N
SKU-00391,Synthetic Product 00391,PALLET,AMBIENT,Y,N,N
SKU-00392,Synthetic Product 00392,CASE,AMBIENT,N,Y,N
SKU-00393,Synthetic Product 00393,PALLET,AMBIENT,Y,N,N
