robot_id,warehouse_id,soc_pct,soh_pct,preferred_charger,charging_eligible,next_pm_days
RBT-0141,DC-04,95,91,DC-04-CHARGER-08,Y,7
RBT-0142,DC-04,63,72,DC-04-CHARGER-04,Y,3
RBT-0143,DC-04,49,74,DC-04-CHARGER-06,Y,41
RBT-0144,DC-04,15,92,DC-04-CHARGER-07,Y,62
RBT-0145,DC-04,86,75,DC-04-CHARGER-06,Y,-2
RBT-0146,DC-04,57,72,DC-04-CHARGER-01,Y,58
RBT-0147,DC-04,67,89,DC-04-CHARGER-04,Y,114
RBT-0148,DC-04,73,94,DC-04-CHARGER-08,Y,1
RBT-0149,DC-04,57,71,DC-04-CHARGER-08,Y,64
RBT-0150,DC-04,44,77,DC-04-CHARGER-08,N,107
RBT-0151,DC-04,31,98,DC-04-CHARGER-01,Y,-9
RBT-0152,DC-04,90,90,DC-04-CHARGER-01,Y,84
RBT-0153,DC-04,72,76,DC-04-CHARGER-06,Y,49
RBT-0154,DC-04,12,98,DC-04-CHARGER-04,Y,33
RBT-0155,DC-04,49,69,DC-04-CHARGER-08,Y,103
RBT-0156,DC-04,31,85,DC-04-CHARGER-05,Y,64
RBT-0157,DC-04,81,75,DC-04-CHARGER-02,Y,98
RBT-0158,DC-04,79,75,DC-04-CHARGER-05,Y,24
RBT-0159,DC-04,83,89,DC-04-CHARGER-05,Y,27
RBT-0160,DC-04,49,71,DC-04-CHARGER-01,Y,16
RBT-0161,DC-04,100,84,DC-04-CHARGER-05,Y,2
RBT-0162,DC-04,63,69,DC-04-CHARGER-05,Y,18
RBT-0163,DC-04,29,89,DC-04-CHARGER-05,N,16
RBT-0164,DC-04,71,90,DC-04-CHARGER-01,Y,47
RBT-0165,DC-04,36,69,DC-04-CHARGER-01,Y,84
RBT-0166,DC-04,85,72,DC-04-CHARGER-06,Y,91
RBT-0167,DC-04,9,68,DC-04-CHARGER-03,Y,80
RBT-0168,DC-04,55,78,DC-04-CHARGER-02,Y,81
RBT-0169,DC-04,19,68,DC-04-CHARGER-08,Y,33
RBT-0170,DC-04,57,84,DC-04-CHARGER-05,Y,62
RBT-0171,DC-05,97,87,DC-05-CHARGER-07,Y,27
RBT-0172,DC-05,78,74,DC-05-CHARGER-03,Y,92
RBT-0173,DC-05,84,89,DC-05-CHARGER-08,Y,119
RBT-0174,DC-05,51,70,DC-05-CHARGER-06,N,86
RBT-0175,DC-05,26,90,DC-05-CHARGER-07,Y,91
RBT-0176,DC-05,30,83,DC-05-CHARGER-04,Y,66
RBT-0177,DC-05,93,99,DC-05-CHARGER-07,Y,52
RBT-0178,DC-05,83,83,DC-05-CHARGER-08,N,-12
RBT-0179,DC-05,42,89,DC-05-CHARGER-05,Y,89
RBT-0180,DC-05,75,84,DC-05-CHARGER-08,Y,23
RBT-0181,DC-05,74,97,DC-05-CHARGER-07,Y,54
RBT-0182,DC-05,58,91,DC-05-CHARGER-03,Y,116
RBT-0183,DC-05,35,93,DC-05-CHARGER-06,Y,5
RBT-0184,DC-05,54,98,DC-05-CHARGER-06,Y,44
RBT-0185,DC-05,55,98,DC-05-CHARGER-07,Y,-10
RBT-0186,DC-05,95,81,DC-05-CHARGER-05,Y,91
RBT-0187,DC-05,13,90,DC-05-CHARGER-04,Y,40
RBT-0188,DC-05,80,92,DC-05-CHARGER-04,Y,69
RBT-0189,DC-05,74,76,DC-05-CHARGER-01,Y,91
RBT-0190,DC-05,9,84,DC-05-CHARGER-07,Y,115
RBT-0191,DC-05,66,81,DC-05-CHARGER-08,Y,100
RBT-0192,DC-05,91,70,DC-05-CHARGER-03,N,-5
RBT-0193,DC-05,70,83,DC-05-CHARGER-01,Y,75
RBT-0194,DC-05,50,93,DC-05-CHARGER-01,Y,111
RBT-0195,DC-05,80,77,DC-05-CHARGER-06,Y,33
RBT-0196,DC-05,53,83,DC-05-CHARGER-04,Y,60
RBT-0197,DC-05,77,70,DC-05-CHARGER-01,Y,51
RBT-0198,DC-05,48,75,DC-05-CHARGER-07,Y,34
RBT-0199,DC-05,64,78,DC-05-CHARGER-08,Y,68
RBT-0200,DC-05,82,71,DC-05-CHARGER-03,Y,5
RBT-0201,DC-06,16,85,DC-06-CHARGER-08,Y,12
RBT-0202,DC-06,94,85,DC-06-CHARGER-05,Y,72
RBT-0203,DC-06,87,89,DC-06-CHARGER-08,Y,54
RBT-0204,DC-06,27,71,DC-06-CHARGER-01,Y,17
RBT-0205,DC-06,34,79,DC-06-CHARGER-07,Y,108
RBT-0206,DC-06,96,92,DC-06-CHARGER-08,Y,-10
RBT-0207,DC-06,13,74,DC-06-CHARGER-06,Y,86
RBT-0208,DC-06,86,93,DC-06-CHARGER-03,N,69
RBT-0209,DC-06,63,68,DC-06-CHARGER-07,Y,108
RBT-0210,DC-06,12,98,DC-06-CHARGER-04,Y,22
RBT-0211,DC-06,46,100,DC-06-CHARGER-04,Y,18
RBT-0212,DC-06,45,79,DC-06-CHARGER-01,Y,67
RBT-0213,DC-06,27,76,DC-06-CHARGER-07,Y,4
RBT-0214,DC-06,48,95,DC-06-CHARGER-03,Y,26
RBT-0215,DC-06,29,77,DC-06-CHARGER-05,Y,63
RBT-0216,DC-06,9,93,DC-06-CHARGER-05,Y,73
RBT-0217,DC-06,61,91,DC-06-CHARGER-03,Y,115
RBT-0218,DC-06,9,71,DC-06-CHARGER-06,Y,-10
RBT-0219,DC-06,84,70,DC-06-CHARGER-02,Y,-12
RBT-0220,DC-06,34,70,DC-06-CHARGER-06,Y,51
RBT-0221,DC-06,61,77,DC-06-CHARGER-07,Y,30
RBT-0222,DC-06,14,77,DC-06-CHARGER-04,Y,-6
RBT-0223,DC-06,39,83,DC-06-CHARGER-05,Y,63
RBT-0224,DC-06,12,87,DC-06-CHARGER-02,Y,47
RBT-0225,DC-06,87,74,DC-06-CHARGER-02,Y,36
RBT-0226,DC-06,77,91,DC-06-CHARGER-02,Y,17
RBT-0227,DC-06,45,69,DC-06-CHARGER-02,Y,89
RBT-0228,DC-06,52,75,DC-06-CHARGER-03,Y,11
RBT-0229,DC-06,58,94,DC-06-CHARGER-02,Y,86
RBT-0230,DC-06,44,72,DC-06-CHARGER-01,Y,-10
RBT-0231,DC-06,69,71,DC-06-CHARGER-04,Y,9
RBT-0232,DC-06,56,76,DC-06-CHARGER-05,Y,-15
RBT-0233,DC-06,55,90,DC-06-CHARGER-02,Y,69
RBT-0234,DC-06,80,72,DC-06-CHARGER-06,Y,100
RBT-0235,DC-06,29,87,DC-06-CHARGER-04,Y,10
RBT-0236,DC-06,50,79,DC-06-CHARGER-03,Y,75
RBT-0237,DC-06,76,72,DC-06-CHARGER-06,N,118
RBT-0238,DC-06,68,97,DC-06-CHARGER-07,Y,38
RBT-0239,DC-06,80,86,DC-06-CHARGER-05,Y,30
RBT-0240,DC-06,44,78,DC-06-CHARGER-08,Y,42
RBT-0241,DC-06,9,83,DC-06-CHARGER-04,Y,53
RBT-0242,DC-06,61,73,DC-06-CHARGER-02,Y,33
RBT-0243,DC-06,66,68,DC-06-CHARGER-06,Y,72
RBT-0244,DC-06,65,100,DC-06-CHARGER-03,Y,-4
RBT-0245,DC-07,62,90,DC-07-CHARGER-06,Y,43
RBT-0246,DC-07,87,71,DC-07-CHARGER-08,Y,93
RBT-0247,DC-07,13,97,DC-07-CHARGER-07,Y,36
RBT-0248,DC-07,100,87,DC-07-CHARGER-07,Y,63
RBT-0249,DC-07,81,91,DC-07-CHARGER-05,Y,114
RBT-0250,DC-07,60,69,DC-07-CHARGER-02,Y,94
RBT-0251,DC-07,73,71,DC-07-CHARGER-05,Y,16
RBT-0252,DC-07,26,87,DC-07-CHARGER-06,Y,-15
RBT-0253,DC-07,13,73,DC-07-CHARGER-04,Y,62
RBT-0254,DC-07,48,72,DC-07-CHARGER-08,Y,117
RBT-0255,DC-07,84,69,DC-07-CHARGER-02,Y,0
RBT-0256,DC-07,46,100,DC-07-CHARGER-04,Y,18
RBT-0257,DC-07,13,85,DC-07-CHARGER-04,Y,39
RBT-0258,DC-07,84,94,DC-07-CHARGER-02,Y,26
RBT-0259,DC-07,43,86,DC-07-CHARGER-01,Y,6
RBT-0260,DC-07,16,80,DC-07-CHARGER-05,Y,32
RBT-0261,DC-07,81,97,DC-07-CHARGER-04,Y,57
RBT-0262,DC-07,54,95,DC-07-CHARGER-07,Y,83
RBT-0263,DC-07,30,78,DC-07-CHARGER-04,Y,35
RBT-0264,DC-07,75,68,DC-07-CHARGER-02,Y,116
RBT-0265,DC-07,44,94,DC-07-CHARGER-02,Y,78
RBT-0266,DC-07,24,72,DC-07-CHARGER-01,Y,26
RBT-0267,DC-07,89,93,DC-07-CHARGER-08,Y,88
RBT-0268,DC-07,92,88,DC-07-CHARGER-04,Y,69
RBT-0269,DC-07,57,80,DC-07-CHARGER-06,Y,119
RBT-0270,DC-07,9,78,DC-07-CHARGER-07,Y,87
RBT-0271,DC-07,89,69,DC-07-CHARGER-08,Y,59
RBT-0272,DC-07,22,75,DC-07-CHARGER-08,Y,-12
RBT-0273,DC-07,78,79,DC-07-CHARGER-01,Y,115
RBT-0274,DC-07,76,84,DC-07-CHARGER-02,Y,84
RBT-0275,DC-07,73,74,DC-07-CHARGER-01,N,61
RBT-0276,DC-07,99,75,DC-07-CHARGER-01,Y,62
RBT-0277,DC-07,66,97,DC-07-CHARGER-07,Y,8
RBT-0278,DC-07,36,89,DC-07-CHARGER-02,Y,111
RBT-0279,DC-07,10,83,DC-07-CHARGER-07,Y,92
RBT-0280,DC-07,85,89,DC-07-CHARGER-01,N,43
RBT-0281,DC-07,32,85,DC-07-CHARGER-06,Y,32
RBT-0282,DC-07,21,94,DC-07-CHARGER-06,Y,100
RBT-0283,DC-07,53,74,DC-07-CHARGER-08,Y,5
RBT-0284,DC-07,57,80,DC-07-CHARGER-03,Y,80
RBT-0285,DC-07,38,76,DC-07-CHARGER-05,N,7
RBT-0286,DC-07,43,81,DC-07-CHARGER-06,Y,48
RBT-0287,DC-07,84,96,DC-07-CHARGER-08,Y,65
RBT-0288,DC-07,65,98,DC-07-CHARGER-03,Y,-6
RBT-0289,DC-07,75,87,DC-07-CHARGER-04,Y,62
RBT-0290,DC-07,62,89,DC-07-CHARGER-03,Y,106
RBT-0291,DC-08,26,81,DC-08-CHARGER-04,Y,14
RBT-0292,DC-08,43,94,DC-08-CHARGER-07,Y,30
RBT-0293,DC-08,16,79,DC-08-CHARGER-05,Y,61
RBT-0294,DC-08,76,89,DC-08-CHARGER-06,Y,108
RBT-0295,DC-08,98,85,DC-08-CHARGER-06,Y,111
RBT-0296,DC-08,73,88,DC-08-CHARGER-07,Y,120
RBT-0297,DC-08,48,94,DC-08-CHARGER-01,Y,19
RBT-0298,DC-08,43,78,DC-08-CHARGER-08,Y,102
RBT-0299,DC-08,97,99,DC-08-CHARGER-02,Y,-6
RBT-0300,DC-08,90,93,DC-08-CHARGER-08,Y,82
RBT-0301,DC-08,67,87,DC-08-CHARGER-04,Y,84
RBT-0302,DC-08,61,68,DC-08-CHARGER-05,Y,39
RBT-0303,DC-08,50,83,DC-08-CHARGER-07,Y,-4
RBT-0304,DC-08,59,97,DC-08-CHARGER-07,Y,84
RBT-0305,DC-08,80,77,DC-08-CHARGER-07,N,3
RBT-0306,DC-08,22,98,DC-08-CHARGER-04,Y,11
RBT-0307,DC-08,20,98,DC-08-CHARGER-06,Y,70
RBT-0308,DC-08,35,73,DC-08-CHARGER-08,Y,24
RBT-0309,DC-08,43,89,DC-08-CHARGER-08,N,55
RBT-0310,DC-08,97,92,DC-08-CHARGER-03,Y,80
RBT-0311,DC-08,76,88,DC-08-CHARGER-05,Y,24
RBT-0312,DC-08,65,91,DC-08-CHARGER-03,Y,99
RBT-0313,DC-08,42,97,DC-08-CHARGER-03,Y,82
RBT-0314,DC-08,95,100,DC-08-CHARGER-08,Y,56
RBT-0315,DC-08,30,85,DC-08-CHARGER-03,Y,79
RBT-0316,DC-08,51,98,DC-08-CHARGER-05,Y,82
RBT-0317,DC-08,50,99,DC-08-CHARGER-07,Y,27
RBT-0318,DC-08,41,79,DC-08-CHARGER-02,Y,18
RBT-0319,DC-08,99,68,DC-08-CHARGER-04,Y,102
RBT-0320,DC-08,76,90,DC-08-CHARGER-02,Y,25
RBT-0321,DC-08,72,92,DC-08-CHARGER-03,Y,0
RBT-0322,DC-08,93,77,DC-08-CHARGER-05,Y,20
RBT-0323,DC-08,59,79,DC-08-CHARGER-08,Y,78
RBT-0324,DC-09,66,83,DC-09-CHARGER-03,Y,26
RBT-0325,DC-09,97,99,DC-09-CHARGER-01,Y,59
RBT-0326,DC-09,44,89,DC-09-CHARGER-03,Y,13
RBT-0327,DC-09,60,69,DC-09-CHARGER-02,Y,84
RBT-0328,DC-09,36,73,DC-09-CHARGER-03,Y,28
RBT-0329,DC-09,95,93,DC-09-CHARGER-05,Y,0
RBT-0330,DC-09,11,85,DC-09-CHARGER-08,Y,97
RBT-0331,DC-09,91,80,DC-09-CHARGER-04,Y,33
RBT-0332,DC-09,12,93,DC-09-CHARGER-04,Y,29
RBT-0333,DC-09,94,81,DC-09-CHARGER-08,Y,111
RBT-0334,DC-09,87,81,DC-09-CHARGER-04,Y,50
RBT-0335,DC-09,13,71,DC-09-CHARGER-06,Y,57
RBT-0336,DC-09,60,82,DC-09-CHARGER-08,Y,26
RBT-0337,DC-09,99,71,DC-09-CHARGER-05,Y,35
RBT-0338,DC-09,9,96,DC-09-CHARGER-06,Y,16
RBT-0339,DC-09,91,79,DC-09-CHARGER-02,Y,-13
RBT-0340,DC-09,91,90,DC-09-CHARGER-06,Y,79
RBT-0341,DC-09,93,97,DC-09-CHARGER-08,Y,5
RBT-0342,DC-09,14,79,DC-09-CHARGER-05,Y,28
RBT-0343,DC-09,94,72,DC-09-CHARGER-08,Y,-13
RBT-0344,DC-09,31,98,DC-09-CHARGER-03,Y,51
RBT-0345,DC-09,36,85,DC-09-CHARGER-04,Y,36
RBT-0346,DC-09,64,85,DC-09-CHARGER-02,Y,109
RBT-0347,DC-09,41,74,DC-09-CHARGER-08,Y,-13
RBT-0348,DC-09,90,73,DC-09-CHARGER-03,Y,114
RBT-0349,DC-09,18,72,DC-09-CHARGER-01,Y,23
RBT-0350,DC-09,72,77,DC-09-CHARGER-06,Y,90
RBT-0351,DC-09,95,72,DC-09-CHARGER-05,Y,108
RBT-0352,DC-09,66,79,DC-09-CHARGER-08,Y,86
RBT-0353,DC-09,100,98,DC-09-CHARGER-03,Y,58
RBT-0354,DC-09,50,98,DC-09-CHARGER-06,Y,64
RBT-0355,DC-09,62,97,DC-09-CHARGER-02,Y,36
RBT-0356,DC-09,62,87,DC-09-CHARGER-04,Y,58
RBT-0357,DC-09,45,70,DC-09-CHARGER-08,Y,93
RBT-0358,DC-09,36,98,DC-09-CHARGER-05,Y,79
RBT-0359,DC-09,41,82,DC-09-CHARGER-03,Y,55
RBT-0360,DC-09,20,99,DC-09-CHARGER-04,Y,25
RBT-0361,DC-09,50,81,DC-09-CHARGER-07,Y,69
RBT-0362,DC-09,85,77,DC-09-CHARGER-08,Y,56
RBT-0363,DC-09,9,88,DC-09-CHARGER-08,Y,112
RBT-0364,DC-09,50,72,DC-09-CHARGER-01,Y,111
RBT-0365,DC-09,18,68,DC-09-CHARGER-04,Y,12
RBT-0366,DC-10,49,68,DC-10-CHARGER-06,Y,101
RBT-0367,DC-10,55,70,DC-10-CHARGER-03,Y,15
RBT-0368,DC-10,26,86,DC-10-CHARGER-06,Y,-12
RBT-0369,DC-10,91,81,DC-10-CHARGER-04,Y,-9
RBT-0370,DC-10,55,92,DC-10-CHARGER-04,Y,-15
RBT-0371,DC-10,53,86,DC-10-CHARGER-03,Y,98
RBT-0372,DC-10,32,69,DC-10-CHARGER-04,Y,78
RBT-0373,DC-10,82,90,DC-10-CHARGER-04,Y,35
RBT-0374,DC-10,19,75,DC-10-CHARGER-08,Y,115
RBT-0375,DC-10,23,100,DC-10-CHARGER-08,Y,35
RBT-0376,DC-10,70,100,DC-10-CHARGER-04,Y,68
RBT-0377,DC-10,99,86,DC-10-CHARGER-01,Y,77
RBT-0378,DC-10,96,82,DC-10-CHARGER-04,Y,77
RBT-0379,DC-10,35,98,DC-10-CHARGER-08,Y,40
RBT-0380,DC-10,86,97,DC-10-CHARGER-02,Y,106
RBT-0381,DC-10,24,70,DC-10-CHARGER-04,Y,33
RBT-0382,DC-10,82,91,DC-10-CHARGER-04,Y,81
RBT-0383,DC-10,40,93,DC-10-CHARGER-07,Y,62
RBT-0384,DC-10,76,100,DC-10-CHARGER-06,Y,-14
RBT-0385,DC-10,42,85,DC-10-CHARGER-08,Y,-1
RBT-0386,DC-10,24,98,DC-10-CHARGER-06,Y,27
RBT-0387,DC-10,78,72,DC-10-CHARGER-06,Y,85
RBT-0388,DC-10,27,98,DC-10-CHARGER-07,Y,4
RBT-0389,DC-10,88,100,DC-10-CHARGER-01,Y,81
RBT-0390,DC-10,48,88,DC-10-CHARGER-01,Y,93
RBT-0391,DC-10,61,89,DC-10-CHARGER-04,Y,2
RBT-0392,DC-10,14,68,DC-10-CHARGER-06,Y,23
RBT-0393,DC-10,56,78,DC-10-CHARGER-06,Y,108
RBT-0394,DC-10,52,96,DC-10-CHARGER-02,Y,32
RBT-0395,DC-10,78,72,DC-10-CHARGER-08,Y,32
RBT-0396,DC-10,59,68,DC-10-CHARGER-03,Y,-7
RBT-0397,DC-10,47,91,DC-10-CHARGER-03,N,51
RBT-0398,DC-10,44,93,DC-10-CHARGER-03,Y,28
RBT-0399,DC-10,48,69,DC-10-CHARGER-03,Y,65
RBT-0400,DC-10,15,70,DC-10-CHARGER-05,Y,54
RBT-0401,DC-10,90,99,DC-10-CHARGER-01,Y,67
RBT-0402,DC-10,71,88,DC-10-CHARGER-07,Y,9
RBT-0403,DC-10,72,71,DC-10-CHARGER-06,Y,102
RBT-0404,DC-10,85,72,DC-10-CHARGER-04,N,66
RBT-0405,DC-10,37,68,DC-10-CHARGER-01,Y,81
RBT-0406,DC-10,90,78,DC-10-CHARGER-03,Y,16
RBT-0407,DC-10,39,68,DC-10-CHARGER-01,Y,39
RBT-0408,DC-10,27,97,DC-10-CHARGER-01,Y,56
