warehouse_id,sku,location,wms_qty,erp_qty,vision_qty,reserved_qty,inventory_status,last_cycle_count_days
DC-01,SKU-00057,DC-01-Z12-B016,82,82,82,12,AVAILABLE,176
DC-01,SKU-00723,DC-01-Z06-B025,28,28,28,11,AVAILABLE,31
DC-01,SKU-01083,DC-01-Z03-B077,118,120,115,3,HOLD,143
DC-01,SKU-00171,DC-01-Z07-B012,16,16,17,9,AVAILABLE,30
DC-01,SKU-00045,DC-01-Z09-B016,109,109,110,17,HOLD,69
DC-01,SKU-00830,DC-01-Z10-B063,156,158,153,16,AVAILABLE,177
DC-01,SKU-00401,DC-01-Z05-B032,28,28,29,19,AVAILABLE,74
DC-01,SKU-01032,DC-01-Z03-B020,89,89,89,0,AVAILABLE,103
DC-01,SKU-00483,DC-01-Z07-B058,189,187,189,14,AVAILABLE,93
DC-01,SKU-00843,DC-01-Z07-B019,122,122,123,2,AVAILABLE,58
DC-01,SKU-00503,DC-01-Z06-B016,186,186,186,20,AVAILABLE,106
DC-01,SKU-01157,DC-01-Z09-B039,170,170,170,4,AVAILABLE,56
DC-01,SKU-00307,DC-01-Z02-B049,80,80,79,3,AVAILABLE,96
DC-01,SKU-00083,DC-01-Z09-B067,13,11,12,2,AVAILABLE,124
DC-01,SKU-00566,DC-01-Z08-B047,169,168,169,14,AVAILABLE,62
DC-01,SKU-00695,DC-01-Z06-B075,53,55,52,1,AVAILABLE,108
DC-01,SKU-00150,DC-01-Z03-B014,220,220,220,11,AVAILABLE,1
DC-01,SKU-00147,DC-01-Z07-B066,68,68,65,15,AVAILABLE,145
DC-01,SKU-00447,DC-01-Z07-B043,197,198,200,5,QUARANTINE,83
DC-01,SKU-01034,DC-01-Z09-B020,217,217,220,17,QUARANTINE,35
DC-01,SKU-00864,DC-01-Z11-B061,198,199,198,1,AVAILABLE,135
DC-01,SKU-00673,DC-01-Z10-B051,128,130,131,13,AVAILABLE,117
DC-01,SKU-00953,DC-01-Z02-B007,155,155,156,1,HOLD,56
DC-01,SKU-00621,DC-01-Z12-B023,208,209,209,4,AVAILABLE,31
DC-01,SKU-00637,DC-01-Z03-B060,141,139,141,0,AVAILABLE,32
DC-01,SKU-01089,DC-01-Z12-B015,27,27,27,10,AVAILABLE,42
DC-01,SKU-00938,DC-01-Z08-B013,81,81,81,9,AVAILABLE,9
DC-01,SKU-01158,DC-01-Z01-B052,160,161,157,2,AVAILABLE,99
DC-01,SKU-00736,DC-01-Z03-B021,27,25,27,15,AVAILABLE,114
DC-01,SKU-00527,DC-01-Z09-B003,6,4,6,4,AVAILABLE,149
DC-01,SKU-00494,DC-01-Z02-B044,140,142,140,19,HOLD,149
DC-01,SKU-00486,DC-01-Z07-B013,113,113,114,17,AVAILABLE,132
DC-01,SKU-01113,DC-01-Z10-B043,69,69,72,9,AVAILABLE,78
DC-01,SKU-00079,DC-01-Z10-B059,21,22,21,7,AVAILABLE,6
DC-01,SKU-00720,DC-01-Z11-B006,87,87,88,7,AVAILABLE,111
DC-01,SKU-00221,DC-01-Z11-B050,7,5,7,0,AVAILABLE,178
DC-01,SKU-00514,DC-01-Z02-B018,94,95,91,7,AVAILABLE,64
DC-01,SKU-00998,DC-01-Z06-B026,112,112,111,7,AVAILABLE,102
DC-01,SKU-00059,DC-01-Z02-B061,28,29,29,14,AVAILABLE,45
DC-01,SKU-00019,DC-01-Z01-B034,153,152,153,11,AVAILABLE,118
DC-01,SKU-00264,DC-01-Z12-B024,41,41,41,19,HOLD,150
DC-01,SKU-00326,DC-01-Z11-B018,95,95,92,2,AVAILABLE,22
DC-01,SKU-01079,DC-01-Z12-B046,199,199,202,14,HOLD,162
DC-01,SKU-00352,DC-01-Z09-B024,163,165,163,17,AVAILABLE,84
DC-01,SKU-00762,DC-01-Z07-B069,109,109,112,13,AVAILABLE,163
DC-01,SKU-00773,DC-01-Z12-B023,135,134,132,6,AVAILABLE,151
DC-01,SKU-00512,DC-01-Z07-B033,117,119,120,3,AVAILABLE,107
DC-01,SKU-00651,DC-01-Z01-B023,154,156,153,4,AVAILABLE,129
DC-01,SKU-01188,DC-01-Z01-B006,73,73,73,13,AVAILABLE,92
DC-01,SKU-00633,DC-01-Z05-B059,39,39,40,12,AVAILABLE,67
DC-01,SKU-01042,DC-01-Z07-B013,197,198,197,5,AVAILABLE,149
DC-01,SKU-00302,DC-01-Z04-B003,75,73,75,15,AVAILABLE,58
DC-01,SKU-00710,DC-01-Z05-B002,10,10,10,1,QUARANTINE,173
DC-01,SKU-00322,DC-01-Z12-B001,95,93,96,11,AVAILABLE,166
DC-01,SKU-00413,DC-01-Z02-B010,115,115,112,3,AVAILABLE,109
DC-01,SKU-00130,DC-01-Z01-B013,11,9,11,9,AVAILABLE,31
DC-01,SKU-00823,DC-01-Z08-B014,213,214,213,0,AVAILABLE,125
DC-01,SKU-00892,DC-01-Z12-B040,188,188,187,5,AVAILABLE,152
DC-01,SKU-00741,DC-01-Z10-B037,179,180,182,18,AVAILABLE,26
DC-01,SKU-00169,DC-01-Z10-B019,180,180,180,10,AVAILABLE,28
DC-01,SKU-00273,DC-01-Z12-B031,220,222,219,3,AVAILABLE,103
DC-01,SKU-00143,DC-01-Z11-B049,115,115,118,16,HOLD,139
DC-01,SKU-00565,DC-01-Z12-B026,114,113,114,11,HOLD,126
DC-01,SKU-00012,DC-01-Z09-B058,80,80,83,0,AVAILABLE,138
DC-01,SKU-00914,DC-01-Z09-B055,116,114,119,12,HOLD,39
DC-01,SKU-00323,DC-01-Z11-B002,83,83,86,15,AVAILABLE,140
DC-01,SKU-00597,DC-01-Z01-B029,206,207,206,3,QUARANTINE,93
DC-01,SKU-00921,DC-01-Z08-B053,110,110,110,12,AVAILABLE,83
DC-01,SKU-00549,DC-01-Z12-B064,22,22,21,0,AVAILABLE,114
DC-01,SKU-00293,DC-01-Z01-B072,22,20,22,6,AVAILABLE,157
DC-01,SKU-00440,DC-01-Z12-B022,88,90,88,8,AVAILABLE,68
DC-01,SKU-00061,DC-01-Z02-B047,183,185,186,19,AVAILABLE,79
DC-01,SKU-00728,DC-01-Z08-B049,85,85,84,15,AVAILABLE,57
DC-01,SKU-01084,DC-01-Z06-B073,14,12,14,2,AVAILABLE,149
DC-01,SKU-01184,DC-01-Z01-B026,0,0,0,0,AVAILABLE,175
DC-01,SKU-00324,DC-01-Z02-B051,109,110,112,0,AVAILABLE,125
DC-01,SKU-00420,DC-01-Z07-B048,101,101,102,15,AVAILABLE,126
DC-01,SKU-01052,DC-01-Z03-B062,206,207,203,12,AVAILABLE,109
DC-01,SKU-00226,DC-01-Z02-B066,183,183,184,0,AVAILABLE,4
DC-01,SKU-00459,DC-01-Z07-B064,140,140,137,11,AVAILABLE,149
DC-01,SKU-00179,DC-01-Z12-B028,176,176,173,11,AVAILABLE,104
DC-01,SKU-00086,DC-01-Z12-B055,18,18,21,1,AVAILABLE,39
DC-01,SKU-01011,DC-01-Z05-B004,39,39,39,12,AVAILABLE,60
DC-01,SKU-00733,DC-01-Z07-B030,196,196,193,11,AVAILABLE,57
DC-01,SKU-00807,DC-01-Z05-B048,205,206,204,11,AVAILABLE,144
DC-01,SKU-00672,DC-01-Z03-B012,158,156,158,18,AVAILABLE,103
DC-01,SKU-00055,DC-01-Z09-B050,198,198,198,0,AVAILABLE,171
DC-01,SKU-01031,DC-01-Z02-B024,61,59,61,4,AVAILABLE,129
DC-01,SKU-01193,DC-01-Z05-B014,200,199,197,20,AVAILABLE,111
DC-01,SKU-00698,DC-01-Z02-B022,185,187,182,4,AVAILABLE,131
DC-01,SKU-00934,DC-01-Z08-B052,213,214,212,3,HOLD,28
DC-01,SKU-00321,DC-01-Z08-B004,198,200,197,1,AVAILABLE,98
DC-01,SKU-00162,DC-01-Z05-B033,127,127,124,11,AVAILABLE,2
DC-01,SKU-00886,DC-01-Z09-B057,103,105,103,1,AVAILABLE,175
DC-01,SKU-00865,DC-01-Z04-B047,213,214,213,11,AVAILABLE,31
DC-01,SKU-00644,DC-01-Z10-B046,18,18,15,5,AVAILABLE,88
DC-01,SKU-01095,DC-01-Z06-B031,102,102,102,11,AVAILABLE,152
DC-01,SKU-00409,DC-01-Z04-B059,141,142,144,7,AVAILABLE,27
DC-01,SKU-00131,DC-01-Z11-B069,84,86,83,19,AVAILABLE,30
DC-01,SKU-00787,DC-01-Z04-B030,54,54,53,3,AVAILABLE,126
DC-01,SKU-00124,DC-01-Z02-B004,169,169,172,14,AVAILABLE,76
DC-01,SKU-00103,DC-01-Z07-B010,123,121,124,6,QUARANTINE,85
DC-01,SKU-00562,DC-01-Z09-B037,58,58,58,5,AVAILABLE,62
DC-01,SKU-01060,DC-01-Z05-B037,91,91,90,12,AVAILABLE,63
DC-01,SKU-00505,DC-01-Z07-B033,14,15,14,12,AVAILABLE,42
DC-01,SKU-00888,DC-01-Z02-B060,97,95,97,4,HOLD,13
DC-01,SKU-00466,DC-01-Z01-B042,125,125,125,1,AVAILABLE,41
DC-01,SKU-00721,DC-01-Z09-B046,119,119,119,17,AVAILABLE,95
DC-01,SKU-00981,DC-01-Z07-B046,178,180,177,1,QUARANTINE,100
DC-01,SKU-00336,DC-01-Z02-B072,168,167,165,13,AVAILABLE,38
DC-01,SKU-01153,DC-01-Z06-B003,147,147,147,0,AVAILABLE,129
DC-01,SKU-00397,DC-01-Z08-B049,42,44,43,4,AVAILABLE,145
DC-01,SKU-00474,DC-01-Z07-B044,187,188,190,15,AVAILABLE,103
DC-01,SKU-00573,DC-01-Z08-B069,206,206,206,3,AVAILABLE,127
DC-01,SKU-00604,DC-01-Z06-B050,65,65,64,7,AVAILABLE,128
DC-01,SKU-00797,DC-01-Z09-B070,157,157,154,14,AVAILABLE,142
DC-01,SKU-00624,DC-01-Z06-B027,139,139,136,10,AVAILABLE,4
DC-01,SKU-00646,DC-01-Z02-B069,101,101,104,16,AVAILABLE,133
DC-01,SKU-00108,DC-01-Z05-B074,142,143,141,5,AVAILABLE,43
DC-01,SKU-00877,DC-01-Z07-B019,54,54,57,14,AVAILABLE,44
DC-01,SKU-00790,DC-01-Z08-B033,215,215,218,14,AVAILABLE,159
DC-01,SKU-01200,DC-01-Z04-B066,104,106,104,9,AVAILABLE,113
DC-01,SKU-01138,DC-01-Z01-B075,82,80,79,8,AVAILABLE,165
DC-01,SKU-00863,DC-01-Z09-B057,48,48,47,18,AVAILABLE,113
DC-01,SKU-00285,DC-01-Z03-B024,37,37,36,13,AVAILABLE,122
DC-01,SKU-00020,DC-01-Z04-B072,61,62,60,19,AVAILABLE,148
DC-01,SKU-00777,DC-01-Z08-B002,24,25,25,8,AVAILABLE,4
DC-01,SKU-01139,DC-01-Z07-B038,79,79,79,20,AVAILABLE,123
DC-01,SKU-00254,DC-01-Z03-B002,96,96,99,8,AVAILABLE,13
DC-01,SKU-01013,DC-01-Z10-B003,137,137,137,0,AVAILABLE,133
DC-01,SKU-01160,DC-01-Z12-B003,31,29,28,3,AVAILABLE,109
DC-01,SKU-00122,DC-01-Z11-B080,126,126,126,3,HOLD,37
DC-01,SKU-00708,DC-01-Z05-B028,186,186,186,2,AVAILABLE,57
DC-01,SKU-00702,DC-01-Z10-B035,171,173,170,11,AVAILABLE,51
DC-01,SKU-00813,DC-01-Z02-B048,46,46,46,20,AVAILABLE,76
DC-01,SKU-00120,DC-01-Z03-B065,83,84,83,16,AVAILABLE,94
DC-01,SKU-00411,DC-01-Z01-B033,26,24,23,6,AVAILABLE,52
DC-01,SKU-00816,DC-01-Z10-B028,11,13,14,8,AVAILABLE,14
DC-01,SKU-00309,DC-01-Z06-B041,96,98,96,10,AVAILABLE,85
DC-01,SKU-00339,DC-01-Z09-B016,192,192,192,9,HOLD,127
DC-01,SKU-00825,DC-01-Z11-B030,137,139,137,17,QUARANTINE,67
DC-01,SKU-00593,DC-01-Z12-B021,52,52,55,5,AVAILABLE,131
DC-01,SKU-00458,DC-01-Z01-B004,95,97,95,8,AVAILABLE,6
DC-01,SKU-00795,DC-01-Z11-B026,58,56,58,0,QUARANTINE,178
DC-01,SKU-00444,DC-01-Z01-B073,174,174,174,13,AVAILABLE,176
DC-01,SKU-00304,DC-01-Z05-B008,83,83,80,2,HOLD,150
DC-01,SKU-01172,DC-01-Z05-B070,191,191,188,14,AVAILABLE,159
DC-01,SKU-00747,DC-01-Z11-B050,11,13,11,10,AVAILABLE,113
DC-01,SKU-01128,DC-01-Z03-B015,150,150,153,3,AVAILABLE,10
DC-01,SKU-00281,DC-01-Z10-B040,209,209,209,3,AVAILABLE,40
DC-01,SKU-00612,DC-01-Z04-B002,17,15,17,9,AVAILABLE,90
DC-01,SKU-00640,DC-01-Z08-B013,152,152,149,3,AVAILABLE,14
DC-01,SKU-00022,DC-01-Z08-B055,106,105,106,17,AVAILABLE,17
DC-01,SKU-00332,DC-01-Z07-B025,183,181,183,9,AVAILABLE,96
DC-01,SKU-00599,DC-01-Z04-B009,53,53,50,12,AVAILABLE,164
DC-01,SKU-01075,DC-01-Z06-B019,105,105,105,3,AVAILABLE,68
DC-01,SKU-00498,DC-01-Z12-B061,202,202,205,14,AVAILABLE,90
DC-01,SKU-00376,DC-01-Z11-B054,124,125,123,1,AVAILABLE,35
DC-01,SKU-00331,DC-01-Z12-B027,99,99,100,10,AVAILABLE,105
DC-01,SKU-01173,DC-01-Z04-B076,206,206,206,3,AVAILABLE,7
DC-01,SKU-01026,DC-01-Z05-B062,72,74,72,5,AVAILABLE,12
DC-01,SKU-01161,DC-01-Z02-B052,211,211,211,13,AVAILABLE,59
DC-01,SKU-00879,DC-01-Z11-B003,178,179,179,6,AVAILABLE,82
DC-01,SKU-00669,DC-01-Z10-B037,119,119,119,5,AVAILABLE,21
DC-01,SKU-00092,DC-01-Z07-B038,38,37,41,4,AVAILABLE,115
DC-01,SKU-00711,DC-01-Z12-B055,52,52,52,16,AVAILABLE,135
DC-01,SKU-00735,DC-01-Z06-B019,75,77,75,9,AVAILABLE,4
DC-01,SKU-00427,DC-01-Z12-B015,59,59,59,0,AVAILABLE,114
DC-01,SKU-00473,DC-01-Z05-B049,20,19,17,14,AVAILABLE,167
DC-01,SKU-00671,DC-01-Z07-B019,33,31,33,19,AVAILABLE,81
DC-01,SKU-00192,DC-01-Z12-B056,10,11,10,10,AVAILABLE,108
DC-01,SKU-00247,DC-01-Z09-B001,12,12,11,4,AVAILABLE,56
DC-01,SKU-00771,DC-01-Z08-B077,118,118,115,8,AVAILABLE,142
DC-01,SKU-00788,DC-01-Z08-B001,68,68,71,4,HOLD,103
DC-01,SKU-00662,DC-01-Z06-B074,35,37,34,9,AVAILABLE,97
DC-01,SKU-00856,DC-01-Z11-B079,212,214,212,4,AVAILABLE,86
DC-01,SKU-00504,DC-01-Z05-B013,74,74,74,12,AVAILABLE,7
DC-01,SKU-00561,DC-01-Z11-B071,156,156,156,18,AVAILABLE,95
DC-01,SKU-00398,DC-01-Z07-B065,86,86,87,15,AVAILABLE,45
DC-01,SKU-00315,DC-01-Z11-B010,186,188,187,20,AVAILABLE,112
DC-01,SKU-00277,DC-01-Z12-B041,44,44,47,4,AVAILABLE,31
DC-01,SKU-00571,DC-01-Z09-B045,91,89,91,15,AVAILABLE,0
DC-01,SKU-00896,DC-01-Z02-B017,175,177,175,14,AVAILABLE,165
DC-01,SKU-01019,DC-01-Z02-B041,55,56,55,12,AVAILABLE,78
DC-01,SKU-00760,DC-01-Z01-B038,123,123,126,4,AVAILABLE,17
DC-01,SKU-00575,DC-01-Z01-B040,11,9,11,2,AVAILABLE,118
DC-01,SKU-00269,DC-01-Z10-B051,40,39,39,10,AVAILABLE,11
DC-01,SKU-00639,DC-01-Z07-B027,34,36,34,2,AVAILABLE,56
DC-01,SKU-00049,DC-01-Z11-B009,55,53,55,5,AVAILABLE,143
DC-01,SKU-00500,DC-01-Z12-B001,186,186,183,10,QUARANTINE,47
DC-01,SKU-00485,DC-01-Z04-B065,76,77,73,11,AVAILABLE,52
DC-01,SKU-00344,DC-01-Z07-B039,165,165,166,11,AVAILABLE,12
DC-01,SKU-00164,DC-01-Z08-B080,152,151,155,6,AVAILABLE,61
DC-01,SKU-00714,DC-01-Z03-B075,158,158,158,16,AVAILABLE,156
DC-01,SKU-00890,DC-01-Z03-B032,150,150,150,13,HOLD,115
DC-01,SKU-00338,DC-01-Z11-B001,23,23,23,0,AVAILABLE,142
DC-01,SKU-00545,DC-01-Z07-B014,57,57,56,11,AVAILABLE,109
DC-01,SKU-00227,DC-01-Z01-B031,168,168,168,11,AVAILABLE,29
DC-01,SKU-00239,DC-01-Z07-B013,145,145,144,4,AVAILABLE,69
DC-01,SKU-00313,DC-01-Z07-B015,89,91,89,5,AVAILABLE,89
DC-01,SKU-00477,DC-01-Z05-B022,189,189,188,12,AVAILABLE,58
DC-01,SKU-01198,DC-01-Z06-B008,181,181,184,2,AVAILABLE,60
DC-01,SKU-00016,DC-01-Z03-B047,175,176,176,14,AVAILABLE,148
DC-01,SKU-00218,DC-01-Z02-B005,185,187,185,19,AVAILABLE,179
DC-01,SKU-00415,DC-01-Z02-B003,163,163,160,11,AVAILABLE,82
DC-01,SKU-00855,DC-01-Z09-B013,87,87,88,16,AVAILABLE,108
DC-01,SKU-00889,DC-01-Z12-B069,81,81,81,3,AVAILABLE,178
DC-01,SKU-00756,DC-01-Z02-B057,112,111,113,16,AVAILABLE,93
DC-01,SKU-00937,DC-01-Z04-B068,141,139,138,0,AVAILABLE,156
DC-01,SKU-00872,DC-01-Z03-B050,143,143,143,13,AVAILABLE,1
DC-01,SKU-00859,DC-01-Z10-B054,31,30,31,8,HOLD,130
DC-01,SKU-00418,DC-01-Z10-B076,185,185,184,16,AVAILABLE,67
DC-01,SKU-00271,DC-01-Z10-B032,213,215,210,16,AVAILABLE,94
DC-01,SKU-00894,DC-01-Z11-B045,120,119,123,3,AVAILABLE,11
DC-01,SKU-00190,DC-01-Z12-B018,19,19,19,16,AVAILABLE,52
DC-01,SKU-00243,DC-01-Z06-B001,104,106,104,6,AVAILABLE,36
DC-01,SKU-00793,DC-01-Z09-B066,149,147,149,2,AVAILABLE,6
DC-01,SKU-00187,DC-01-Z02-B065,11,11,11,11,AVAILABLE,178
DC-01,SKU-01106,DC-01-Z04-B023,157,159,154,6,AVAILABLE,31
DC-01,SKU-01152,DC-01-Z07-B060,65,65,62,13,AVAILABLE,35
DC-01,SKU-00966,DC-01-Z08-B006,36,34,37,9,HOLD,1
DC-01,SKU-01092,DC-01-Z01-B057,132,132,135,11,HOLD,130
DC-01,SKU-00779,DC-01-Z01-B054,170,170,173,5,QUARANTINE,42
DC-01,SKU-00341,DC-01-Z01-B065,65,65,62,7,AVAILABLE,64
DC-01,SKU-00253,DC-01-Z04-B062,109,109,112,1,HOLD,171
DC-01,SKU-00289,DC-01-Z01-B009,125,124,125,6,AVAILABLE,56
DC-01,SKU-00242,DC-01-Z11-B006,88,88,88,6,HOLD,60
DC-01,SKU-00810,DC-01-Z06-B061,220,220,220,13,AVAILABLE,116
DC-01,SKU-00276,DC-01-Z12-B077,60,60,59,9,AVAILABLE,123
DC-01,SKU-00648,DC-01-Z03-B042,44,44,44,2,AVAILABLE,149
DC-01,SKU-00858,DC-01-Z04-B005,89,88,86,9,AVAILABLE,161
DC-01,SKU-00097,DC-01-Z03-B023,130,130,131,11,AVAILABLE,33
DC-01,SKU-01145,DC-01-Z03-B049,198,199,201,15,AVAILABLE,0
DC-01,SKU-00126,DC-01-Z09-B026,84,84,84,17,AVAILABLE,88
DC-01,SKU-00450,DC-01-Z03-B075,5,5,8,2,AVAILABLE,153
DC-01,SKU-00982,DC-01-Z01-B037,212,214,212,14,AVAILABLE,40
DC-01,SKU-00306,DC-01-Z08-B017,25,25,26,1,AVAILABLE,97
DC-01,SKU-00538,DC-01-Z02-B075,51,51,51,17,AVAILABLE,126
DC-01,SKU-00826,DC-01-Z02-B007,53,53,56,8,AVAILABLE,16
DC-01,SKU-01177,DC-01-Z04-B064,45,45,48,20,QUARANTINE,112
DC-01,SKU-00668,DC-01-Z08-B050,139,139,138,3,HOLD,8
DC-01,SKU-00432,DC-01-Z12-B043,215,214,216,18,QUARANTINE,53
DC-01,SKU-00780,DC-01-Z12-B022,193,194,193,16,HOLD,39
DC-01,SKU-00231,DC-01-Z07-B072,13,13,13,10,AVAILABLE,88
DC-01,SKU-00818,DC-01-Z10-B047,100,99,100,13,AVAILABLE,161
DC-01,SKU-00764,DC-01-Z03-B004,39,40,39,10,AVAILABLE,74
DC-01,SKU-00478,DC-01-Z02-B032,82,82,82,2,AVAILABLE,126
DC-01,SKU-00535,DC-01-Z04-B075,206,206,206,13,AVAILABLE,142
DC-01,SKU-00258,DC-01-Z05-B012,172,172,171,7,AVAILABLE,77
DC-01,SKU-00320,DC-01-Z06-B022,86,86,85,15,AVAILABLE,120
DC-01,SKU-00706,DC-01-Z06-B071,81,79,81,8,AVAILABLE,73
DC-01,SKU-00876,DC-01-Z03-B057,18,16,21,10,AVAILABLE,96
DC-01,SKU-00909,DC-01-Z01-B054,121,123,118,10,AVAILABLE,146
DC-01,SKU-01008,DC-01-Z11-B016,67,69,67,20,AVAILABLE,126
DC-01,SKU-00911,DC-01-Z06-B031,122,122,121,11,AVAILABLE,5
DC-01,SKU-01072,DC-01-Z05-B041,202,202,202,19,AVAILABLE,147
DC-01,SKU-00978,DC-01-Z10-B079,24,26,23,8,AVAILABLE,102
DC-01,SKU-00026,DC-01-Z05-B029,146,145,146,13,AVAILABLE,38
DC-01,SKU-00834,DC-01-Z04-B022,143,143,144,13,AVAILABLE,180
DC-01,SKU-01178,DC-01-Z11-B009,116,116,113,20,AVAILABLE,45
DC-01,SKU-00403,DC-01-Z05-B001,183,183,183,20,AVAILABLE,122
DC-01,SKU-00270,DC-01-Z03-B028,22,23,22,19,QUARANTINE,92
DC-01,SKU-00066,DC-01-Z07-B003,51,51,54,17,AVAILABLE,166
DC-01,SKU-00389,DC-01-Z03-B031,84,82,84,20,QUARANTINE,60
DC-01,SKU-00465,DC-01-Z03-B042,23,23,20,5,AVAILABLE,0
DC-01,SKU-01009,DC-01-Z11-B071,33,34,33,6,AVAILABLE,70
DC-01,SKU-00234,DC-01-Z06-B027,165,166,165,0,AVAILABLE,75
DC-01,SKU-00028,DC-01-Z11-B069,27,27,30,15,AVAILABLE,48
DC-01,SKU-00203,DC-01-Z03-B026,161,159,158,14,AVAILABLE,105
DC-01,SKU-00854,DC-01-Z10-B061,150,150,153,1,AVAILABLE,30
DC-01,SKU-01168,DC-01-Z05-B024,72,72,69,12,AVAILABLE,79
DC-01,SKU-00681,DC-01-Z07-B061,139,139,140,6,AVAILABLE,153
DC-01,SKU-01164,DC-01-Z10-B009,41,42,41,2,AVAILABLE,157
DC-01,SKU-00374,DC-01-Z04-B063,113,114,113,8,AVAILABLE,38
DC-01,SKU-00472,DC-01-Z10-B009,121,120,122,6,AVAILABLE,48
DC-01,SKU-01192,DC-01-Z11-B046,26,26,25,8,AVAILABLE,31
DC-01,SKU-01149,DC-01-Z11-B045,215,213,215,3,AVAILABLE,87
DC-01,SKU-00977,DC-01-Z06-B005,69,69,72,6,AVAILABLE,97
DC-01,SKU-00153,DC-01-Z08-B041,107,106,110,14,AVAILABLE,28
DC-01,SKU-00499,DC-01-Z12-B058,217,218,216,11,AVAILABLE,46
DC-01,SKU-00860,DC-01-Z04-B075,82,80,82,2,AVAILABLE,7
DC-01,SKU-00814,DC-01-Z07-B058,91,90,91,10,AVAILABLE,8
DC-01,SKU-00456,DC-01-Z12-B042,151,149,150,17,AVAILABLE,68
DC-01,SKU-00071,DC-01-Z01-B028,59,61,60,7,AVAILABLE,7
DC-01,SKU-00664,DC-01-Z12-B027,36,35,39,11,AVAILABLE,0
DC-01,SKU-00265,DC-01-Z06-B060,77,77,77,1,AVAILABLE,43
DC-01,SKU-00696,DC-01-Z07-B077,15,17,15,7,AVAILABLE,21
DC-01,SKU-00174,DC-01-Z06-B029,219,218,219,14,AVAILABLE,104
DC-01,SKU-00361,DC-01-Z04-B017,98,98,99,2,AVAILABLE,174
DC-01,SKU-00425,DC-01-Z02-B031,102,102,99,9,AVAILABLE,113
DC-01,SKU-00443,DC-01-Z12-B006,4,5,1,1,HOLD,47
DC-01,SKU-00958,DC-01-Z12-B059,55,55,55,0,AVAILABLE,140
DC-01,SKU-00654,DC-01-Z04-B006,113,113,113,20,AVAILABLE,5
DC-01,SKU-00042,DC-01-Z05-B067,170,170,170,1,AVAILABLE,142
DC-01,SKU-00384,DC-01-Z11-B073,66,65,69,16,AVAILABLE,112
DC-01,SKU-00259,DC-01-Z01-B061,137,136,138,10,AVAILABLE,91
DC-01,SKU-00847,DC-01-Z11-B031,178,178,175,1,AVAILABLE,101
DC-01,SKU-01078,DC-01-Z06-B080,86,86,86,4,AVAILABLE,4
DC-01,SKU-00792,DC-01-Z11-B015,10,10,10,6,AVAILABLE,62
DC-01,SKU-00176,DC-01-Z01-B065,18,17,18,13,AVAILABLE,119
DC-01,SKU-01096,DC-01-Z10-B019,173,172,176,8,AVAILABLE,177
DC-01,SKU-00091,DC-01-Z11-B039,44,44,44,18,AVAILABLE,52
DC-01,SKU-01175,DC-01-Z01-B023,43,43,42,10,AVAILABLE,14
DC-01,SKU-00399,DC-01-Z02-B054,166,168,169,8,QUARANTINE,110
DC-01,SKU-01023,DC-01-Z06-B008,79,79,79,16,AVAILABLE,119
DC-01,SKU-00391,DC-01-Z12-B067,183,183,180,7,AVAILABLE,93
DC-01,SKU-01155,DC-01-Z02-B066,220,220,219,7,AVAILABLE,72
