order_id,warehouse_id,priority,created_at,carrier_cutoff,oms_status,wms_status,customer_region,service_level
ORD-000039,DC-14,STANDARD,2026-08-10T22:02:00,2026-08-11T10:02:00,STAGED,HOLD,MEA,NEXT_DAY
ORD-000040,DC-04,STANDARD,2026-08-22T05:25:00,2026-08-22T09:25:00,PACKING,PACKING,LATAM,SAME_DAY
ORD-000041,DC-01,EXPEDITE,2026-08-29T07:46:00,2026-08-29T15:46:00,SHIPPED,SHIPPED,MEA,STANDARD
ORD-000042,DC-11,STANDARD,2026-08-15T03:00:00,2026-08-15T09:00:00,RELEASED,EXCEPTION,APAC,STANDARD
ORD-000043,DC-09,STANDARD,2026-09-05T05:55:00,2026-09-05T09:55:00,RELEASED,EXCEPTION,APAC,NEXT_DAY
ORD-000044,DC-03,STANDARD,2026-09-02T22:47:00,2026-09-03T22:47:00,ALLOCATED,EXCEPTION,NA,STANDARD
ORD-000045,DC-01,STANDARD,2026-08-12T03:46:00,2026-08-12T09:46:00,EXCEPTION,EXCEPTION,MEA,STANDARD
ORD-000046,DC-09,EXPEDITE,2026-08-11T22:02:00,2026-08-12T02:02:00,ALLOCATED,ALLOCATED,APAC,NEXT_DAY
ORD-000047,DC-12,STANDARD,2026-09-04T15:08:00,2026-09-04T19:08:00,STAGED,HOLD,EU,STANDARD
ORD-000048,DC-06,STANDARD,2026-08-12T08:56:00,2026-08-12T20:56:00,SHIPPED,HOLD,EU,NEXT_DAY
ORD-000049,DC-07,STANDARD,2026-08-04T16:56:00,2026-08-05T00:56:00,PICKING,HOLD,EU,STANDARD
ORD-000050,DC-15,STANDARD,2026-08-16T22:56:00,2026-08-17T06:56:00,RELEASED,EXCEPTION,NA,SAME_DAY
ORD-000051,DC-02,STANDARD,2026-08-19T10:50:00,2026-08-19T22:50:00,ALLOCATED,EXCEPTION,APAC,STANDARD
ORD-000052,DC-13,STANDARD,2026-08-08T19:32:00,2026-08-09T07:32:00,RELEASED,RELEASED,EU,STANDARD
ORD-000053,DC-06,STANDARD,2026-08-07T15:46:00,2026-08-07T19:46:00,ALLOCATED,ALLOCATED,NA,STANDARD
ORD-000054,DC-05,STANDARD,2026-08-11T13:44:00,2026-08-11T17:44:00,SHIPPED,SHIPPED,NA,NEXT_DAY
ORD-000055,DC-02,STANDARD,2026-08-01T19:00:00,2026-08-01T23:00:00,PACKING,PACKING,APAC,STANDARD
ORD-000056,DC-02,STANDARD,2026-08-09T08:01:00,2026-08-09T14:01:00,PACKING,EXCEPTION,LATAM,SAME_DAY
ORD-000057,DC-13,STANDARD,2026-08-27T08:41:00,2026-08-27T16:41:00,STAGED,STAGED,LATAM,STANDARD
ORD-000058,DC-16,EXPEDITE,2026-08-09T06:09:00,2026-08-09T14:09:00,EXCEPTION,HOLD,EU,NEXT_DAY
ORD-000059,DC-14,STANDARD,2026-08-05T03:20:00,2026-08-05T15:20:00,SHIPPED,HOLD,MEA,STANDARD
ORD-000060,DC-04,EXPEDITE,2026-09-01T00:10:00,2026-09-01T04:10:00,STAGED,STAGED,NA,SAME_DAY
ORD-000061,DC-10,STANDARD,2026-08-26T05:51:00,2026-08-26T13:51:00,PACKING,EXCEPTION,EU,STANDARD
ORD-000062,DC-01,STANDARD,2026-08-23T02:07:00,2026-08-24T02:07:00,RELEASED,RELEASED,LATAM,NEXT_DAY
ORD-000063,DC-01,STANDARD,2026-08-27T22:54:00,2026-08-28T22:54:00,RELEASED,RELEASED,APAC,SAME_DAY
ORD-000064,DC-02,STANDARD,2026-08-23T16:04:00,2026-08-24T00:04:00,PICKING,EXCEPTION,EU,SAME_DAY
ORD-000065,DC-13,STANDARD,2026-08-29T19:41:00,2026-08-30T07:41:00,EXCEPTION,EXCEPTION,NA,SAME_DAY
ORD-000066,DC-08,STANDARD,2026-08-07T03:37:00,2026-08-07T15:37:00,PICKING,PICKING,APAC,SAME_DAY
ORD-000067,DC-16,CRITICAL,2026-08-10T05:03:00,2026-08-10T13:03:00,PACKING,EXCEPTION,LATAM,NEXT_DAY
ORD-000068,DC-06,STANDARD,2026-08-05T17:42:00,2026-08-06T17:42:00,STAGED,STAGED,NA,NEXT_DAY
ORD-000069,DC-15,STANDARD,2026-08-17T00:29:00,2026-08-17T08:29:00,STAGED,EXCEPTION,MEA,NEXT_DAY
ORD-000070,DC-02,STANDARD,2026-08-08T07:32:00,2026-08-08T15:32:00,SHIPPED,EXCEPTION,NA,SAME_DAY
ORD-000071,DC-12,CRITICAL,2026-08-11T21:58:00,2026-08-12T05:58:00,RELEASED,EXCEPTION,APAC,SAME_DAY
ORD-000072,DC-09,EXPEDITE,2026-08-12T19:18:00,2026-08-12T23:18:00,STAGED,STAGED,NA,STANDARD
ORD-000073,DC-16,CRITICAL,2026-08-25T19:01:00,2026-08-26T19:01:00,RELEASED,RELEASED,LATAM,SAME_DAY
ORD-000074,DC-03,STANDARD,2026-08-23T11:09:00,2026-08-23T19:09:00,RELEASED,HOLD,LATAM,SAME_DAY
ORD-000075,DC-04,EXPEDITE,2026-08-08T21:31:00,2026-08-09T03:31:00,EXCEPTION,HOLD,NA,SAME_DAY
ORD-000076,DC-09,EXPEDITE,2026-09-04T20:04:00,2026-09-05T20:04:00,EXCEPTION,EXCEPTION,EU,STANDARD
ORD-000077,DC-17,STANDARD,2026-08-29T07:32:00,2026-08-29T19:32:00,SHIPPED,SHIPPED,MEA,SAME_DAY
ORD-000078,DC-12,STANDARD,2026-08-31T11:59:00,2026-08-31T17:59:00,ALLOCATED,ALLOCATED,APAC,NEXT_DAY
ORD-000079,DC-08,STANDARD,2026-08-01T20:33:00,2026-08-02T20:33:00,STAGED,STAGED,NA,NEXT_DAY
ORD-000080,DC-09,STANDARD,2026-08-03T02:15:00,2026-08-03T08:15:00,PICKING,PICKING,EU,SAME_DAY
ORD-000081,DC-17,CRITICAL,2026-08-16T10:54:00,2026-08-17T10:54:00,EXCEPTION,EXCEPTION,EU,STANDARD
ORD-000082,DC-17,STANDARD,2026-08-21T19:11:00,2026-08-22T07:11:00,ALLOCATED,ALLOCATED,APAC,SAME_DAY
ORD-000083,DC-17,STANDARD,2026-08-11T10:46:00,2026-08-11T14:46:00,RELEASED,RELEASED,APAC,SAME_DAY
ORD-000084,DC-16,STANDARD,2026-08-24T16:27:00,2026-08-25T16:27:00,SHIPPED,HOLD,NA,SAME_DAY
ORD-000085,DC-15,STANDARD,2026-08-14T23:00:00,2026-08-15T05:00:00,PICKING,PICKING,LATAM,STANDARD
ORD-000086,DC-10,STANDARD,2026-08-20T03:37:00,2026-08-20T09:37:00,ALLOCATED,ALLOCATED,NA,NEXT_DAY
ORD-000087,DC-06,STANDARD,2026-08-01T06:39:00,2026-08-01T14:39:00,RELEASED,EXCEPTION,EU,NEXT_DAY
ORD-000088,DC-17,STANDARD,2026-08-11T10:41:00,2026-08-11T14:41:00,STAGED,EXCEPTION,EU,SAME_DAY
ORD-000089,DC-08,EXPEDITE,2026-08-27T12:23:00,2026-08-27T18:23:00,STAGED,EXCEPTION,APAC,NEXT_DAY
ORD-000090,DC-13,STANDARD,2026-09-02T19:14:00,2026-09-03T07:14:00,EXCEPTION,EXCEPTION,NA,NEXT_DAY
ORD-000091,DC-03,CRITICAL,2026-08-04T08:32:00,2026-08-04T16:32:00,EXCEPTION,EXCEPTION,NA,SAME_DAY
ORD-000092,DC-07,STANDARD,2026-08-13T16:04:00,2026-08-14T16:04:00,PACKING,PACKING,NA,SAME_DAY
ORD-000093,DC-15,STANDARD,2026-08-06T15:47:00,2026-08-06T19:47:00,ALLOCATED,ALLOCATED,EU,STANDARD
ORD-000094,DC-10,STANDARD,2026-08-29T16:50:00,2026-08-30T04:50:00,PICKING,EXCEPTION,NA,NEXT_DAY
ORD-000095,DC-04,STANDARD,2026-08-02T15:31:00,2026-08-03T03:31:00,EXCEPTION,EXCEPTION,NA,STANDARD
ORD-000096,DC-14,STANDARD,2026-08-08T20:39:00,2026-08-09T20:39:00,PACKING,HOLD,NA,NEXT_DAY
ORD-000097,DC-10,CRITICAL,2026-08-30T10:27:00,2026-08-30T16:27:00,RELEASED,RELEASED,APAC,SAME_DAY
ORD-000098,DC-09,STANDARD,2026-08-23T05:35:00,2026-08-23T17:35:00,STAGED,STAGED,NA,NEXT_DAY
ORD-000099,DC-07,STANDARD,2026-08-28T01:36:00,2026-08-28T07:36:00,PICKING,PICKING,NA,STANDARD
ORD-000100,DC-11,STANDARD,2026-08-01T08:41:00,2026-08-01T16:41:00,ALLOCATED,EXCEPTION,MEA,STANDARD
ORD-000101,DC-14,STANDARD,2026-08-22T11:41:00,2026-08-22T15:41:00,RELEASED,EXCEPTION,NA,STANDARD
ORD-000102,DC-06,STANDARD,2026-09-04T13:45:00,2026-09-05T13:45:00,RELEASED,EXCEPTION,APAC,STANDARD
ORD-000103,DC-04,STANDARD,2026-08-27T11:01:00,2026-08-27T19:01:00,EXCEPTION,EXCEPTION,LATAM,NEXT_DAY
ORD-000104,DC-04,EXPEDITE,2026-08-18T22:59:00,2026-08-19T06:59:00,ALLOCATED,ALLOCATED,EU,SAME_DAY
ORD-000105,DC-15,STANDARD,2026-08-04T11:19:00,2026-08-04T17:19:00,RELEASED,RELEASED,APAC,SAME_DAY
ORD-000106,DC-12,STANDARD,2026-08-10T23:43:00,2026-08-11T07:43:00,EXCEPTION,EXCEPTION,MEA,NEXT_DAY
ORD-000107,DC-01,STANDARD,2026-08-18T08:45:00,2026-08-18T12:45:00,ALLOCATED,ALLOCATED,MEA,SAME_DAY
ORD-000108,DC-02,STANDARD,2026-08-30T01:52:00,2026-08-30T13:52:00,STAGED,HOLD,APAC,SAME_DAY
ORD-000109,DC-01,CRITICAL,2026-08-18T10:42:00,2026-08-18T14:42:00,PICKING,PICKING,EU,STANDARD
ORD-000110,DC-02,STANDARD,2026-08-22T23:03:00,2026-08-23T11:03:00,ALLOCATED,ALLOCATED,EU,NEXT_DAY
ORD-000111,DC-18,STANDARD,2026-08-10T02:20:00,2026-08-10T14:20:00,STAGED,HOLD,APAC,STANDARD
ORD-000112,DC-14,STANDARD,2026-08-25T00:07:00,2026-08-25T04:07:00,STAGED,EXCEPTION,MEA,STANDARD
ORD-000113,DC-18,EXPEDITE,2026-08-20T11:23:00,2026-08-20T15:23:00,RELEASED,RELEASED,APAC,NEXT_DAY
ORD-000114,DC-09,STANDARD,2026-08-14T12:47:00,2026-08-15T00:47:00,ALLOCATED,HOLD,MEA,SAME_DAY
ORD-000115,DC-14,STANDARD,2026-08-24T02:16:00,2026-08-24T10:16:00,PICKING,PICKING,NA,NEXT_DAY
ORD-000116,DC-09,EXPEDITE,2026-09-01T19:36:00,2026-09-02T01:36:00,EXCEPTION,EXCEPTION,APAC,STANDARD
ORD-000117,DC-12,STANDARD,2026-08-26T05:23:00,2026-08-26T11:23:00,PICKING,HOLD,APAC,NEXT_DAY
ORD-000118,DC-16,STANDARD,2026-08-21T15:48:00,2026-08-22T03:48:00,STAGED,STAGED,EU,SAME_DAY
ORD-000119,DC-17,EXPEDITE,2026-08-25T09:20:00,2026-08-26T09:20:00,PACKING,PACKING,NA,STANDARD
ORD-000120,DC-01,STANDARD,2026-08-09T22:34:00,2026-08-10T22:34:00,SHIPPED,SHIPPED,APAC,STANDARD
ORD-000121,DC-16,STANDARD,2026-08-17T16:24:00,2026-08-18T04:24:00,ALLOCATED,HOLD,APAC,NEXT_DAY
ORD-000122,DC-18,CRITICAL,2026-08-20T05:51:00,2026-08-20T17:51:00,RELEASED,EXCEPTION,LATAM,NEXT_DAY
ORD-000123,DC-18,CRITICAL,2026-09-04T07:24:00,2026-09-04T15:24:00,ALLOCATED,ALLOCATED,MEA,STANDARD
ORD-000124,DC-14,STANDARD,2026-08-18T09:11:00,2026-08-18T17:11:00,RELEASED,RELEASED,MEA,STANDARD
ORD-000125,DC-01,STANDARD,2026-09-04T19:37:00,2026-09-04T23:37:00,ALLOCATED,ALLOCATED,APAC,STANDARD
ORD-000126,DC-03,CRITICAL,2026-08-09T20:44:00,2026-08-10T02:44:00,RELEASED,RELEASED,LATAM,NEXT_DAY
ORD-000127,DC-12,STANDARD,2026-08-21T22:41:00,2026-08-22T06:41:00,RELEASED,RELEASED,MEA,NEXT_DAY
ORD-000128,DC-12,EXPEDITE,2026-08-18T10:27:00,2026-08-18T14:27:00,PICKING,PICKING,LATAM,SAME_DAY
ORD-000129,DC-18,STANDARD,2026-08-18T21:09:00,2026-08-19T09:09:00,EXCEPTION,EXCEPTION,NA,STANDARD
ORD-000130,DC-01,STANDARD,2026-08-03T12:38:00,2026-08-04T12:38:00,STAGED,EXCEPTION,EU,SAME_DAY
ORD-000131,DC-09,STANDARD,2026-08-08T09:31:00,2026-08-08T17:31:00,PACKING,PACKING,APAC,SAME_DAY
ORD-000132,DC-02,STANDARD,2026-08-23T03:17:00,2026-08-24T03:17:00,ALLOCATED,ALLOCATED,NA,NEXT_DAY
ORD-000133,DC-03,STANDARD,2026-08-22T21:59:00,2026-08-23T03:59:00,SHIPPED,EXCEPTION,LATAM,STANDARD
ORD-000134,DC-11,STANDARD,2026-08-07T06:51:00,2026-08-07T14:51:00,SHIPPED,SHIPPED,LATAM,NEXT_DAY
ORD-000135,DC-10,STANDARD,2026-08-09T04:15:00,2026-08-09T10:15:00,ALLOCATED,HOLD,APAC,SAME_DAY
ORD-000136,DC-06,EXPEDITE,2026-08-31T19:13:00,2026-09-01T19:13:00,STAGED,HOLD,MEA,SAME_DAY
ORD-000137,DC-13,STANDARD,2026-08-11T20:20:00,2026-08-12T08:20:00,STAGED,STAGED,LATAM,STANDARD
ORD-000138,DC-18,STANDARD,2026-09-04T01:32:00,2026-09-04T09:32:00,RELEASED,HOLD,MEA,NEXT_DAY
ORD-000139,DC-05,STANDARD,2026-08-04T18:52:00,2026-08-05T18:52:00,PACKING,PACKING,LATAM,STANDARD
ORD-000140,DC-02,STANDARD,2026-09-02T05:41:00,2026-09-02T09:41:00,ALLOCATED,HOLD,EU,STANDARD
ORD-000141,DC-15,EXPEDITE,2026-08-03T11:12:00,2026-08-03T17:12:00,PACKING,HOLD,APAC,NEXT_DAY
ORD-000142,DC-10,STANDARD,2026-08-10T10:18:00,2026-08-10T18:18:00,SHIPPED,HOLD,LATAM,STANDARD
ORD-000143,DC-16,STANDARD,2026-08-15T00:26:00,2026-08-15T12:26:00,STAGED,HOLD,NA,STANDARD
ORD-000144,DC-03,CRITICAL,2026-08-17T00:22:00,2026-08-17T06:22:00,SHIPPED,SHIPPED,APAC,SAME_DAY
ORD-000145,DC-01,STANDARD,2026-08-15T05:10:00,2026-08-15T09:10:00,RELEASED,RELEASED,MEA,SAME_DAY
ORD-000146,DC-11,STANDARD,2026-08-19T01:57:00,2026-08-19T13:57:00,PACKING,PACKING,EU,SAME_DAY
ORD-000147,DC-16,STANDARD,2026-08-23T07:38:00,2026-08-23T11:38:00,SHIPPED,SHIPPED,MEA,SAME_DAY
ORD-000148,DC-02,CRITICAL,2026-08-30T06:49:00,2026-08-30T12:49:00,EXCEPTION,EXCEPTION,LATAM,STANDARD
ORD-000149,DC-07,STANDARD,2026-08-22T15:42:00,2026-08-23T03:42:00,SHIPPED,EXCEPTION,EU,STANDARD
ORD-000150,DC-15,EXPEDITE,2026-08-19T04:35:00,2026-08-19T10:35:00,STAGED,EXCEPTION,MEA,SAME_DAY
ORD-000151,DC-01,STANDARD,2026-08-16T20:53:00,2026-08-17T00:53:00,STAGED,STAGED,LATAM,SAME_DAY
ORD-000152,DC-10,STANDARD,2026-08-17T10:25:00,2026-08-17T22:25:00,SHIPPED,SHIPPED,MEA,NEXT_DAY
ORD-000153,DC-02,STANDARD,2026-08-25T16:32:00,2026-08-26T00:32:00,RELEASED,HOLD,MEA,STANDARD
ORD-000154,DC-08,STANDARD,2026-08-13T08:22:00,2026-08-13T12:22:00,ALLOCATED,ALLOCATED,APAC,SAME_DAY
ORD-000155,DC-16,CRITICAL,2026-08-27T10:14:00,2026-08-27T14:14:00,ALLOCATED,ALLOCATED,EU,STANDARD
ORD-000156,DC-03,STANDARD,2026-08-23T09:55:00,2026-08-23T17:55:00,STAGED,STAGED,EU,NEXT_DAY
ORD-000157,DC-10,STANDARD,2026-08-06T21:41:00,2026-08-07T05:41:00,RELEASED,RELEASED,MEA,NEXT_DAY
ORD-000158,DC-03,EXPEDITE,2026-08-02T07:31:00,2026-08-03T07:31:00,SHIPPED,HOLD,NA,SAME_DAY
ORD-000159,DC-13,STANDARD,2026-08-03T15:26:00,2026-08-04T03:26:00,ALLOCATED,EXCEPTION,APAC,NEXT_DAY
ORD-000160,DC-04,STANDARD,2026-08-02T23:14:00,2026-08-03T03:14:00,EXCEPTION,EXCEPTION,LATAM,SAME_DAY
ORD-000161,DC-01,STANDARD,2026-08-14T23:31:00,2026-08-15T03:31:00,EXCEPTION,EXCEPTION,APAC,SAME_DAY
ORD-000162,DC-12,STANDARD,2026-08-15T23:09:00,2026-08-16T23:09:00,EXCEPTION,EXCEPTION,EU,SAME_DAY
ORD-000163,DC-03,STANDARD,2026-08-21T02:11:00,2026-08-21T06:11:00,PACKING,PACKING,NA,STANDARD
ORD-000164,DC-18,EXPEDITE,2026-08-27T21:58:00,2026-08-28T21:58:00,SHIPPED,EXCEPTION,NA,NEXT_DAY
ORD-000165,DC-15,EXPEDITE,2026-08-26T19:08:00,2026-08-27T19:08:00,RELEASED,EXCEPTION,MEA,NEXT_DAY
ORD-000166,DC-05,EXPEDITE,2026-08-07T02:10:00,2026-08-08T02:10:00,EXCEPTION,EXCEPTION,LATAM,NEXT_DAY
ORD-000167,DC-17,STANDARD,2026-09-03T17:27:00,2026-09-04T01:27:00,ALLOCATED,ALLOCATED,EU,NEXT_DAY
ORD-000168,DC-15,STANDARD,2026-09-01T06:56:00,2026-09-02T06:56:00,PACKING,HOLD,NA,NEXT_DAY
ORD-000169,DC-13,EXPEDITE,2026-08-05T07:18:00,2026-08-05T19:18:00,PACKING,EXCEPTION,LATAM,SAME_DAY
ORD-000170,DC-07,STANDARD,2026-08-20T14:52:00,2026-08-21T02:52:00,ALLOCATED,EXCEPTION,NA,STANDARD
ORD-000171,DC-03,STANDARD,2026-08-01T10:36:00,2026-08-01T16:36:00,EXCEPTION,EXCEPTION,LATAM,STANDARD
ORD-000172,DC-16,STANDARD,2026-08-06T15:54:00,2026-08-07T15:54:00,ALLOCATED,EXCEPTION,APAC,NEXT_DAY
ORD-000173,DC-08,CRITICAL,2026-08-22T18:10:00,2026-08-23T00:10:00,SHIPPED,EXCEPTION,LATAM,NEXT_DAY
ORD-000174,DC-12,EXPEDITE,2026-08-01T16:16:00,2026-08-01T22:16:00,SHIPPED,SHIPPED,MEA,NEXT_DAY
ORD-000175,DC-17,STANDARD,2026-08-16T08:13:00,2026-08-17T08:13:00,PACKING,HOLD,EU,SAME_DAY
ORD-000176,DC-17,STANDARD,2026-08-11T20:41:00,2026-08-12T20:41:00,STAGED,STAGED,NA,SAME_DAY
ORD-000177,DC-03,STANDARD,2026-08-22T09:47:00,2026-08-22T21:47:00,RELEASED,RELEASED,APAC,SAME_DAY
ORD-000178,DC-07,EXPEDITE,2026-08-06T22:27:00,2026-08-07T06:27:00,PICKING,EXCEPTION,LATAM,STANDARD
ORD-000179,DC-03,EXPEDITE,2026-08-31T03:43:00,2026-08-31T15:43:00,STAGED,STAGED,NA,SAME_DAY
ORD-000180,DC-09,STANDARD,2026-08-23T07:23:00,2026-08-23T11:23:00,STAGED,EXCEPTION,MEA,NEXT_DAY
ORD-000181,DC-18,STANDARD,2026-09-04T07:05:00,2026-09-04T13:05:00,ALLOCATED,ALLOCATED,LATAM,SAME_DAY
ORD-000182,DC-04,STANDARD,2026-08-26T19:18:00,2026-08-27T03:18:00,ALLOCATED,HOLD,LATAM,NEXT_DAY
ORD-000183,DC-05,EXPEDITE,2026-08-20T06:48:00,2026-08-20T12:48:00,RELEASED,RELEASED,LATAM,NEXT_DAY
ORD-000184,DC-07,STANDARD,2026-08-03T11:44:00,2026-08-04T11:44:00,PACKING,PACKING,LATAM,STANDARD
ORD-000185,DC-16,EXPEDITE,2026-08-19T12:06:00,2026-08-19T20:06:00,STAGED,STAGED,EU,NEXT_DAY
ORD-000186,DC-15,STANDARD,2026-08-26T10:01:00,2026-08-26T18:01:00,STAGED,HOLD,NA,SAME_DAY
ORD-000187,DC-10,STANDARD,2026-08-11T23:45:00,2026-08-12T23:45:00,ALLOCATED,ALLOCATED,EU,SAME_DAY
ORD-000188,DC-13,STANDARD,2026-08-15T02:34:00,2026-08-15T08:34:00,EXCEPTION,HOLD,APAC,STANDARD
ORD-000189,DC-14,STANDARD,2026-08-06T09:28:00,2026-08-06T21:28:00,RELEASED,RELEASED,MEA,SAME_DAY
ORD-000190,DC-03,STANDARD,2026-08-20T09:41:00,2026-08-20T17:41:00,STAGED,STAGED,NA,SAME_DAY
ORD-000191,DC-02,STANDARD,2026-08-24T11:29:00,2026-08-25T11:29:00,PACKING,PACKING,APAC,NEXT_DAY
ORD-000192,DC-18,EXPEDITE,2026-08-20T10:24:00,2026-08-21T10:24:00,PICKING,PICKING,NA,NEXT_DAY
ORD-000193,DC-16,STANDARD,2026-08-20T09:44:00,2026-08-20T17:44:00,STAGED,EXCEPTION,LATAM,NEXT_DAY
ORD-000194,DC-07,STANDARD,2026-09-01T04:07:00,2026-09-01T12:07:00,PACKING,PACKING,NA,STANDARD
ORD-000195,DC-07,STANDARD,2026-08-06T21:17:00,2026-08-07T03:17:00,EXCEPTION,HOLD,APAC,SAME_DAY
ORD-000196,DC-03,STANDARD,2026-08-23T03:48:00,2026-08-23T15:48:00,ALLOCATED,ALLOCATED,APAC,STANDARD
ORD-000197,DC-02,EXPEDITE,2026-08-06T13:25:00,2026-08-06T17:25:00,ALLOCATED,ALLOCATED,NA,SAME_DAY
ORD-000198,DC-06,STANDARD,2026-08-01T23:39:00,2026-08-02T11:39:00,EXCEPTION,HOLD,APAC,STANDARD
ORD-000199,DC-14,EXPEDITE,2026-08-12T07:09:00,2026-08-12T15:09:00,RELEASED,HOLD,NA,SAME_DAY
ORD-000200,DC-17,STANDARD,2026-08-03T17:06:00,2026-08-04T01:06:00,ALLOCATED,ALLOCATED,APAC,STANDARD
ORD-000201,DC-16,STANDARD,2026-08-04T05:05:00,2026-08-05T05:05:00,PACKING,HOLD,APAC,STANDARD
ORD-000202,DC-13,CRITICAL,2026-08-12T02:14:00,2026-08-12T10:14:00,SHIPPED,SHIPPED,MEA,SAME_DAY
